POA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6000,3,32,77,62,31,26,8,3,0,237,3,56,167,81,53,37,7,3,0,406,143,973,3604,2035,1095,758,210,23,0,8845
POA6003,0,3,24,24,7,10,5,0,0,70,0,14,40,18,12,10,0,0,0,93,30,242,984,502,259,185,54,5,0,2267
POA6004,3,25,71,38,26,19,9,0,0,194,7,37,120,81,42,42,11,4,0,334,126,674,2731,1628,1007,870,276,53,3,7359
POA6005,0,10,42,22,7,13,3,0,0,102,5,21,47,39,17,9,4,3,0,151,58,368,1593,925,476,379,121,15,0,3938
POA6006,4,14,50,41,33,29,4,0,0,180,4,17,53,36,26,17,14,0,0,166,190,480,1456,1297,1024,747,221,28,0,5441
POA6007,4,20,35,26,25,14,13,0,0,140,3,18,60,50,27,15,10,0,0,183,146,384,1491,1105,828,551,211,19,0,4736
POA6008,13,22,41,43,42,30,7,3,0,195,11,12,88,85,64,56,17,9,0,346,343,711,2053,1859,1659,1308,571,100,3,8606
POA6009,26,36,44,32,22,26,21,3,0,210,27,51,57,68,96,58,39,16,4,422,789,1354,1446,1625,1836,1387,685,175,13,9310
POA6010,16,21,32,38,36,39,25,0,0,216,22,40,41,58,76,52,24,16,4,329,564,829,1489,1622,2051,1471,659,159,11,8854
POA6011,17,20,20,22,12,10,3,0,0,102,8,17,46,27,57,39,14,8,3,209,297,435,795,718,1029,862,392,86,10,4622
POA6012,15,33,26,24,31,16,8,0,0,148,10,18,30,42,65,24,15,0,0,202,258,417,748,899,1038,682,294,56,0,4372
POA6014,12,45,47,57,48,50,18,0,3,281,24,30,69,97,78,54,18,6,3,378,656,934,2183,2697,2610,1749,513,67,12,11426
POA6015,6,9,0,10,14,11,7,4,0,70,9,8,13,28,60,33,9,0,3,170,242,297,297,473,891,681,210,58,17,3167
POA6016,7,7,48,50,29,23,14,0,0,179,6,17,66,68,59,15,9,0,0,235,268,468,1473,1680,1290,719,183,18,0,6095
POA6017,6,16,45,27,16,12,4,0,0,116,0,7,43,23,8,7,6,0,3,104,42,252,1114,647,298,210,67,6,3,2628
POA6018,33,60,169,145,138,98,35,11,0,689,30,58,196,199,191,112,37,20,3,845,1135,1773,4734,5269,4584,3015,844,135,6,21499
POA6019,20,43,163,101,84,58,14,8,0,486,19,55,147,149,109,52,21,8,0,565,566,1010,3739,3217,2601,1786,500,84,6,13498
POA6020,23,45,63,77,66,57,35,3,0,370,17,31,52,113,99,68,38,7,0,429,720,904,1320,2389,2665,2074,806,91,6,10960
POA6021,25,35,108,86,78,65,28,3,0,436,19,49,105,125,102,68,28,6,0,497,501,889,2408,2525,2156,1595,519,62,6,10657
POA6022,6,9,16,35,25,14,3,0,0,118,3,9,25,39,29,20,7,0,0,135,125,183,555,640,527,356,131,11,0,2529
POA6023,17,34,37,54,64,38,14,0,0,262,25,18,39,69,71,47,12,7,0,284,550,546,972,1911,2004,1250,448,63,3,7744
POA6024,9,32,57,61,62,40,31,4,0,289,18,15,58,65,46,42,19,3,0,260,423,504,1289,1640,1471,992,369,45,0,6734
POA6025,27,63,136,142,124,89,35,3,0,619,38,57,145,154,125,125,32,9,0,684,955,1299,3045,3610,3460,2788,827,72,3,16059
POA6026,28,36,58,87,75,86,40,3,0,420,13,31,60,73,93,102,32,0,0,396,795,963,1485,2533,2573,2429,693,45,7,11510
POA6027,41,100,211,201,183,169,50,3,0,959,49,90,198,198,213,151,55,10,0,960,1352,2109,4087,4683,4714,4104,1061,66,3,22189
POA6028,32,66,85,101,115,104,14,0,0,516,42,55,77,86,136,96,27,3,0,523,984,1274,1754,2306,3523,2642,423,24,0,12935
POA6029,0,3,7,6,9,3,3,0,0,35,5,3,4,10,14,15,0,0,0,54,125,138,163,283,355,248,102,13,0,1429
