POA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
POA6000,1832,3551,4,9,31,125,4,11,464,1596,503,1739,16,49,37,126,59,171,107,342,608,2084,0,0,14,29,0,0,99,226,108,263,3,16,44,91,87,174,137,273,246,536,77,159,2761,6331
POA6003,518,998,0,6,6,40,4,13,126,445,142,500,0,9,18,58,20,57,40,122,183,622,0,0,0,9,4,8,37,79,41,94,0,3,16,32,23,48,38,80,79,172,20,40,796,1831
POA6004,1877,3663,0,10,22,105,3,19,449,1507,478,1642,12,47,57,177,84,236,148,463,628,2106,0,6,17,41,6,19,80,176,102,247,3,4,44,105,104,206,156,316,252,563,74,148,2828,6478
POA6005,812,1578,0,0,8,16,0,3,237,822,249,845,3,5,16,48,30,93,51,143,297,988,0,0,5,14,0,3,59,145,62,158,9,18,25,46,47,105,80,175,146,330,35,72,1293,2975
POA6006,1040,2057,8,23,100,424,12,50,671,2454,786,2950,42,180,92,329,136,441,275,951,1057,3901,4,11,20,49,3,19,110,240,133,315,8,20,39,88,102,203,142,310,276,626,50,105,2420,6686
POA6007,1025,1997,3,34,48,219,3,20,499,1814,559,2079,17,79,76,244,68,211,163,535,719,2616,4,11,25,61,4,10,96,219,127,294,3,11,43,99,75,162,124,268,248,565,50,101,2042,5271
POA6008,1813,3560,10,40,168,745,10,34,1082,4083,1273,4902,60,242,213,760,174,545,450,1548,1724,6451,3,12,51,157,0,4,197,467,252,636,24,71,105,224,135,272,258,562,515,1201,66,132,4112,11338
POA6009,1826,3618,14,71,335,1529,12,57,1111,4453,1481,6109,123,498,355,1266,296,909,769,2676,2252,8781,4,20,43,136,8,17,127,310,178,488,33,105,90,216,123,255,245,576,422,1065,68,143,4566,13604
POA6010,1898,3730,10,52,303,1357,17,75,1148,4486,1483,5967,155,638,385,1337,262,823,804,2796,2284,8760,8,21,55,151,8,22,205,500,274,696,30,91,145,334,192,404,371,830,639,1525,53,118,4872,14131
POA6011,1064,2073,16,85,155,726,5,36,510,2007,691,2860,80,348,206,715,140,415,423,1475,1118,4338,0,0,34,106,0,5,76,187,107,293,10,36,52,121,82,166,140,327,255,621,30,56,2458,7097
POA6012,880,1714,12,65,125,535,3,22,560,2192,704,2822,63,273,194,701,140,421,398,1397,1104,4221,3,7,23,76,0,7,98,219,128,315,13,38,49,121,73,154,138,310,262,625,31,62,2284,6631
POA6014,2190,4321,25,147,388,1747,25,91,1778,6925,2215,8920,139,586,365,1321,311,979,823,2885,3034,11807,3,17,46,133,7,23,218,517,278,689,24,76,90,208,188,392,302,678,576,1371,82,175,5883,17663
POA6015,726,1441,10,69,160,723,10,39,397,1606,578,2438,76,324,194,677,157,498,426,1501,1001,3937,0,0,11,51,3,13,40,98,54,159,9,19,29,75,52,108,89,200,142,363,14,34,1888,5776
POA6016,1007,2025,9,52,134,583,10,45,1001,3748,1152,4428,59,227,142,511,122,392,319,1131,1474,5557,0,3,24,80,11,25,146,344,178,454,15,55,45,108,102,216,167,377,337,832,55,122,2877,8529
POA6017,568,1129,3,15,21,85,7,16,265,904,289,1020,6,37,18,61,42,115,66,224,357,1241,0,3,9,26,0,6,60,129,72,162,0,5,11,27,55,116,69,150,140,309,45,98,1109,2775
POA6018,4228,8296,54,272,561,2468,50,224,3202,11982,3864,14943,254,1041,596,2091,673,2110,1525,5236,5392,20177,15,68,123,380,44,138,542,1304,722,1889,69,207,208,474,513,1104,791,1786,1516,3679,141,301,11283,32452
POA6019,2709,5247,16,78,236,1054,31,127,1618,5957,1907,7220,117,477,283,989,302,923,702,2391,2605,9613,14,49,63,205,9,30,348,799,440,1081,41,102,142,308,283,577,464,988,905,2072,96,193,6314,17124
POA6020,2708,5379,31,169,296,1292,45,207,1633,6477,2001,8149,195,807,380,1366,568,1793,1146,3972,3149,12118,0,11,54,179,12,32,198,487,263,707,29,84,68,157,217,464,316,705,581,1415,59,125,6497,19033
POA6021,2348,4661,28,148,220,1006,39,174,1413,5301,1701,6627,160,670,227,801,538,1731,926,3201,2628,9834,7,31,55,173,14,47,259,636,331,884,45,151,84,178,350,758,478,1082,814,1970,102,214,5894,16673
POA6022,616,1224,10,55,63,280,12,57,408,1523,491,1920,24,87,52,169,118,382,191,639,679,2555,4,11,11,50,8,26,78,208,104,297,3,14,25,51,100,211,129,280,237,577,18,31,1548,4383
POA6023,1627,3225,37,190,279,1225,34,133,1333,5221,1685,6766,127,533,245,867,361,1121,736,2531,2414,9294,5,14,58,180,10,24,200,492,264,712,27,98,51,124,177,366,258,589,521,1304,33,76,4602,13896
POA6024,1565,3089,24,145,145,644,35,136,1003,3824,1211,4757,104,445,133,464,308,952,547,1858,1757,6617,7,28,50,162,19,56,202,525,272,766,34,102,67,145,232,510,332,759,606,1517,47,96,3969,11316
POA6025,3634,7152,52,275,409,1839,82,349,2357,8903,2895,11364,221,885,428,1518,744,2339,1394,4739,4285,16110,3,26,104,313,28,89,445,1122,586,1551,62,188,159,351,479,1016,694,1555,1282,3106,107,233,9316,26592
POA6026,2572,5102,40,206,322,1460,59,248,1578,6144,2001,8060,217,889,323,1150,713,2251,1253,4295,3261,12359,4,21,62,193,20,63,255,636,340,909,47,139,95,229,309,653,450,1023,797,1934,55,110,6675,19504
POA6027,4859,9567,81,435,502,2238,149,660,2840,10703,3566,14034,320,1313,496,1693,1125,3549,1947,6552,5516,20589,21,110,123,431,49,158,583,1431,778,2122,100,321,165,372,599,1277,870,1977,1651,4097,125,261,12145,34512
POA6028,2433,4808,79,387,420,1849,98,420,1589,6112,2181,8764,287,1150,444,1516,820,2586,1550,5248,3735,14016,14,71,60,191,24,89,236,616,338,968,45,136,110,264,281,618,431,1014,772,1982,56,114,6998,20925
POA6029,302,606,5,18,45,200,5,16,207,815,259,1053,35,159,67,237,60,178,162,576,417,1631,0,0,3,15,0,3,18,33,22,52,7,9,6,20,22,48,35,77,61,129,3,8,791,2374
POA6030,3912,7668,119,635,459,2079,202,903,2609,9887,3385,13499,297,1244,465,1559,1051,3304,1810,6102,5193,19597,59,266,151,542,97,359,811,2214,1115,3385,90,272,206,471,709,1561,1007,2307,2120,5690,153,331,11377,33295
POA6031,1354,2638,61,337,279,1246,102,445,1659,6350,2092,8385,165,678,200,679,405,1257,761,2613,2852,10996,24,126,75,287,49,175,401,1016,549,1602,39,121,85,180,250,555,366,860,920,2460,61,130,5190,16229
POA6032,25,48,0,0,0,15,0,5,7,30,10,47,5,8,0,5,4,22,8,32,24,74,0,0,0,0,0,5,4,7,3,13,0,0,0,0,3,9,3,9,7,21,0,0,51,143
POA6033,47,96,0,12,7,43,0,6,19,83,32,140,7,34,3,17,20,51,30,105,59,247,0,0,0,0,0,9,0,3,0,11,0,0,0,0,8,15,10,17,11,26,0,3,118,367
POA6034,307,592,11,49,34,162,9,51,410,1527,465,1784,20,80,24,73,38,116,77,266,550,2054,0,3,6,27,9,26,100,262,121,317,5,17,15,24,50,104,67,142,184,462,13,28,1050,3128
POA6035,1000,1944,32,169,136,618,53,227,844,3239,1060,4255,52,213,75,236,217,635,344,1082,1406,5338,13,58,42,151,27,91,290,794,363,1097,13,48,32,70,153,315,196,443,564,1535,31,62,3005,8884
POA6036,1416,2786,64,349,259,1182,103,460,1229,4713,1652,6708,156,658,182,619,382,1214,725,2492,2377,9195,23,108,84,302,53,175,437,1146,591,1731,53,173,84,185,259,550,397,901,985,2634,64,134,4837,14744
POA6037,405,777,12,68,47,209,30,112,268,1058,356,1446,14,57,17,50,90,265,124,369,479,1813,6,17,4,24,8,29,59,163,82,230,4,6,7,13,48,100,57,116,138,348,3,12,1028,2953
POA6038,805,1548,21,107,119,530,65,282,1018,3790,1222,4711,49,192,93,288,150,469,292,949,1518,5655,4,24,30,104,12,40,283,716,329,884,29,98,40,80,110,236,185,415,507,1296,34,77,2865,8575
POA6041,240,479,6,25,10,48,12,34,65,258,89,366,11,41,11,40,35,105,64,188,151,552,4,7,0,13,0,0,24,82,31,99,5,19,3,6,14,32,21,55,52,158,7,13,449,1201
POA6042,12,32,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,3,0,3,3,16,0,0,22,53
POA6043,52,97,0,0,0,0,0,0,0,6,0,6,0,0,3,3,0,6,7,15,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,11,6,15,0,4,67,143
POA6044,205,398,0,9,13,49,0,7,43,150,53,211,9,19,11,23,18,52,33,98,88,304,0,0,0,0,0,4,7,16,11,22,0,5,0,0,10,22,16,27,21,45,4,10,317,756
POA6050,1753,3451,16,82,178,799,17,68,888,3355,1094,4306,92,373,242,831,256,837,591,2041,1686,6347,0,0,35,110,4,20,142,329,185,458,14,44,60,135,147,301,221,478,402,936,61,131,3904,10859
POA6051,1669,3230,6,31,82,353,12,51,736,2618,831,3057,22,79,92,318,92,303,204,693,1040,3751,0,7,23,80,4,17,215,483,245,588,8,28,41,84,123,254,175,365,421,957,86,175,3216,8115
POA6052,1197,2375,9,53,126,558,18,79,863,3198,1017,3890,73,305,142,499,207,621,421,1425,1441,5312,3,20,19,66,12,37,160,387,195,512,21,53,54,121,185,387,252,565,449,1075,55,122,3140,8878
POA6053,1704,3335,18,103,173,759,19,77,1168,4242,1376,5183,88,346,153,507,232,744,473,1592,1850,6773,5,21,40,136,11,34,187,468,240,653,19,63,58,132,213,459,291,656,531,1308,70,150,4158,11561
POA6054,2123,4183,37,216,194,894,50,251,1319,4957,1601,6319,105,448,172,576,432,1370,711,2394,2313,8711,17,69,66,216,32,130,395,1014,511,1431,38,124,98,213,419,914,552,1248,1062,2675,135,283,5633,15858
POA6055,2858,5665,79,440,347,1602,106,482,3318,12432,3849,14954,159,692,285,949,499,1576,942,3216,4792,18169,18,97,75,275,46,153,473,1217,609,1746,43,129,91,213,319,683,452,1023,1062,2771,131,281,8849,26878
POA6056,4293,8499,77,412,354,1598,137,612,2264,8539,2823,11162,241,1000,276,907,911,2889,1432,4795,4256,15957,25,118,138,465,95,342,841,2198,1094,3132,92,302,194,436,904,1953,1193,2686,2287,5815,229,483,11063,30757
POA6057,1830,3608,34,203,173,804,62,266,1043,3983,1317,5258,100,441,133,454,416,1305,649,2201,1969,7459,11,40,57,209,41,146,321,864,431,1260,35,106,65,147,311,682,411,936,845,2198,83,173,4725,13429
POA6058,1422,2793,33,168,103,498,49,216,878,3281,1062,4162,63,266,70,232,283,895,418,1394,1485,5564,11,30,45,145,36,130,263,723,346,1031,17,60,59,124,255,558,339,737,682,1771,65,139,3652,10261
POA6059,2573,5127,38,223,289,1338,51,212,1421,5408,1802,7175,197,849,331,1163,654,2111,1183,4123,2979,11295,6,39,52,156,19,63,327,818,400,1078,32,106,116,260,395,847,542,1211,944,2290,123,261,6619,18973
POA6060,3053,6010,14,82,168,736,20,84,1635,5864,1836,6774,79,340,206,734,307,968,598,2042,2430,8814,12,45,45,137,15,55,363,836,436,1064,30,94,133,292,393,828,558,1211,986,2279,150,315,6628,17416
POA6061,3479,6956,89,548,347,1781,85,405,2757,10423,3275,13156,158,671,208,710,609,1949,970,3334,4245,16488,37,166,133,479,75,269,910,2486,1149,3404,91,298,249,555,843,1866,1185,2724,2334,6119,321,691,10380,30256
POA6062,3718,7425,55,330,329,1539,82,364,2105,7897,2576,10133,237,1008,342,1182,865,2783,1444,4970,4015,15101,16,102,88,305,50,192,498,1289,660,1888,75,236,168,382,681,1473,925,2093,1581,3979,204,426,9524,26928
