POA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
POA6000,1287,3135,948,983,944,472,329,586,160,8845
POA6003,317,774,261,297,234,139,74,146,25,2267
POA6004,1116,2592,741,825,845,397,281,460,103,7359
POA6005,525,1674,346,385,466,197,110,195,43,3938
POA6006,885,2184,478,534,584,344,114,257,69,5441
POA6007,762,2156,356,394,463,291,80,190,51,4736
POA6008,1359,4171,452,710,834,498,136,331,112,8606
POA6009,1445,4148,399,1074,887,656,157,400,150,9310
POA6010,1738,3782,424,916,871,596,126,289,109,8854
POA6011,960,1998,203,431,430,326,61,112,98,4622
POA6012,819,1694,265,481,418,312,92,228,66,4372
POA6014,1893,4569,757,1123,1186,710,294,766,133,11426
POA6015,693,1291,128,251,346,236,49,102,56,3167
POA6016,895,2120,533,720,576,414,228,538,76,6095
POA6017,232,606,340,360,285,187,191,400,31,2628
POA6018,3382,7468,2201,2114,2645,1647,618,1116,308,21499
POA6019,2201,4628,1500,1445,1526,929,407,647,216,13498
POA6020,1946,3512,1156,1106,1409,905,240,530,155,10960
POA6021,1408,2717,1416,1091,1552,1009,500,789,170,10657
POA6022,280,693,434,278,338,184,107,182,30,2529
POA6023,1211,2480,942,773,1024,580,234,406,92,7744
POA6024,796,1724,1062,744,982,502,309,511,102,6734
POA6025,2319,4242,2461,1837,2124,1205,621,1039,211,16059
POA6026,1480,2930,1612,1339,1819,1002,477,733,118,11510
POA6027,2663,4992,3698,2715,3041,1878,1046,1768,382,22189
POA6028,1838,2908,1948,1539,1950,1177,521,859,189,12935
POA6029,263,505,131,160,152,118,21,67,25,1429
POA6030,2103,3313,3351,2825,2673,1789,1304,2011,358,19723
POA6031,931,1626,1706,1335,1365,885,694,1019,183,9748
POA6032,12,23,18,11,14,8,3,25,4,115
POA6033,48,36,41,13,32,14,13,30,9,242
POA6034,171,279,313,301,242,174,133,162,23,1805
POA6035,431,573,851,667,577,375,443,521,100,4535
POA6036,845,1343,1533,1275,1115,939,634,886,159,8739
POA6037,145,174,324,191,155,119,165,183,23,1480
POA6038,507,910,966,815,657,439,358,449,65,5166
POA6041,68,63,107,58,64,38,67,126,17,590
POA6042,6,4,4,0,6,0,0,0,0,24
POA6043,13,13,10,4,6,5,6,20,7,89
POA6044,72,51,72,35,46,24,55,158,23,535
POA6050,1462,3147,678,867,974,604,204,409,91,8438
POA6051,953,2511,798,922,927,497,391,514,122,7634
POA6052,931,2092,627,641,832,445,186,363,72,6188
POA6053,1162,2548,957,917,1054,532,365,514,110,8156
POA6054,1119,2372,1483,1244,1363,799,667,940,155,10142
POA6055,1766,3132,2748,2277,2322,1295,1589,1431,275,16837
POA6056,1985,2993,3255,2470,2602,1744,1855,2024,398,19323
POA6057,850,1171,1438,955,1344,698,959,759,148,8313
POA6058,576,820,1242,709,914,534,745,607,123,6276
POA6059,1524,3194,1515,1336,1633,1127,531,960,215,12028
POA6060,1648,4216,1766,1651,1836,1062,701,1170,209,14245
POA6061,1362,2946,2868,3126,2117,1583,1892,2717,425,19034
POA6062,1698,3419,2610,2012,2299,1439,1151,1681,299,16615
