POA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
POA6288,217,505,0,5,0,0,0,5,5,16,0,0,0,0,0,0,0,0,5,16,6,0,11,25,0,0,0,0,9,30,3,9,240,564,110,..,354,564
POA6290,791,1561,39,52,18,28,59,83,6,11,0,0,0,0,0,0,0,0,6,11,43,69,7,12,0,0,5,11,53,88,7,17,919,1752,673,..,1597,1752
POA6302,1500,3181,41,73,3,12,46,84,9,15,0,0,0,0,0,0,0,0,9,15,11,20,3,11,6,5,0,4,23,30,27,34,1601,3345,286,..,1886,3345
POA6304,717,1517,15,20,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,7,9,6,6,18,28,4,16,751,1582,203,..,952,1582
POA6306,370,866,9,25,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,895,105,..,492,895
POA6308,673,1478,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,686,1489,116,..,807,1489
POA6309,132,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,276,40,..,178,276
POA6311,256,570,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,4,5,12,0,0,265,585,41,..,308,585
POA6312,1742,3953,159,230,0,0,159,230,6,10,0,0,0,0,0,0,0,0,5,15,8,13,0,0,10,10,4,11,26,33,0,3,1939,4232,334,..,2271,4232
POA6313,101,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,234,29,..,133,234
POA6315,757,1679,40,41,0,0,38,46,4,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,3,5,4,7,7,4,8,810,1750,124,..,935,1750
POA6316,152,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,374,42,..,194,374
POA6317,1446,3694,145,235,4,3,144,240,4,10,0,0,0,0,0,0,0,4,7,10,7,9,0,0,0,0,0,0,3,9,6,12,1612,3963,229,..,1842,3963
POA6318,204,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,203,483,67,..,273,483
POA6320,205,519,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,212,530,88,..,300,530
POA6321,191,444,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,8,5,3,6,0,0,0,0,8,10,4,3,206,465,61,..,263,465
POA6322,92,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,236,23,..,114,236
POA6323,454,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,4,0,0,0,3,15,22,5,15,470,1024,113,..,586,1024
POA6324,1427,3398,29,43,0,0,29,43,9,11,0,0,0,0,0,0,0,0,11,9,13,13,13,17,0,0,0,0,23,32,0,4,1486,3491,283,..,1773,3491
POA6326,194,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,492,59,..,253,492
POA6327,98,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,267,31,..,134,267
POA6328,161,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,13,9,0,0,28,34,0,0,189,419,86,..,268,419
POA6330,13696,33152,1052,1575,125,188,1175,1766,52,75,0,0,0,0,0,0,25,48,74,122,135,200,158,217,80,87,7,13,375,516,53,92,15373,35646,2179,..,17548,35646
POA6333,2417,5411,181,396,3,11,184,407,0,4,0,0,0,0,0,0,0,0,3,3,29,63,23,41,72,79,0,0,124,188,13,32,2745,6044,905,..,3643,6044
POA6335,286,733,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,737,107,..,401,737
POA6336,137,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,5,7,145,321,74,..,217,321
POA6337,203,500,8,9,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,3,0,0,0,0,8,21,4,8,226,533,87,..,313,533
POA6338,281,622,12,13,0,0,12,13,0,0,0,6,0,0,0,0,0,0,0,6,19,40,0,12,0,0,4,5,21,47,8,12,317,696,313,..,628,696
POA6341,100,241,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,104,249,41,..,147,249
POA6343,89,214,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,227,26,..,116,227
POA6346,300,667,9,9,0,0,9,9,0,0,0,4,0,0,0,0,0,0,0,4,13,13,0,0,4,8,3,13,17,35,5,10,324,724,149,..,467,724
POA6348,489,1023,9,7,0,0,9,7,9,10,3,4,0,0,0,0,0,0,12,13,22,28,5,8,0,4,0,0,26,41,0,0,532,1080,317,..,848,1080
POA6350,135,293,6,10,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,4,149,310,36,..,186,310
POA6351,23,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,57,7,..,24,57
POA6352,65,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,163,11,..,78,163
POA6353,300,695,9,13,0,3,13,13,9,5,0,0,0,0,0,0,0,0,9,5,6,5,4,0,0,0,0,0,6,6,3,3,325,731,86,..,416,731
POA6355,175,402,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,14,0,0,0,4,15,20,4,4,198,433,80,..,277,433
POA6356,46,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,0,0,50,106,35,..,85,106
POA6357,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,53,9,..,31,53
POA6358,38,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,94,12,..,49,94
POA6359,160,382,3,10,0,0,3,10,0,0,0,0,0,0,0,0,0,0,4,3,13,33,0,0,0,0,0,0,14,39,0,0,187,425,43,..,226,425
POA6361,32,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,79,8,..,43,79
POA6363,27,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,86,19,..,53,86
POA6365,214,481,3,15,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,221,501,53,..,273,501
POA6367,153,300,5,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,5,11,7,3,3,162,318,36,..,196,318
POA6368,37,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,91,3,..,39,91
POA6369,247,560,22,30,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,10,0,0,274,602,64,..,340,602
POA6370,180,421,5,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,425,35,..,217,425
POA6372,48,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,103,10,..,60,103
POA6373,26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,77,4,..,30,77
POA6375,354,764,14,17,5,10,24,30,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,4,8,15,0,0,386,810,67,..,454,810
POA6383,394,857,9,11,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,10,416,880,71,..,488,880
POA6384,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,..,6,23
POA6385,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,..,5,16
POA6386,35,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,46,102,11,..,51,102
POA6390,614,1506,28,40,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,5,4,0,0,15,22,6,3,659,1570,143,..,812,1570
POA6391,398,969,14,23,0,0,14,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,5,5,7,425,1002,98,..,520,1002
POA6392,180,392,11,12,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,5,6,195,412,36,..,231,412
POA6393,49,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,120,0,..,49,120
POA6394,208,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,451,63,..,275,451
POA6395,605,1398,28,47,0,0,28,47,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,4,0,0,9,13,10,9,656,1468,161,..,818,1468
POA6396,159,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,8,163,339,61,..,230,339
POA6397,40,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,91,22,..,64,91
POA6398,271,524,0,10,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,4,3,12,0,0,11,21,15,16,306,569,202,..,509,569
POA6401,3001,7164,166,254,11,14,171,267,13,26,0,0,0,0,0,0,0,4,16,31,19,39,14,21,5,11,0,0,46,64,17,36,3252,7560,563,..,3816,7560
POA6403,68,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,143,11,..,79,143
POA6405,125,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,320,56,..,182,320
POA6407,343,822,13,17,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,8,14,0,3,362,852,112,..,476,852
POA6409,168,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,374,71,..,238,374
POA6410,365,801,13,19,0,0,13,19,18,24,0,0,0,0,0,0,0,0,18,24,0,3,7,10,0,0,6,3,12,15,3,12,416,868,92,..,511,868
POA6411,52,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53,131,15,..,71,131
POA6412,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,4,21,58,22,..,48,58
POA6413,28,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,30,53,3,..,35,53
POA6414,30,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,77,0,..,37,77
POA6415,1104,2509,60,99,0,0,65,98,6,13,0,0,0,0,0,0,0,0,6,13,30,33,0,0,0,0,0,0,30,33,5,12,1206,2668,245,..,1456,2668
POA6418,254,585,20,23,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,10,12,14,10,38,291,659,17,..,310,659
POA6419,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,50,0,..,21,50
POA6420,29,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,29,71,11,..,44,71
POA6421,57,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,58,149,10,..,71,149
POA6422,20,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,66,0,..,24,66
POA6423,75,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,81,145,22,..,105,145
POA6424,27,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,65,21,..,53,65
POA6425,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,72,15,..,43,72
POA6426,332,635,30,44,0,0,30,44,0,0,0,0,0,0,0,0,0,0,3,0,14,21,0,0,3,8,0,0,17,26,6,0,380,707,178,..,557,707
POA6427,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,24,0,..,11,24
POA6428,24,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,7,..,25,59
POA6429,345,781,5,3,0,0,5,3,16,15,0,0,0,0,0,0,0,0,16,15,18,31,4,3,3,3,0,0,22,34,18,24,405,861,98,..,497,861
POA6430,6529,17689,1261,2274,212,472,1477,2750,140,217,0,0,0,0,0,0,3,6,141,219,88,135,159,232,67,69,7,9,316,448,24,37,8480,21135,1273,..,9754,21135
POA6431,154,510,16,22,0,0,16,22,6,20,0,0,0,0,0,0,0,0,6,20,5,14,0,0,0,7,0,0,13,18,40,63,228,633,115,..,342,633
POA6432,2238,5757,332,630,29,66,362,697,0,0,0,0,0,0,0,0,0,0,0,0,24,23,320,496,7,3,20,28,361,550,7,14,2972,7024,414,..,3386,7024
POA6434,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,26,15,35,0,..,17,35
POA6436,39,91,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,5,6,30,57,0,5,3,3,3,5,39,65,6,3,90,168,30,..,116,168
POA6437,150,421,18,29,0,0,18,29,0,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,0,11,23,13,22,199,492,92,..,293,492
POA6438,182,428,32,39,0,0,32,39,33,63,0,0,0,0,0,0,3,3,40,70,61,109,0,0,0,3,16,22,78,136,20,36,351,703,177,..,525,703
POA6440,193,513,24,45,0,0,24,45,5,3,0,0,0,0,0,0,0,4,4,4,21,25,0,0,0,8,0,0,20,31,37,55,287,652,92,..,379,652
POA6442,886,2147,72,128,53,62,124,187,18,28,0,0,0,0,0,0,0,0,18,28,4,3,0,0,0,0,3,6,3,6,7,11,1037,2382,227,..,1271,2382
POA6443,299,546,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,30,47,0,3,8,9,0,0,37,65,38,66,385,683,246,..,633,683
POA6445,56,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,61,144,15,..,77,144
POA6446,48,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,115,13,..,61,115
POA6447,61,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,68,165,15,..,85,165
POA6448,140,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,143,361,23,..,163,361
POA6450,4591,11131,432,704,46,84,478,788,111,149,0,3,0,0,0,0,4,3,115,154,126,212,41,60,33,54,7,12,207,340,71,166,5458,12577,1050,..,6504,12577
