POA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA6000,34,1950,1124,400,2505,1,1934,1.8
POA6003,33,1733,1092,380,2525,1,1797,1.8
POA6004,36,1950,1167,410,2563,1,2003,1.8
POA6005,35,1777,1232,400,2768,0.9,1915,1.8
POA6006,38,2473,1120,400,3161,0.8,2316,2.3
POA6007,36,2167,1310,420,3288,0.9,2339,2.1
POA6008,40,2600,1209,425,3339,0.9,2232,2.2
POA6009,37,3520,874,450,3768,0.8,2592,2.6
POA6010,43,3000,1124,460,3598,0.8,2412,2.4
POA6011,43,4000,1442,550,4652,0.8,3430,2.5
POA6012,42,3000,996,300,3456,0.8,2124,2.4
POA6014,39,2732,1080,315,3296,0.9,2284,2.5
POA6015,47,4000,1214,750,4592,0.7,3676,2.8
POA6016,36,2268,1083,345,3020,0.9,2319,2.5
POA6017,34,1546,909,290,1965,0.9,1474,1.9
POA6018,39,2200,1026,400,2888,0.8,2202,2.5
POA6019,37,2167,1174,415,2930,0.8,2182,2.3
POA6020,45,2500,984,430,2959,0.7,2371,2.7
POA6021,40,2000,822,350,2250,0.7,1793,2.5
POA6022,39,2000,875,380,2227,0.7,1851,2.6
POA6023,41,2208,940,460,2817,0.7,2389,2.8
POA6024,40,1950,840,400,2292,0.7,1894,2.6
POA6025,40,2000,920,400,2482,0.7,2101,2.6
POA6026,43,2100,841,438,2509,0.7,2127,2.7
POA6027,40,2000,864,380,2372,0.7,2005,2.6
POA6028,40,2167,938,420,2771,0.7,2532,2.9
POA6029,43,3000,1075,485,3525,0.8,2758,2.7
POA6030,36,1800,788,355,2123,0.7,1822,2.7
POA6031,32,1907,905,380,2263,0.8,2112,3
POA6032,47,2000,858,241,1937,0.7,1781,2.6
POA6033,43,2600,684,300,2441,0.8,2307,3.1
POA6034,29,1950,974,350,2151,0.8,2022,2.9
POA6035,35,1842,740,340,1990,0.7,1695,2.8
POA6036,32,1936,818,350,2181,0.8,1907,2.8
POA6037,39,1800,684,330,1862,0.7,1516,2.7
POA6038,30,1950,958,360,2247,0.8,2033,2.8
POA6041,49,1733,513,300,1557,0.7,1318,2.6
POA6042,62,1250,575,280,1375,0.6,979,1.8
POA6043,60,1300,621,250,1583,0.6,1176,1.7
POA6044,54,1581,682,253,1381,0.7,1117,2
POA6050,41,2383,1057,350,3241,0.8,2087,2.2
POA6051,36,1733,1028,300,2386,0.8,1622,1.9
POA6052,39,2167,991,340,2811,0.8,2042,2.4
