POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA6000,7930,6423,14356,3646,2293,5940,1040,1337,2374,286,254,532,293,217,511,5258,4095,9355,1208,1420,2626,5.6,5.3,5.4,66.3,63.8,65.2,62.6,60.4,61.6,833,764,1588,169,208,372,2016,1828,3842,671,683,1353,935,427,1364,70,67,135,64,79,145,1068,570,1640,4704,3951,8659,2125,1996,4118,1902,1581,3481,4739,4170,8903
POA6003,1778,1571,3347,860,604,1471,292,381,680,65,56,125,52,54,111,1275,1107,2382,270,315,582,4.2,5.2,4.6,71.8,70.3,71.1,68.8,66.7,67.8,196,164,362,49,64,111,480,457,931,161,187,347,238,116,352,9,22,34,15,20,31,263,159,420,1222,1062,2283,449,482,932,526,456,980,1093,1045,2135
POA6004,6191,5378,11568,3080,1918,5007,792,1167,1958,209,189,395,233,184,421,4311,3461,7769,1002,1372,2373,5.3,5.4,5.4,69.6,64.3,67.2,66,60.8,63.6,812,721,1537,125,171,288,1662,1621,3279,572,548,1125,718,369,1081,43,44,92,57,69,127,815,484,1300,3947,3576,7523,1753,1611,3362,1663,1403,3065,3839,3613,7452
POA6005,2925,2790,5709,1564,1158,2725,389,618,1001,94,117,210,107,94,204,2155,1985,4143,567,650,1220,4.9,4.8,4.9,73.5,71.3,72.4,69.9,67.9,68.9,458,409,865,104,135,235,862,922,1784,242,257,496,320,192,505,23,34,60,20,41,62,365,265,624,2096,1988,4085,821,855,1678,846,778,1626,1965,1980,3943
POA6006,3813,4052,7874,1981,1419,3408,633,1159,1793,106,139,243,134,105,238,2849,2834,5681,815,1074,1893,4.7,3.7,4.2,74.7,69.9,72.2,71.2,67.3,69.2,387,411,794,142,228,371,1133,1286,2419,325,361,683,489,276,766,26,45,74,42,68,109,563,384,951,3633,3782,7417,740,800,1542,2205,2361,4569,1934,2026,3962
POA6007,3131,3592,6728,1773,1315,3090,468,955,1428,82,139,219,86,86,175,2406,2500,4911,568,907,1471,3.6,3.6,3.6,76.9,69.6,73,74.1,67.2,70.4,487,498,987,118,187,310,1020,1226,2251,267,336,596,359,200,557,24,41,65,28,48,81,414,287,701,2732,3019,5747,762,867,1628,1401,1566,2972,1916,2128,4047
POA6008,6457,7203,13663,3054,2186,5241,1034,1950,2989,152,222,377,184,174,358,4425,4537,8967,1632,2270,3903,4.2,3.9,4,68.5,63,65.6,65.7,60.5,63,1234,1131,2366,246,418,665,2049,2474,4521,473,625,1099,493,301,796,45,59,104,64,133,194,605,492,1094,5916,6469,12380,1379,1599,2979,3463,3883,7349,3478,3849,7327
POA6009,8036,8734,16771,2982,1678,4661,1601,2560,4162,199,292,491,283,255,541,5072,4785,9853,2555,3429,5986,5.6,5.4,5.5,63.1,54.8,58.8,59.5,51.9,55.5,1614,1293,2908,255,438,691,2579,2724,5302,437,698,1135,427,295,721,78,83,158,47,105,154,552,483,1035,7401,7735,15138,1777,1878,3650,4486,4843,9332,4375,4423,8795
POA6010,7165,8004,15164,3110,1895,5004,1270,2189,3454,154,235,385,212,191,400,4741,4508,9251,2130,3151,5282,4.4,4.2,4.3,66.2,56.4,61,63.3,54,58.4,1153,969,2123,219,444,665,2351,2610,4965,544,823,1370,513,289,799,27,51,80,49,161,210,591,504,1093,7030,7430,14464,1453,1566,3023,4176,4534,8707,3932,4141,8074
POA6011,3525,3968,7493,1639,924,2565,690,1149,1833,86,138,225,91,96,187,2508,2302,4812,912,1529,2440,3.6,4.2,3.9,71.1,58,64.2,68.5,55.6,61.7,567,430,996,74,190,267,1298,1466,2763,257,355,608,222,117,337,15,29,42,29,79,106,266,215,482,3472,3819,7288,640,723,1366,2184,2415,4598,1733,1962,3696
