POA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
POA6000,52,481,1927,1218,675,463,131,16,0,4964,0,0,8,0,0,5,0,0,0,13,4,16,77,52,35,10,0,0,0,188,0,4,36,10,11,6,0,0,0,67,0,0,10,6,5,0,0,0,0,26,0,17,22,16,6,5,0,0,0,76,0,7,17,12,7,3,0,0,0,38,13,49,106,45,23,20,9,0,0,266,41,145,264,103,31,14,3,0,0,614,0,4,15,10,4,4,0,0,0,39,0,3,24,13,10,0,0,0,0,54,0,9,68,32,11,7,0,0,0,129,0,0,18,14,10,8,6,0,0,50,0,46,253,123,44,31,7,0,0,507,0,24,83,40,13,12,6,0,0,183,4,18,79,57,44,26,3,0,0,233,3,30,104,79,39,40,4,0,0,300,3,64,325,141,75,58,23,4,0,694,3,20,51,24,21,6,6,0,0,125,0,21,41,29,11,15,3,0,0,122
POA6003,14,103,502,300,162,107,32,5,0,1219,0,0,3,0,0,0,0,0,0,5,0,6,14,3,8,11,0,0,0,38,0,0,9,5,0,0,0,0,0,17,0,0,9,0,5,0,0,0,0,14,0,0,16,0,3,0,0,0,0,22,0,0,6,3,0,0,0,0,0,12,3,26,35,13,10,6,0,0,0,95,11,32,75,29,7,0,5,0,0,160,0,0,3,5,0,5,0,0,0,21,0,4,3,4,4,0,0,0,0,15,0,0,20,8,3,0,0,0,0,35,0,0,12,0,0,0,0,0,0,16,0,10,57,32,14,7,0,0,0,119,0,3,18,6,8,0,0,0,0,46,0,7,30,24,12,14,0,0,0,89,0,10,28,17,9,16,3,0,0,85,0,16,100,29,18,16,4,0,0,180,0,5,16,0,0,0,0,0,0,24,0,6,16,12,0,5,0,0,0,39
POA6004,51,315,1396,993,578,521,185,41,3,4082,0,0,3,0,0,0,0,0,0,11,0,17,88,60,19,13,0,0,0,195,0,0,28,31,12,5,0,0,0,75,0,0,9,11,0,0,0,0,0,22,0,10,35,17,19,14,5,0,0,94,0,0,11,10,13,3,4,0,0,36,17,44,76,32,21,21,4,0,0,216,31,97,193,62,35,16,6,0,0,441,0,7,18,15,7,8,0,0,0,58,0,0,9,3,3,3,0,0,0,25,0,10,59,30,21,13,0,0,0,141,0,3,21,14,10,5,0,0,0,52,0,27,193,96,37,36,14,3,0,420,0,16,58,17,21,5,9,0,0,119,0,17,63,30,45,34,6,0,0,186,3,22,104,48,38,45,14,0,0,284,4,35,246,106,94,87,20,0,0,595,0,6,34,10,6,5,0,0,0,63,3,25,37,17,11,11,4,0,0,109
POA6005,16,147,817,517,253,203,80,5,0,2044,0,0,7,0,0,0,0,0,0,11,0,12,39,46,15,10,0,0,0,117,0,4,8,5,7,10,0,0,0,34,0,0,14,7,3,0,0,0,0,22,0,0,19,13,5,0,0,0,0,41,0,0,10,0,0,5,0,0,0,19,17,39,44,17,13,9,4,0,0,139,4,47,86,24,12,7,5,0,0,186,0,4,12,10,5,4,0,0,0,34,0,5,5,0,3,0,0,0,0,14,0,5,24,14,9,9,0,0,0,68,0,3,9,3,6,0,6,0,0,24,4,22,122,60,26,20,3,0,0,264,0,4,35,15,6,8,0,0,0,72,0,8,41,30,24,19,4,0,0,126,4,10,48,38,25,24,9,0,0,162,5,28,190,89,40,32,7,0,0,389,4,15,17,8,4,4,0,0,0,51,0,4,29,8,5,3,6,0,0,46
POA6006,98,194,704,668,497,403,130,22,0,2715,0,0,6,0,0,5,0,0,0,16,0,4,34,40,25,0,0,0,0,111,6,8,9,9,12,4,0,0,0,55,0,0,6,8,5,5,0,0,0,27,0,4,21,17,9,7,0,0,0,58,0,0,7,12,9,5,0,0,0,32,29,48,36,29,34,14,4,0,0,203,35,56,64,28,11,7,5,0,0,202,0,0,6,7,11,5,3,0,0,37,0,4,11,6,6,4,0,0,0,38,0,7,17,27,20,9,0,0,0,82,0,0,14,11,13,6,4,0,0,48,0,30,108,85,61,29,14,0,0,330,0,5,16,22,14,17,5,0,0,81,0,11,51,56,46,32,4,0,0,201,6,25,80,75,92,81,16,3,0,383,0,57,173,125,107,69,21,3,0,562,6,16,21,25,13,5,0,0,0,84,4,13,25,26,21,21,5,0,0,112
POA6007,62,159,700,592,401,275,118,14,0,2324,0,0,0,0,0,0,0,0,0,6,0,3,42,34,26,9,0,0,0,118,3,4,18,9,12,5,4,0,0,55,0,0,12,3,9,4,0,0,0,26,0,8,14,11,5,0,0,0,0,45,0,3,9,8,7,9,0,0,0,40,26,40,40,25,22,17,4,0,0,168,27,38,48,10,13,0,4,0,0,145,0,0,5,8,7,0,0,0,0,24,0,3,12,3,6,0,0,0,0,25,0,6,21,18,10,5,3,0,0,68,0,0,9,7,3,8,5,0,0,38,0,21,125,86,53,35,0,0,0,317,0,6,23,16,13,5,4,0,0,69,0,6,43,43,35,27,8,0,0,165,0,11,69,62,59,51,17,5,0,276,0,44,216,121,95,84,33,4,0,601,3,3,18,8,0,0,0,0,0,43,4,17,25,17,20,5,7,0,0,95
POA6008,170,304,973,950,815,655,308,65,3,4237,0,0,0,7,0,9,3,0,0,16,0,8,55,63,55,18,3,0,0,201,12,3,11,20,14,18,3,0,0,84,0,0,12,10,5,0,0,0,0,41,0,5,14,25,20,7,3,0,0,80,0,5,10,16,10,8,0,0,0,47,52,70,61,29,39,26,19,6,0,299,64,63,45,21,14,18,12,0,0,235,0,4,7,10,7,13,5,0,0,43,0,5,13,8,6,14,4,0,0,44,0,6,28,35,27,28,9,3,0,120,0,3,7,11,17,13,7,4,0,58,3,40,189,157,138,70,29,3,0,628,0,10,27,12,23,13,4,3,0,85,0,16,45,55,46,48,13,3,0,227,13,38,110,113,148,132,62,6,0,622,6,87,351,242,207,172,73,4,0,1150,7,22,23,17,18,11,4,0,0,102,8,14,24,31,23,14,6,0,0,125
POA6009,360,644,745,808,936,740,426,118,8,4787,0,0,3,6,0,5,0,0,0,17,0,7,22,42,46,4,0,0,0,131,14,11,9,10,16,10,5,6,0,80,0,3,5,14,8,4,0,0,0,42,6,5,14,17,24,9,6,0,0,78,3,6,7,10,20,5,3,0,0,51,109,107,35,33,42,35,16,4,0,367,142,162,42,25,16,3,9,0,0,398,0,0,7,3,11,3,0,0,0,25,0,7,10,8,4,0,0,5,0,34,3,10,13,29,27,18,8,4,0,112,4,8,7,21,21,26,15,4,0,97,8,72,103,108,109,82,33,5,0,529,3,8,14,21,21,16,9,4,0,85,0,10,29,32,52,49,7,0,0,186,56,97,111,125,136,132,46,7,0,713,36,110,207,258,284,201,85,11,0,1192,22,26,19,7,11,12,4,3,0,99,20,22,21,18,14,14,11,0,0,125
POA6010,296,404,771,801,1006,753,399,98,6,4532,0,0,6,3,9,8,0,0,0,28,0,0,40,57,48,21,0,0,0,174,6,3,5,16,16,11,0,0,0,60,0,0,0,3,5,5,0,0,0,19,4,5,12,17,21,19,7,0,0,91,0,6,5,15,22,8,4,0,0,64,86,71,39,29,68,47,15,0,0,363,85,74,32,18,27,15,3,4,0,256,3,4,0,11,21,12,0,0,0,47,0,0,10,4,7,0,0,0,0,28,5,4,15,36,37,18,6,0,0,124,0,6,21,24,25,22,10,0,0,110,4,56,110,142,149,72,24,7,0,559,0,8,12,13,20,7,3,0,0,71,0,15,45,50,52,33,15,4,0,221,31,39,73,113,182,150,58,8,0,648,17,85,231,191,261,213,81,15,0,1090,15,10,18,16,23,7,3,0,0,103,14,16,21,32,22,28,7,5,0,132
POA6011,130,210,389,370,525,489,246,61,6,2417,7,0,0,6,8,0,8,0,0,29,0,6,20,25,15,3,0,0,0,75,3,10,5,11,13,9,7,0,0,53,0,0,6,4,0,4,0,0,0,10,0,0,14,14,6,8,5,0,0,53,0,0,4,0,13,4,0,0,0,20,39,27,16,29,39,25,12,0,0,183,52,29,20,10,12,5,0,0,0,135,4,0,0,3,3,4,4,0,0,26,0,3,8,3,12,0,3,0,0,35,0,4,7,14,22,17,6,0,0,76,6,10,9,13,23,21,6,5,0,98,0,24,57,59,78,36,19,0,0,283,0,7,13,7,6,7,0,0,0,42,0,0,18,10,17,9,9,0,0,71,25,16,49,29,75,74,30,0,0,293,3,47,123,86,128,113,32,0,0,540,7,12,14,10,6,7,0,0,0,53,16,14,14,11,6,6,0,0,0,70
