POA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
POA6233,0,0,0,0,668,668,13,0,0,0,435,447,382,21,17,0,606,1030,774,67,77,0,350,1270,767,49,133,0,223,1175,812,36,147,12,115,1123,701,29,109,42,30,914,340,10,35,44,3,423,59,0,3,19,0,79,3,0,0,0,0,6,3849,213,513,122,2429,7135,0,0,0,0,666,667,20,0,0,0,394,417,541,43,24,5,584,1201,934,79,115,3,290,1428,825,70,173,24,186,1278,845,64,226,58,85,1279,642,27,173,114,28,986,248,8,39,155,10,460,21,0,4,91,4,120,0,0,0,0,4,9,4078,297,764,454,2249,7837,0,0,0,0,1329,1333,36,0,0,0,833,868,918,65,44,10,1192,2230,1703,149,197,8,643,2697,1595,119,301,26,404,2451,1664,101,377,64,202,2406,1343,61,281,158,56,1894,584,16,77,198,9,884,80,0,9,113,4,202,6,0,6,0,4,16,7931,511,1277,574,4677,14976
POA6236,0,0,0,0,70,70,0,0,0,0,37,36,34,0,0,0,54,93,62,0,5,0,31,105,112,3,16,0,34,165,123,5,24,3,20,168,110,7,16,11,14,150,37,0,6,4,3,54,15,0,0,5,0,17,0,0,0,0,0,0,491,25,67,18,259,862,0,0,0,0,62,62,4,0,0,0,45,45,43,0,0,0,44,90,69,0,9,0,36,120,132,7,20,0,20,176,134,4,32,7,14,186,86,4,9,7,3,110,30,0,8,21,0,60,3,0,0,13,0,14,0,0,0,0,0,0,508,20,82,47,223,876,0,0,0,0,129,129,4,0,0,0,78,83,77,7,0,0,100,184,134,0,18,0,68,224,241,11,34,0,53,346,255,6,57,10,33,360,196,8,29,21,16,267,70,4,17,24,3,117,17,0,3,13,0,33,3,0,0,0,0,3,998,38,155,69,486,1741
POA6237,0,0,0,0,70,70,0,0,0,0,45,46,30,0,0,0,59,88,93,8,10,0,36,143,106,15,16,0,27,170,153,3,21,0,23,206,136,7,19,9,8,177,47,0,9,3,0,67,10,0,0,6,0,13,0,0,0,0,0,0,571,35,81,16,276,977,0,0,0,0,77,77,5,0,0,0,43,48,38,0,0,0,53,99,116,4,7,0,45,178,132,14,15,0,24,191,167,6,36,6,11,233,121,5,23,15,6,164,24,0,4,26,0,60,5,0,0,12,0,19,0,0,0,0,0,0,609,33,89,61,261,1055,0,0,0,0,148,148,9,0,0,0,90,91,67,0,3,0,111,182,207,13,17,0,79,321,236,23,33,4,55,359,323,14,58,6,34,432,257,12,40,26,13,340,73,0,10,33,6,119,9,0,0,13,0,28,0,0,0,0,4,4,1183,63,167,80,532,2027
POA6239,0,0,0,0,152,152,0,0,0,0,95,97,49,5,4,0,127,171,134,8,17,3,84,235,175,21,28,0,64,286,202,14,59,3,38,315,208,5,48,8,28,299,121,5,17,13,6,161,27,0,3,14,0,39,0,0,0,0,0,3,904,54,164,35,599,1757,0,0,0,0,111,111,3,0,0,0,70,77,86,5,7,0,124,222,160,22,9,5,76,267,194,20,39,7,47,310,223,23,60,14,41,359,205,10,55,37,14,311,82,5,17,63,6,164,12,0,7,47,0,65,4,3,0,0,14,22,966,90,186,172,492,1908,0,0,0,0,261,261,11,0,0,0,167,172,126,4,12,0,246,391,289,28,28,3,153,499,369,40,67,8,112,598,424,39,112,17,82,674,406,16,99,48,43,610,194,6,33,73,15,323,33,4,9,60,0,105,7,5,0,0,12,26,1869,141,356,210,1098,3670
POA6240,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,7,0,0,0,0,10,3,0,0,0,0,10,12,0,0,0,6,13,14,0,3,0,0,20,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,3,12,71,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,5,7,9,3,0,0,0,16,16,0,0,0,0,21,12,0,0,4,0,17,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,49,3,9,4,19,79,0,0,0,0,6,6,0,0,0,0,4,4,0,0,0,0,4,7,14,0,0,0,6,15,16,3,3,0,0,16,30,0,0,0,8,39,22,0,7,4,0,33,18,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,98,4,15,0,30,145
POA6243,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,3,6,0,0,0,0,8,4,0,0,0,0,8,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,6,34,0,0,0,0,5,5,0,0,0,0,5,5,4,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,4,8,0,0,0,0,7,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,16,38,0,0,0,0,7,7,0,0,0,0,8,8,0,0,0,0,0,3,4,0,0,0,0,11,5,0,0,0,3,6,10,0,3,0,0,13,6,0,0,0,0,18,3,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,41,0,7,3,20,73
POA6244,0,0,0,0,19,19,0,0,0,0,27,24,21,4,0,0,34,55,48,3,0,0,23,73,56,6,5,0,34,106,88,5,17,0,18,138,76,0,20,3,11,106,43,0,9,6,10,64,7,0,0,3,0,13,0,0,0,0,0,0,340,21,64,21,164,605,0,0,0,0,28,28,0,0,0,0,23,23,31,0,0,0,37,66,64,14,4,0,28,99,58,4,12,0,19,91,75,8,27,3,13,122,68,0,8,5,4,93,32,3,11,21,0,71,3,0,0,10,0,19,0,0,0,0,0,0,330,23,63,46,152,613,0,0,0,0,45,45,3,0,0,0,46,51,51,5,0,0,66,119,105,15,3,0,45,173,114,10,19,0,48,197,165,9,42,6,32,258,143,0,35,11,18,199,72,6,26,33,6,140,11,0,0,16,0,26,0,0,0,0,0,0,669,44,127,63,320,1225
POA6251,0,0,0,0,6,6,0,0,0,0,3,3,3,0,0,0,7,10,5,0,6,0,3,12,20,0,0,0,9,24,16,0,7,0,0,32,14,3,3,4,3,30,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,63,4,16,3,35,125,0,0,0,0,8,8,0,0,0,0,0,0,6,0,0,0,5,8,13,0,7,0,0,20,14,0,3,0,0,27,19,0,10,0,0,28,8,0,4,0,0,20,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,69,3,21,8,21,119,0,0,0,0,13,13,0,0,0,0,7,7,11,0,0,0,11,20,22,0,5,0,12,30,35,0,3,0,6,46,40,0,13,0,6,57,29,0,13,8,3,45,6,0,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,128,7,39,11,56,240
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,13,3,0,0,0,6,9,9,0,3,0,4,10,9,0,0,0,0,15,3,0,3,0,4,8,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,35,0,8,0,23,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,0,11,5,0,6,0,0,11,8,3,0,0,5,16,4,0,0,0,0,7,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,6,6,3,10,57,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,13,16,9,0,4,0,7,17,11,0,5,0,4,18,20,3,0,0,8,32,15,0,3,0,4,21,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,68,3,13,6,34,120
POA6253,0,0,0,0,12,12,0,0,0,0,12,12,10,0,0,0,16,21,9,3,0,0,14,28,23,0,0,0,11,37,30,3,9,0,10,54,49,0,23,8,7,84,17,0,4,6,0,25,6,0,0,0,0,10,0,0,0,0,0,0,140,7,40,14,93,291,0,0,0,0,9,9,0,0,0,0,4,4,5,0,0,0,13,25,23,0,0,0,12,33,19,4,5,0,10,34,32,5,16,0,9,64,43,4,15,5,8,78,12,0,10,9,4,38,3,0,0,0,0,3,0,0,0,0,0,0,136,15,50,21,74,298,0,0,0,0,24,24,0,0,0,0,22,22,13,0,0,0,27,44,34,0,0,0,22,63,37,3,7,0,23,73,59,6,26,3,20,119,88,8,39,10,19,169,28,0,11,14,5,63,9,0,0,3,0,13,0,0,0,0,3,3,276,26,94,29,162,589
POA6254,0,0,0,0,4,4,0,0,0,0,17,17,9,0,0,0,28,43,21,4,0,0,29,53,28,4,11,0,17,61,39,6,15,0,15,75,22,5,9,0,6,34,20,0,5,0,0,19,0,0,0,0,0,5,5,0,0,0,0,5,139,19,38,6,121,322,0,0,0,0,17,17,0,0,0,0,13,13,9,0,0,0,7,19,16,0,0,0,15,33,12,7,5,0,7,32,30,4,10,0,4,49,19,3,10,3,0,33,11,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,90,13,27,16,64,214,0,0,0,0,25,25,0,0,0,0,30,30,19,4,0,0,44,63,38,6,0,0,35,82,38,6,13,0,32,91,67,12,23,3,24,128,35,6,11,3,6,67,30,0,4,8,0,41,0,0,0,5,0,10,5,0,0,0,0,3,234,35,61,20,187,536
