POA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
POA6000,238,371,110,57,351,281,46,1455,107,204,91,56,244,191,17,908,38,69,31,22,101,102,8,365,12,8,6,3,49,61,0,135,3082,3434,746,539,4074,2480,549,14903
POA6003,53,102,26,18,83,40,0,326,30,52,23,15,69,18,0,208,11,18,3,4,29,6,0,80,0,3,3,0,5,0,0,22,846,946,194,118,853,382,31,3382
POA6004,303,406,130,61,332,199,28,1453,158,241,140,56,292,120,12,1013,53,83,53,26,119,50,7,380,9,17,6,0,55,12,0,109,2564,2892,760,447,3406,1497,240,11809
POA6005,145,183,51,50,126,46,0,603,73,123,35,35,130,29,5,438,44,48,25,16,125,14,0,262,10,14,8,0,82,3,0,114,1511,1702,386,257,1493,365,45,5757
POA6006,235,426,151,74,199,41,6,1126,113,236,110,61,164,48,0,725,55,86,47,31,143,40,0,400,29,37,16,10,130,25,0,247,2004,2616,845,509,1565,332,24,7896
POA6007,191,319,88,39,91,24,0,754,118,209,98,51,132,36,0,646,41,57,37,26,103,36,0,300,17,18,9,9,126,44,0,230,1897,2200,633,383,1229,382,14,6738
POA6008,425,759,305,101,253,85,4,1936,284,645,303,113,365,128,6,1837,106,262,170,85,309,116,0,1047,37,54,23,18,133,81,0,344,3390,4508,1667,888,2357,853,50,13709
POA6009,374,784,348,184,232,103,13,2040,293,657,431,214,328,127,10,2056,154,333,238,162,329,146,0,1367,72,94,56,36,249,75,5,588,4108,4621,2067,1358,3604,1019,80,16855
POA6010,432,886,335,173,271,67,14,2167,309,663,357,194,335,86,13,1957,225,387,243,165,343,84,0,1460,104,133,68,35,284,110,0,735,3841,4643,1961,1256,2760,706,55,15216
POA6011,245,469,229,133,111,32,7,1233,171,356,187,113,165,33,4,1030,97,157,114,73,136,40,0,619,27,55,19,15,82,46,0,247,1969,2269,1022,684,1272,284,41,7540
POA6012,224,377,163,95,166,57,7,1088,139,286,174,110,182,40,4,931,82,137,95,47,166,35,4,574,20,25,22,10,105,30,0,218,1791,2084,980,603,1533,365,29,7379
POA6014,505,989,409,177,241,39,6,2373,255,604,385,196,300,53,13,1801,141,309,190,127,305,38,5,1118,88,92,60,47,366,40,3,696,4273,5342,2400,1411,3358,427,54,17261
POA6015,197,370,194,88,95,19,7,967,89,188,123,86,105,16,0,610,75,139,120,84,114,21,3,558,45,72,48,35,96,10,0,303,1380,1586,835,556,927,119,24,5430
POA6016,211,409,156,68,179,30,0,1049,92,210,109,58,180,28,9,690,51,69,33,24,109,16,0,307,19,31,9,3,97,6,0,168,1957,2610,966,587,1968,303,25,8420
POA6017,72,86,38,22,111,22,0,363,44,75,28,26,119,18,0,306,23,35,21,11,77,6,0,175,13,14,0,0,38,3,0,67,869,996,292,203,1251,277,9,3901
POA6018,881,1633,600,314,726,107,22,4287,539,1017,592,386,823,142,14,3513,307,568,413,283,804,206,7,2605,140,195,87,65,681,212,3,1376,8156,10317,4024,2609,7059,1338,95,33592
POA6019,533,942,364,152,353,73,15,2422,265,570,331,155,382,76,6,1781,125,276,193,141,340,46,5,1130,65,75,45,39,204,13,0,442,4998,6156,2212,1345,3935,862,73,19578
POA6020,549,1156,478,252,352,41,3,2814,391,983,653,389,575,61,0,3049,174,385,271,208,415,58,3,1515,58,76,52,34,235,23,0,487,4101,5541,2651,1659,3179,411,32,17572
POA6021,425,731,316,248,586,81,12,2397,269,536,366,260,562,87,15,2087,194,306,229,153,499,94,0,1475,81,120,49,28,328,41,0,643,3759,4780,2010,1481,4609,705,34,17393
POA6022,106,188,70,50,85,9,0,507,78,196,119,76,155,11,0,640,33,97,53,47,97,10,3,347,12,23,10,9,27,4,0,78,845,1333,548,375,858,109,3,4072
POA6023,298,665,320,153,227,29,9,1702,235,603,398,254,340,28,5,1857,107,251,165,136,274,46,0,983,30,58,22,15,170,23,0,318,2705,3918,1924,1184,2157,257,23,12160
POA6024,267,509,196,119,232,37,4,1374,206,499,329,242,361,37,0,1668,111,206,134,109,239,31,0,838,31,45,17,8,73,9,0,180,2385,3346,1412,1041,2233,322,16,10754
POA6025,761,1357,659,369,626,76,9,3861,424,1038,706,466,756,63,6,3455,186,354,254,191,459,71,0,1503,58,77,46,31,194,37,0,443,5599,7565,3501,2273,5059,687,30,24716
POA6026,635,1253,532,311,456,40,7,3233,373,835,532,368,628,46,7,2798,130,237,153,152,447,42,3,1174,82,97,46,35,447,30,0,741,4177,5522,2455,1578,4038,342,30,18134
POA6027,1071,2055,874,465,1077,225,7,5768,549,1206,828,552,1057,166,9,4361,211,380,286,204,617,191,3,1892,84,89,52,36,358,158,5,773,7846,10056,4274,2833,7837,1657,56,34551
POA6028,684,1281,528,289,655,57,0,3498,249,499,316,219,487,42,3,1820,84,158,96,76,259,21,5,700,34,35,19,10,96,4,0,201,4490,5509,2280,1488,4296,427,29,18508
POA6029,55,152,60,22,41,9,4,346,43,120,60,24,51,8,0,310,17,51,41,25,41,10,0,193,5,12,13,14,28,6,0,72,539,703,347,188,368,79,6,2240
POA6030,788,1494,609,399,1083,160,10,4546,367,715,441,324,830,95,11,2784,220,375,265,216,659,126,3,1865,72,118,55,34,411,86,0,772,6866,8600,3511,2632,8344,1518,60,31523
POA6031,274,529,189,129,414,36,6,1584,111,224,131,97,251,32,5,845,49,69,29,27,117,8,0,300,6,8,4,6,27,0,0,56,3079,3773,1448,1128,3645,444,25,13534
POA6032,3,16,8,3,3,4,0,45,0,5,8,4,0,3,0,18,0,0,3,4,4,0,0,6,0,0,0,0,0,0,0,0,32,47,22,12,26,20,0,162
POA6033,10,16,12,5,11,3,0,71,5,13,7,4,11,0,0,43,4,4,0,0,6,0,0,9,0,3,0,0,5,0,0,6,75,86,51,29,91,25,5,359
POA6034,36,68,30,12,48,11,0,208,18,46,24,10,36,8,0,143,7,14,5,4,13,0,0,47,0,0,0,0,0,0,0,0,549,768,250,257,585,126,3,2532
POA6035,185,302,127,114,269,50,4,1047,89,211,136,121,240,32,0,831,46,82,68,45,185,35,0,464,13,20,9,0,73,31,0,146,1490,2038,869,846,2133,434,38,7846
POA6036,287,482,218,96,422,53,9,1560,107,262,152,117,282,30,0,951,46,81,46,43,139,27,0,391,13,11,12,5,32,7,0,78,2906,3450,1382,1034,3688,491,23,12980
POA6037,68,152,60,61,91,36,0,469,39,85,65,58,91,20,0,356,16,34,38,22,56,11,0,177,3,4,3,6,16,8,0,30,481,706,377,327,653,206,11,2759
POA6038,106,210,95,50,187,20,6,668,37,110,61,43,134,8,4,400,11,25,15,9,70,16,0,146,0,5,0,0,27,0,0,39,1534,2037,768,655,1914,242,12,7157
POA6041,32,64,37,35,32,11,0,213,15,49,38,73,71,24,6,266,10,17,20,20,49,16,0,129,0,3,3,5,6,0,0,25,215,288,178,221,290,91,18,1302
POA6042,0,3,0,0,5,0,0,18,6,9,10,6,11,8,0,42,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,13,25,8,10,25,25,0,97
POA6043,5,15,9,8,11,3,0,55,11,6,8,17,19,6,0,63,6,8,4,9,5,3,0,28,0,0,0,0,0,0,0,3,38,48,21,32,55,20,0,212
POA6044,34,66,25,30,43,20,0,218,27,56,45,50,58,14,3,246,10,10,20,20,43,12,0,118,3,3,5,3,13,5,0,33,187,278,145,135,271,94,24,1142
POA6050,392,709,289,145,223,37,5,1807,238,440,291,149,303,73,3,1496,120,197,128,94,355,110,4,1016,80,78,42,19,389,105,0,708,3402,4014,1587,893,2812,612,24,13345
POA6051,245,382,148,74,299,53,10,1213,147,280,164,107,294,42,3,1038,54,97,54,44,170,19,0,443,24,26,8,6,43,7,0,120,2756,3502,1041,620,2569,584,34,11100
POA6052,273,526,222,100,241,47,0,1398,135,266,177,92,270,53,0,988,59,100,77,49,155,51,0,491,37,32,22,15,95,34,0,236,2194,2948,1162,687,1909,382,10,9289
POA6053,340,646,217,127,343,61,0,1724,166,380,198,135,362,49,0,1301,98,128,93,86,283,48,0,736,52,40,26,17,246,56,0,431,2770,3923,1431,934,2760,486,15,12317
POA6054,480,820,359,191,609,122,10,2586,232,556,314,213,592,95,12,2009,114,211,135,109,408,80,4,1060,42,62,41,25,202,25,0,404,3554,4897,1977,1338,4167,880,37,16850
POA6055,467,814,331,228,687,87,25,2633,217,433,287,189,504,55,17,1710,83,143,97,96,280,52,3,753,26,30,23,6,114,29,0,238,4920,6666,2485,2175,6684,1052,83,24056
POA6056,914,1561,687,461,1237,312,9,5192,528,1006,612,529,1213,264,6,4161,270,490,297,310,824,266,8,2466,113,100,81,45,390,254,0,992,6813,8749,3667,2990,9016,2620,67,33924
POA6057,370,693,282,186,444,75,7,2054,188,384,258,198,442,40,5,1510,75,207,128,130,306,40,0,890,41,43,15,16,168,25,0,310,2776,3698,1539,1226,3303,498,15,13063
POA6058,244,445,201,145,370,63,0,1462,150,332,241,183,393,43,0,1340,76,144,82,74,237,41,0,651,32,33,21,16,131,30,0,262,2101,2853,1208,955,2756,585,7,10473
POA6059,594,983,451,256,614,100,11,3014,377,645,380,273,707,91,8,2483,211,388,290,204,625,109,0,1827,117,161,64,62,345,38,0,793,4510,5411,2372,1645,5352,785,40,20107
POA6060,531,849,305,173,600,112,7,2580,321,546,286,202,557,63,3,1978,152,274,172,126,442,57,4,1218,87,108,62,33,422,47,0,757,5043,6292,2077,1363,5585,1000,46,21402
POA6061,602,982,373,276,1374,253,26,3882,390,608,312,259,1107,193,7,2882,166,284,141,142,673,120,0,1524,82,85,40,30,258,39,0,534,6203,7157,2562,2273,12140,2578,81,32996
POA6062,703,1143,548,356,1018,138,13,3917,430,882,567,468,1095,88,12,3549,285,497,300,251,785,100,4,2227,115,123,57,58,449,55,0,858,5643,7231,3081,2401,8500,1158,56,28065
POA6063,257,478,199,186,614,67,7,1799,156,302,143,128,423,50,7,1203,67,89,37,51,183,21,0,452,23,16,6,5,74,13,0,130,2260,2691,1084,977,4001,581,27,11615
POA6064,616,1032,438,332,1177,140,14,3753,410,638,426,288,956,149,11,2878,153,269,152,126,601,149,0,1455,52,45,34,13,216,138,0,491,4816,5566,2363,1892,8652,1435,52,24771
POA6065,1231,2028,859,544,1559,155,19,6400,631,1175,747,560,1388,129,23,4658,284,541,340,256,928,135,10,2504,87,137,60,45,451,117,5,911,11389,14279,5883,4364,13829,1647,94,51490
POA6066,470,825,374,277,692,61,12,2708,206,365,217,173,485,55,6,1502,77,149,83,62,254,34,0,652,24,35,12,13,91,12,0,192,3058,3602,1513,1193,4624,559,22,14574
