POA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6000,396,200,117,75,29,0,1588,14,131,102,51,51,27,0,0,372,394,1732,913,348,265,125,49,8,3842,185,422,296,190,156,74,24,9,1353,199,420,249,236,155,70,28,6,1364,61,39,19,5,10,5,6,0,135,13,27,23,30,18,20,5,6,145,269,483,288,273,189,96,30,10,1640,21,42,28,14,12,15,7,0,136,370,692,461,376,296,199,109,65,2556,1294,4235,2482,1447,1089,612,247,90,11497
POA6003,107,54,32,19,11,0,362,0,44,28,16,19,11,0,0,111,70,477,199,83,56,35,5,5,931,38,128,73,36,34,26,8,0,347,53,121,77,36,46,15,5,0,352,10,14,4,0,6,0,0,0,34,0,8,12,0,5,3,0,0,31,63,138,94,40,56,20,5,0,420,0,15,11,5,0,0,0,0,33,47,165,64,53,42,19,9,3,406,228,1098,577,286,238,134,40,5,2612
POA6004,437,183,144,85,22,6,1537,14,92,68,40,44,21,7,0,288,272,1355,756,350,297,185,45,17,3279,122,292,203,159,189,112,40,10,1125,136,289,185,176,164,103,32,0,1081,25,29,14,9,15,0,0,0,92,12,26,23,28,25,11,4,7,127,168,345,219,213,200,117,39,9,1300,12,27,19,17,7,17,6,5,116,131,402,356,259,213,137,59,17,1581,749,3158,2052,1220,1101,685,219,58,9233
POA6005,251,94,74,42,18,3,865,6,86,65,37,19,17,7,0,235,158,752,401,191,143,83,50,13,1784,24,147,105,71,68,41,22,10,496,72,141,101,72,64,33,13,7,505,28,13,5,5,0,5,0,0,60,4,10,13,11,12,6,3,0,62,104,163,124,78,80,45,21,12,624,6,16,3,6,8,8,8,3,60,40,120,78,55,49,54,23,9,431,357,1651,1024,536,443,285,147,50,4496
POA6006,245,128,104,56,14,0,794,3,84,89,92,70,29,10,0,371,182,708,633,415,275,147,43,9,2419,40,119,141,129,149,80,18,9,683,92,176,148,130,115,61,25,19,766,27,14,8,11,8,7,3,0,74,3,7,12,33,28,16,10,0,109,129,195,170,168,148,83,38,20,951,0,13,6,9,3,9,3,0,46,24,70,65,29,56,67,54,40,400,392,1416,1342,985,813,463,171,79,5664
POA6007,291,196,106,76,14,5,987,6,94,63,67,45,17,8,4,310,146,772,530,356,211,169,47,23,2251,40,109,115,96,111,75,32,17,596,84,133,101,69,79,50,28,10,557,36,14,4,0,4,8,5,0,65,5,13,10,17,13,18,6,0,81,117,158,115,86,96,78,38,10,701,0,7,8,9,7,4,3,0,55,56,116,39,44,32,42,49,66,447,383,1546,1163,863,615,473,191,119,5346
POA6008,594,459,361,275,109,22,2366,10,118,131,155,116,98,37,3,665,335,1127,970,721,612,477,219,62,4521,48,133,152,206,209,197,139,22,1099,108,160,125,99,131,103,58,16,796,48,6,15,9,13,11,5,0,104,9,18,22,24,52,38,21,12,194,161,187,159,134,188,154,85,28,1094,0,7,20,18,17,22,19,7,114,78,140,146,131,106,175,155,81,1015,679,2226,2163,1819,1613,1390,753,224,10873
POA6009,619,591,441,366,179,51,2908,13,77,125,168,145,96,56,10,691,747,881,881,944,717,676,340,113,5302,113,93,121,170,204,213,159,66,1135,199,118,88,85,87,76,52,19,721,108,15,5,9,10,11,7,0,158,18,5,10,19,28,33,24,13,154,321,136,107,113,115,122,86,31,1035,21,17,20,13,14,27,30,12,158,183,148,165,96,117,163,185,103,1156,1480,1941,2035,2091,1758,1666,1036,388,12389
POA6010,436,522,361,254,146,62,2123,3,93,97,175,140,101,44,14,665,382,841,871,1034,754,624,338,120,4965,42,94,160,232,275,283,203,78,1370,106,138,121,127,125,90,62,27,799,26,17,11,13,11,9,9,3,80,5,11,16,37,39,50,35,9,210,144,163,144,172,168,144,112,41,1093,9,14,19,29,16,30,30,28,177,106,113,89,106,99,112,155,142,922,716,1633,1817,2269,1820,1546,1023,493,11309
POA6011,159,240,222,144,62,15,996,0,34,40,59,63,45,19,3,267,178,489,431,602,477,367,173,44,2763,15,48,59,107,141,115,88,33,608,38,59,55,51,52,48,20,10,337,11,3,6,5,11,3,0,4,42,4,4,4,18,27,25,21,9,106,51,68,65,79,88,69,47,25,482,4,4,12,10,14,17,15,3,75,35,37,53,41,51,50,59,58,380,294,821,823,1131,1057,808,452,178,5568
