POA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
POA6000,30,5,16,6,52,6,0,0,0,8,3,3,4,0,11,5,7,4,0,15,13,3,7,3,26,14,12,13,0,35,47,7,21,0,76,50,13,22,5,91,66,19,21,10,114,93,30,25,8,155,92,19,12,4,131,100,39,18,8,162,256,77,30,8,373,194,52,5,7,261,168,60,10,0,243,138,49,4,0,187,372,171,19,9,569,160,53,20,5,243,12,0,3,0,19,1832,608,246,77,2761
POA6003,3,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,13,3,0,0,0,6,12,0,7,0,19,14,5,3,3,27,27,3,9,3,37,38,12,7,5,51,27,5,8,0,37,28,9,8,0,45,76,14,10,6,100,71,24,3,0,103,49,14,9,0,72,24,11,0,0,37,89,60,0,0,154,44,22,5,0,75,4,0,0,0,8,518,183,79,20,796
POA6004,36,0,7,5,53,12,0,4,0,13,7,0,5,0,13,0,0,3,0,9,15,4,8,0,28,9,3,9,6,26,47,4,19,0,79,50,15,18,4,81,82,20,22,9,133,127,21,10,5,164,83,28,22,6,135,88,38,20,9,146,246,92,25,9,376,185,42,14,10,246,168,60,20,4,250,120,27,4,0,152,444,210,23,4,681,148,54,13,0,222,6,0,4,0,14,1877,628,252,74,2828
POA6005,10,4,4,3,23,0,0,3,0,5,0,3,0,0,10,0,0,5,0,5,9,0,3,0,10,11,8,6,3,19,16,5,6,3,30,28,3,13,3,44,16,6,7,0,39,41,10,10,0,60,32,10,5,5,51,36,11,14,5,71,97,32,24,4,157,96,28,9,3,129,84,30,6,0,123,72,20,3,0,96,199,102,13,4,318,64,26,9,0,92,6,0,0,0,0,812,297,146,35,1293
POA6006,15,0,6,5,23,4,0,0,0,4,3,0,0,0,5,0,3,4,0,9,19,0,9,4,25,7,5,12,0,29,50,6,17,0,65,31,8,26,3,73,55,18,30,8,113,56,18,22,5,103,34,32,24,3,94,40,24,17,0,89,104,66,35,7,213,111,86,15,6,217,93,104,11,0,210,61,99,6,4,170,282,510,21,4,825,54,76,24,0,151,14,0,0,0,12,1040,1057,276,50,2420
POA6007,13,5,5,6,19,3,0,4,0,8,0,0,3,3,8,0,0,3,0,9,16,3,3,0,21,7,0,14,0,27,26,6,10,0,38,23,0,17,7,48,37,6,13,0,61,57,18,19,11,97,31,13,19,0,60,43,20,15,0,83,103,46,34,5,195,112,58,8,8,181,105,62,13,3,172,79,44,6,0,130,309,386,41,4,736,76,57,22,0,157,0,0,0,0,5,1025,719,248,50,2042
POA6008,28,0,17,0,42,11,0,4,0,10,5,0,3,0,11,5,0,8,0,19,23,3,11,0,34,24,3,18,5,51,68,5,22,0,102,64,14,29,9,113,89,20,31,6,157,88,30,30,7,155,61,25,29,3,116,101,38,45,3,187,177,134,68,13,394,171,100,25,9,302,139,120,26,4,291,116,126,10,0,258,517,953,77,12,1548,111,125,45,0,286,13,3,4,0,19,1813,1724,515,66,4112
POA6009,44,11,12,5,73,15,3,6,0,25,20,0,10,5,26,12,0,4,0,18,23,10,9,0,39,18,9,14,0,42,58,21,10,9,94,69,19,38,3,126,103,36,33,9,184,122,34,31,6,188,79,44,29,4,150,101,59,24,9,184,183,122,53,6,363,136,93,25,8,255,115,101,18,0,239,72,93,8,0,172,572,1373,79,5,2020,93,209,29,0,337,12,13,0,0,23,1826,2252,422,68,4566
POA6010,27,9,17,0,50,14,3,6,4,29,3,3,7,3,19,4,3,12,0,19,23,3,21,0,48,25,3,25,0,50,80,11,21,0,114,83,8,41,6,141,92,10,41,8,156,133,30,60,3,224,72,33,32,8,152,109,32,43,10,189,174,127,73,0,373,163,115,34,0,312,130,139,34,6,307,90,158,13,3,261,538,1379,94,3,2020,115,215,60,5,389,16,8,5,0,25,1898,2284,639,53,4872
POA6011,9,3,10,0,30,8,0,4,0,12,7,0,3,4,9,0,0,0,0,6,10,4,6,0,22,12,8,8,3,23,24,0,6,0,36,27,3,13,0,45,40,0,7,5,61,45,4,12,0,68,28,11,11,0,48,46,8,12,0,69,82,43,37,5,159,74,44,14,0,133,78,42,11,0,140,60,44,6,0,111,420,767,64,3,1252,76,123,23,0,224,13,4,0,0,21,1064,1118,255,30,2458
POA6012,12,6,14,0,31,5,0,7,0,13,0,0,7,0,6,4,4,5,0,14,22,0,0,0,34,13,3,13,0,35,30,7,7,3,48,42,11,20,0,68,53,11,27,0,95,52,20,11,0,84,31,18,20,6,74,49,27,14,4,93,87,34,29,4,162,64,55,14,0,131,64,89,14,0,164,35,43,0,0,76,250,654,34,3,945,62,118,20,3,207,7,5,0,0,12,880,1104,262,31,2284
POA6014,36,5,10,0,46,17,6,0,0,23,15,4,10,3,31,8,0,8,0,16,39,5,8,0,53,33,3,31,3,69,84,17,33,3,137,101,18,30,9,156,133,41,53,5,245,180,55,53,19,306,116,59,47,3,227,145,75,35,9,262,243,187,63,16,508,183,187,36,0,411,156,223,32,5,412,104,182,12,0,297,476,1712,69,4,2267,117,232,47,0,391,12,13,4,0,29,2190,3034,576,82,5883
POA6015,15,4,4,0,16,11,3,0,0,10,3,0,0,0,4,0,0,0,0,4,13,0,5,0,15,5,0,6,0,8,37,0,0,0,38,26,3,14,0,41,54,9,12,0,68,57,0,10,0,66,26,4,10,0,40,32,18,10,0,55,58,33,13,0,102,44,39,14,5,95,49,49,9,0,109,21,47,4,0,75,248,674,22,0,947,37,120,21,0,176,12,7,0,0,23,726,1001,142,14,1888
