POA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
POA6000,178,149,438,0,3,770,161,191,889,0,0,1249,84,190,2779,0,8,3055,0,26,134,0,0,162,5,8,56,0,6,72,74,117,477,3,8,685,8,12,75,0,3,101,0,0,14,0,0,14,172,354,3537,3,25,4092,9,5,38,0,0,58,30,35,416,285,6,768,555,733,5322,285,36,6935
POA6003,94,65,100,0,0,258,64,63,257,0,0,389,43,99,568,0,0,719,0,63,14,0,0,74,0,6,15,0,0,21,32,30,137,0,4,201,5,4,20,0,0,35,0,0,5,0,0,3,83,200,753,9,7,1051,6,4,22,0,0,27,16,16,115,57,3,208,263,353,1247,69,9,1934
POA6004,89,98,722,0,0,912,60,94,996,0,0,1149,37,83,2480,0,7,2613,0,15,195,0,0,209,0,0,70,0,0,75,20,31,474,0,0,525,0,5,57,0,3,65,0,3,15,0,0,19,65,139,3300,0,14,3509,0,6,48,0,4,67,7,15,413,40,6,485,223,356,5483,40,25,6129
POA6005,77,53,318,0,0,443,70,113,382,0,0,563,73,143,1134,0,0,1349,0,9,126,0,0,128,0,10,20,0,0,27,37,41,296,0,0,377,0,0,22,0,0,27,0,0,11,0,0,7,112,201,1603,0,0,1919,10,9,41,0,0,58,6,16,134,5,0,166,276,385,2481,5,3,3155
POA6006,933,152,49,0,0,1132,1005,242,137,0,4,1386,337,176,293,5,0,812,6,39,35,0,0,79,0,16,0,0,0,23,194,63,79,0,0,341,12,12,9,0,0,27,0,4,0,0,0,5,555,308,423,5,0,1290,36,18,11,0,0,64,73,21,41,0,0,143,2602,744,661,9,9,4017
POA6007,566,194,109,0,0,873,589,263,253,5,0,1105,275,246,488,6,0,1015,5,23,9,0,0,36,0,8,3,0,0,10,126,89,142,4,0,364,0,0,4,0,0,12,0,0,0,0,0,0,408,370,654,10,4,1440,15,52,10,0,0,77,33,26,98,6,0,166,1613,899,1114,29,4,3664
POA6008,1499,328,344,0,0,2180,1122,295,340,3,0,1759,433,397,1050,4,0,1888,5,38,238,0,0,282,0,0,33,0,0,35,177,137,256,0,5,584,14,15,28,0,0,53,0,0,4,0,0,8,630,594,1615,8,4,2846,46,19,69,0,0,128,73,29,147,14,3,267,3362,1272,2519,22,4,7177
POA6009,2174,261,268,0,0,2710,1251,161,101,0,0,1511,528,303,497,0,0,1323,5,9,20,0,0,29,0,25,34,0,0,56,168,113,142,0,0,423,22,25,44,0,0,89,0,0,3,0,0,5,731,468,734,0,3,1929,72,22,35,0,0,138,75,26,67,3,0,168,4304,937,1210,4,3,6453
POA6010,1947,593,374,0,4,2913,1461,331,209,0,0,2006,321,230,632,0,0,1180,48,91,43,0,0,181,0,21,12,0,0,34,137,101,153,0,0,392,142,11,7,0,0,163,0,0,0,0,0,6,640,455,849,6,0,1945,41,53,150,0,0,241,90,67,116,0,6,273,4174,1496,1694,6,9,7381
POA6011,1276,167,132,0,0,1574,737,92,72,0,0,904,231,93,295,0,0,621,5,0,0,0,0,5,0,0,0,0,0,0,118,42,109,0,0,267,10,0,5,0,0,12,0,0,0,0,0,3,356,143,408,0,4,907,30,16,4,0,0,56,61,23,39,0,0,123,2466,439,655,0,4,3567
POA6012,1011,124,93,0,0,1228,837,107,90,0,0,1035,187,111,450,0,0,750,11,85,78,0,0,166,9,8,0,0,0,16,85,41,124,0,0,247,9,3,14,0,0,26,4,0,0,0,0,7,300,244,665,0,0,1213,16,38,10,0,0,62,62,24,79,3,0,168,2231,538,925,3,4,3702
POA6014,2295,240,353,0,5,2895,2107,280,364,0,6,2759,422,315,958,0,0,1700,0,29,19,0,0,46,0,5,7,0,0,13,186,94,288,0,0,562,15,3,48,0,0,66,0,0,3,0,0,9,628,447,1327,0,3,2401,54,104,158,0,0,317,67,35,108,0,0,216,5149,1101,2307,0,17,8577
POA6015,1061,60,43,0,0,1158,718,16,9,0,0,745,150,10,10,0,0,174,0,0,0,0,0,0,0,0,4,0,0,5,60,0,0,0,0,64,4,0,3,0,0,5,0,0,0,0,0,0,216,17,12,0,0,247,27,28,89,0,0,136,49,6,9,0,0,65,2065,128,172,0,0,2359
POA6016,838,144,68,0,0,1053,1077,250,164,6,0,1495,244,278,318,4,0,843,30,109,52,0,0,190,0,12,13,0,0,33,177,93,118,9,0,389,6,23,22,0,0,49,0,0,4,0,0,8,456,517,529,11,0,1510,30,10,14,0,0,51,44,62,50,0,0,156,2446,973,824,23,0,4265
POA6017,134,224,27,0,0,383,126,318,92,0,0,542,63,409,299,0,4,776,5,77,8,0,0,88,0,12,3,0,0,19,39,146,79,0,0,263,0,17,8,0,0,28,0,5,0,0,0,6,113,671,390,0,3,1184,5,11,5,0,0,16,14,84,73,0,4,173,394,1312,591,0,6,2302
POA6018,3995,923,218,69,3,5208,4513,1496,175,6,0,6197,1073,977,360,0,0,2410,210,440,64,0,0,717,13,62,6,0,0,82,502,362,85,0,6,951,59,32,6,26,0,126,4,11,6,0,0,15,1869,1887,519,27,0,4309,150,108,119,3,0,375,258,194,87,18,0,561,10788,4616,1129,117,6,16659
POA6019,1633,975,214,0,4,2825,1927,1399,278,0,0,3611,519,1168,601,0,4,2295,45,76,15,0,0,131,4,7,6,0,0,14,271,459,176,0,0,909,13,37,21,0,0,64,5,8,0,0,0,19,854,1761,812,4,4,3429,37,55,15,0,0,105,134,196,138,0,11,477,4583,4379,1459,4,17,10443
POA6020,3078,523,97,0,0,3703,2631,377,41,0,0,3036,338,218,53,0,0,602,3,34,81,0,0,119,0,11,7,0,0,19,203,154,47,0,0,404,3,5,8,0,0,22,0,5,0,0,0,8,551,425,192,0,0,1174,47,25,50,0,0,117,114,47,60,0,0,224,6417,1396,436,0,5,8257
POA6021,2572,469,14,0,0,3049,2108,838,18,0,0,2963,482,545,11,0,0,1041,24,247,0,0,0,267,4,24,0,0,0,32,257,308,6,0,0,572,32,30,0,0,0,64,5,12,0,0,0,17,809,1163,21,0,0,2001,62,73,0,0,0,145,147,164,3,0,4,318,5695,2711,57,0,3,8467
POA6022,727,61,5,0,0,796,778,66,0,0,0,852,138,23,0,0,0,158,5,0,0,0,0,5,0,0,0,0,0,0,110,25,0,0,0,140,13,0,0,0,0,15,5,0,0,0,0,5,274,47,0,0,0,324,13,0,0,0,0,13,41,15,0,0,0,53,1833,192,5,0,0,2028
POA6023,2175,109,11,0,0,2296,2355,93,12,0,0,2462,353,44,34,0,0,432,6,17,10,0,0,30,3,7,6,0,0,15,148,19,9,0,0,176,6,0,0,0,0,9,0,6,0,0,0,5,508,86,64,0,0,666,39,53,12,0,0,104,58,22,9,0,5,98,5138,365,110,0,7,5621
POA6024,1812,129,9,0,0,1944,2201,141,6,0,0,2352,395,66,6,0,0,464,30,3,0,0,0,34,4,10,0,0,0,16,225,35,0,0,0,264,18,4,0,0,0,22,0,0,0,0,0,0,677,118,12,0,0,799,38,13,0,0,0,51,121,15,0,9,0,143,4845,415,25,9,3,5296
POA6025,3909,382,48,0,0,4341,4902,353,37,0,0,5290,992,168,16,0,0,1172,28,22,0,0,0,57,7,9,0,0,0,8,551,110,16,0,0,676,32,0,0,0,0,38,6,4,0,0,0,14,1616,314,29,0,0,1964,76,18,5,0,0,94,194,38,11,27,0,263,10702,1097,123,25,5,11957
POA6026,2947,366,0,82,0,3398,3479,198,0,5,0,3684,457,82,0,0,0,538,0,22,0,0,0,20,3,18,0,0,0,19,246,52,0,0,0,304,14,6,0,8,0,20,0,0,0,0,0,8,714,182,0,8,0,905,44,146,4,5,0,195,96,50,0,10,0,157,7281,939,9,104,0,8341
POA6027,4616,349,111,3,0,5081,6372,361,156,0,0,6892,1364,399,459,6,9,2234,85,98,16,0,0,194,18,12,0,0,0,38,706,151,100,5,0,965,43,9,13,5,0,62,11,6,3,0,0,19,2223,667,594,11,11,3512,88,21,16,0,0,118,341,82,76,71,20,591,13636,1485,950,91,32,16192
POA6028,2164,71,23,8,0,2269,4250,69,48,0,0,4367,611,48,96,0,0,754,0,29,0,0,0,31,0,8,0,0,0,8,299,26,24,0,0,349,24,0,0,0,0,27,0,0,0,0,0,3,940,112,114,8,0,1169,41,4,0,0,0,42,146,14,11,8,4,184,7539,269,197,20,6,8033
POA6029,431,31,0,0,0,461,337,29,4,0,0,365,47,17,0,0,0,64,0,0,0,0,0,0,0,3,0,0,0,3,40,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,85,23,0,0,0,117,6,41,0,0,0,52,26,10,0,0,0,39,889,135,4,0,0,1034
POA6030,2583,292,22,0,0,2902,6963,225,44,0,3,7235,1748,245,52,0,0,2040,202,100,0,0,0,300,36,59,0,0,0,95,884,77,15,0,0,975,81,19,0,0,0,100,7,5,0,0,0,14,2951,499,69,0,4,3526,236,358,6,0,0,602,524,106,14,9,3,651,13252,1481,151,13,11,14913
POA6031,772,8,4,0,0,782,3957,52,6,0,0,4020,623,31,0,0,0,653,93,66,0,0,0,153,21,28,0,0,0,49,301,5,3,0,0,308,33,0,0,0,0,33,0,0,0,0,0,0,1066,130,3,0,0,1199,32,4,0,0,0,29,169,18,0,0,0,187,5993,210,9,4,3,6214
POA6032,21,0,0,0,0,21,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,6,0,0,0,0,4,6,0,0,0,0,9,74,0,0,0,0,73
POA6033,43,0,0,0,0,43,49,0,0,0,0,49,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,9,0,0,0,0,9,0,0,0,0,0,0,29,0,0,0,0,29,7,0,0,0,0,5,10,0,0,0,0,10,139,0,0,0,0,143
POA6034,91,0,0,0,0,90,868,3,0,0,5,875,210,4,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,263,4,0,0,0,272,3,0,0,0,0,3,57,0,0,0,0,57,1279,9,0,0,5,1287
POA6035,700,24,3,0,0,728,2089,25,0,0,0,2113,574,10,0,0,0,582,12,0,0,0,0,12,5,0,0,0,0,5,194,10,0,0,0,204,27,0,0,0,0,24,0,0,0,0,0,0,810,18,0,0,0,829,30,25,0,0,0,58,157,8,0,0,3,169,3785,100,7,0,4,3896
