POA_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
POA6000,929,1832,4412,2406,1233,1031,646,265,77,12819,0,3,10,4,4,6,3,0,0,37,0,13,22,17,45,21,4,0,0,122,0,5,31,26,22,27,10,0,0,122,4,9,31,31,40,17,9,0,0,136,0,4,16,19,13,15,3,0,0,61,42,199,382,325,369,282,208,96,62,1962,0,0,5,0,3,0,7,0,0,23,0,0,3,11,11,3,3,0,0,32,0,0,3,0,4,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,52,228,494,431,500,372,242,95,62,2476,52,233,507,436,511,375,243,95,62,2511,19,97,203,108,62,46,17,8,0,570,993,2163,5123,2951,1802,1455,908,365,135,15898
POA6003,277,386,1224,611,330,285,192,74,22,3408,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,4,0,5,0,0,0,17,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,27,49,25,36,23,13,3,0,181,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,32,57,39,35,35,14,3,0,220,9,32,59,39,35,35,14,3,0,227,4,8,11,5,3,0,0,0,0,29,290,435,1287,656,374,326,208,80,22,3664
POA6004,833,1170,3242,1976,1221,1168,890,333,100,10925,10,5,13,18,9,18,9,0,0,75,6,13,17,36,27,40,9,0,0,144,0,0,20,10,20,22,0,3,0,86,0,9,33,27,27,39,8,0,0,139,0,5,3,9,24,11,5,6,0,62,84,92,250,182,162,111,74,30,14,1002,0,0,0,6,7,4,0,0,0,22,0,0,8,7,0,8,0,0,0,23,0,0,5,8,0,0,4,0,0,20,5,0,0,0,0,0,3,0,0,5,96,116,337,301,267,235,106,38,14,1510,105,119,351,313,277,253,112,40,14,1584,12,16,89,40,45,28,12,7,0,250,955,1306,3685,2321,1545,1453,1013,380,109,12768
POA6005,464,532,1804,1070,548,518,385,256,109,5695,0,0,8,9,7,4,0,0,0,27,0,7,3,0,7,8,0,0,0,22,0,0,4,4,0,3,0,0,0,14,0,3,5,4,6,8,4,0,0,30,0,0,0,0,3,0,4,0,0,12,14,55,74,62,73,59,34,7,3,388,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,19,67,81,69,102,77,39,7,3,477,19,64,88,80,107,83,44,7,3,499,0,5,14,5,6,0,5,0,0,45,482,606,1913,1162,666,603,438,262,114,6240
POA6006,1458,961,1605,1493,1202,1097,708,388,239,9155,0,0,0,0,0,4,3,0,0,11,0,5,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,24,40,18,15,13,11,3,8,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,45,18,22,14,16,13,8,182,16,30,48,18,25,19,21,14,8,198,0,0,0,5,3,6,0,0,0,24,1476,990,1656,1520,1233,1126,725,400,247,9367
POA6007,1073,757,1696,1234,974,731,625,295,221,7604,3,0,3,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,38,24,25,17,13,3,0,169,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,38,29,28,20,16,5,0,196,15,45,42,28,28,20,21,5,0,205,0,0,4,7,0,0,0,0,0,14,1082,801,1738,1269,1003,754,646,300,230,7825
POA6008,2558,1608,2301,2200,1936,1801,1693,941,314,15350,8,0,0,3,4,3,0,0,0,16,0,7,0,4,0,8,0,0,0,18,0,7,7,3,3,0,4,0,0,25,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,153,63,128,116,103,109,125,102,31,938,0,0,4,0,0,0,8,0,0,12,0,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,162,74,144,122,114,124,140,103,31,1016,163,79,142,126,113,130,143,103,31,1034,3,3,9,3,17,4,6,0,0,54,2726,1696,2457,2328,2066,1936,1837,1047,344,16439
POA6009,2991,3833,1902,1954,2156,1847,1818,1148,475,18125,3,7,0,0,4,3,3,3,0,27,4,5,5,0,0,0,4,0,0,15,5,13,3,5,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,266,289,210,199,122,179,217,216,108,1808,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,270,313,225,208,130,186,229,214,109,1885,271,319,225,215,134,186,235,215,110,1912,7,25,15,9,4,13,10,0,5,83,3270,4184,2145,2171,2295,2040,2056,1367,588,20119
POA6010,3163,2438,1742,1903,2457,2110,1904,1414,715,17850,4,3,6,4,6,9,7,4,0,38,0,8,9,7,0,0,0,0,0,26,0,0,4,0,0,3,3,3,0,16,0,5,3,8,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,4,57,72,63,49,58,36,38,30,20,420,0,0,0,0,0,0,4,0,0,3,0,0,6,8,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,94,85,71,58,41,39,34,20,504,66,91,91,79,64,50,46,36,19,541,6,8,8,5,9,14,13,0,0,63,3235,2533,1839,1989,2533,2167,1957,1460,735,18453
POA6011,1438,1242,856,867,1226,1199,1003,602,243,8662,0,0,0,0,0,0,0,3,0,11,0,7,6,0,0,3,0,4,0,28,0,0,5,0,4,5,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,65,45,57,26,26,16,18,10,0,272,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,56,63,31,33,26,26,12,0,323,65,58,68,30,38,26,26,15,6,335,9,7,8,7,3,7,4,0,0,54,1509,1305,934,911,1268,1233,1030,619,247,9051
