POA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
POA6000,121,133,249,450,477,934,3,5,3,0,0,0,45,65,113,1590,1149,2739,127,193,318,14,0,15,36,8,39,129,52,185,159,42,200,1066,732,1791,3736,2857,6592,64,92,155,0,0,0,0,0,0,5,3,8,3,5,5,7,5,12,77,110,181,0,0,0,0,0,0,3,9,10,0,14,17,16,14,32,29,33,63,51,15,66,152,160,310,11,18,36,9,7,20,7,0,10,34,29,57,416,307,720,600,520,1114,29,20,52,4964,3875,8845
POA6003,20,25,43,104,126,230,0,0,0,0,0,0,13,21,29,522,409,934,33,58,93,5,0,5,6,0,9,45,13,58,17,9,28,176,134,314,953,805,1756,20,16,33,0,0,0,0,0,0,6,0,6,0,0,0,0,4,5,24,16,42,0,0,0,0,0,0,0,0,0,0,3,8,8,17,20,13,19,28,16,8,25,45,43,95,0,10,11,4,0,8,0,0,0,9,9,17,102,86,185,103,103,210,7,4,12,1219,1046,2267
POA6004,69,62,131,792,750,1539,3,0,0,0,0,0,36,42,85,1527,1064,2588,106,202,309,6,0,6,30,3,36,61,11,79,96,29,132,392,309,701,3118,2480,5601,62,78,137,0,0,0,0,0,0,4,5,3,0,0,0,3,0,3,65,83,152,0,0,0,0,0,0,4,7,15,5,20,18,19,19,39,30,47,74,28,12,42,125,138,266,17,17,30,9,7,14,3,4,5,28,24,50,361,257,618,431,358,788,26,12,34,4082,3276,7359
POA6005,36,46,83,304,291,593,0,0,0,0,0,0,22,33,49,819,673,1497,41,91,132,3,0,3,16,3,21,50,22,74,40,19,55,287,232,519,1610,1411,3023,28,50,75,0,0,0,0,0,0,0,0,3,0,0,3,5,0,5,34,51,85,0,0,0,0,0,0,4,9,16,0,5,5,11,5,14,18,22,40,19,4,17,69,74,145,5,8,10,4,0,3,0,0,3,5,10,17,191,153,336,170,237,402,6,5,7,2044,1893,3938
POA6006,12,11,20,320,289,609,0,0,0,0,0,0,25,23,47,1483,1388,2870,70,114,184,14,0,14,20,8,29,77,34,110,22,12,36,84,83,168,2128,1959,4087,16,35,45,0,0,0,0,0,0,5,5,7,0,0,3,6,0,6,29,37,61,0,0,0,0,0,0,0,6,12,3,6,7,3,3,7,10,14,25,16,8,26,52,65,119,5,5,8,5,0,6,0,0,0,12,9,18,302,303,600,218,384,605,9,12,23,2715,2730,5441
POA6007,170,140,307,161,160,323,0,0,0,0,0,0,27,20,51,1123,1140,2263,59,118,182,5,0,5,11,0,16,90,35,123,25,12,37,138,130,263,1810,1757,3569,34,45,81,0,0,0,0,0,0,4,0,10,3,4,8,3,3,9,48,55,103,0,0,0,0,0,0,6,7,6,0,4,5,3,4,6,7,13,20,10,15,28,69,83,153,5,9,19,0,0,3,5,0,5,12,10,19,246,280,525,175,274,450,9,7,13,2324,2414,4736
POA6008,274,217,485,369,318,686,0,0,0,0,0,0,35,38,75,1814,1918,3728,141,227,370,7,0,7,33,9,40,188,91,280,41,20,62,316,329,644,3212,3161,6375,54,55,107,0,0,0,0,0,0,7,0,9,3,7,9,11,6,18,75,65,144,0,0,0,0,0,0,0,7,8,9,10,10,12,8,16,18,18,38,32,24,56,125,111,234,5,8,11,0,0,4,0,0,0,9,8,22,535,537,1082,348,525,873,11,14,24,4237,4364,8606
POA6009,30,26,54,377,330,705,5,0,5,0,0,0,15,18,38,2545,2089,4630,168,251,421,6,0,6,25,7,30,180,74,259,34,16,45,266,291,563,3652,3099,6749,36,35,69,0,0,0,0,0,0,3,8,15,0,3,0,0,0,0,39,45,83,0,0,0,0,0,0,13,15,29,9,12,22,13,3,18,37,29,67,35,13,48,108,93,202,7,12,18,10,8,14,0,5,5,14,17,34,561,625,1180,421,668,1090,29,28,55,4787,4530,9310
POA6010,244,171,419,196,147,339,0,0,0,0,0,0,10,15,23,2495,2367,4863,140,213,352,13,0,13,27,3,31,155,43,205,26,15,40,143,94,236,3452,3075,6522,28,27,57,0,0,0,0,0,0,19,13,31,3,13,13,0,5,4,49,61,103,0,0,0,0,0,0,5,11,14,0,3,8,0,4,0,8,20,24,33,18,50,91,94,180,10,0,10,0,0,0,4,0,3,9,4,12,601,595,1195,361,543,904,15,14,27,4532,4323,8854
POA6011,142,112,253,40,37,78,0,0,0,0,0,0,4,3,9,1467,1159,2623,58,102,161,4,0,4,10,0,10,68,22,90,16,7,20,55,65,115,1864,1504,3363,13,6,17,0,0,0,0,0,0,4,12,16,0,0,0,8,0,8,28,18,43,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,8,11,19,39,33,67,6,7,9,0,0,0,0,0,0,5,7,12,333,387,727,166,263,426,15,14,27,2417,2207,4622
