POA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6000,0,12,115,279,91,15,5,29,555,0,36,170,135,37,4,0,17,406,0,24,127,139,18,3,0,17,331,8,62,296,276,53,8,0,34,733,8,103,227,28,6,0,0,40,406,31,339,342,72,3,0,0,54,840,32,676,945,142,6,0,0,162,1960,37,613,1094,186,9,0,5,164,2109,0,0,0,4,0,0,0,0,0,98,1732,2606,434,16,0,5,419,5322,3,0,4,0,0,0,0,285,285,5,10,8,0,0,0,0,6,36,116,1818,3024,992,166,26,20,778,6935
POA6003,0,14,61,134,37,6,5,14,263,0,10,22,13,5,0,0,4,70,0,35,89,129,12,0,0,18,281,0,45,112,143,19,3,4,23,353,0,56,97,9,0,0,0,8,167,25,172,281,45,0,0,0,62,582,0,102,253,19,0,0,0,35,411,0,31,53,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,30,354,687,77,3,0,0,107,1247,0,7,0,0,0,0,0,57,69,0,0,0,0,0,0,4,3,9,29,417,861,345,56,12,9,201,1934
POA6004,0,7,21,101,70,12,4,7,223,0,0,3,0,0,0,0,5,13,0,11,77,158,63,10,4,14,339,0,17,82,158,63,10,4,17,356,0,27,68,4,0,0,0,15,117,0,126,286,137,7,0,0,49,606,48,396,813,347,11,0,0,102,1726,87,644,1481,561,14,0,7,249,3033,0,0,0,0,0,0,0,0,0,134,1187,2658,1051,34,0,10,418,5483,0,0,0,0,0,0,0,40,40,0,14,4,0,0,0,0,6,25,139,1222,2762,1317,165,26,13,490,6129
POA6005,0,11,99,99,49,6,0,9,276,0,7,83,30,8,0,0,4,131,0,23,70,123,20,0,0,10,252,0,34,159,154,26,0,0,16,385,3,31,46,19,0,0,0,7,113,5,197,241,127,0,0,0,43,603,33,304,603,176,13,0,3,54,1192,11,165,301,56,0,0,0,41,567,0,0,0,0,0,0,0,0,0,48,700,1190,375,13,0,6,144,2481,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,47,750,1443,632,87,10,6,172,3155
POA6006,0,24,409,1348,645,99,12,64,2602,0,49,94,131,14,0,0,15,296,0,19,101,276,42,0,0,8,451,0,61,195,407,55,0,0,20,744,3,105,70,63,0,0,0,24,261,0,53,126,3,0,0,0,12,199,4,113,63,0,0,0,0,8,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,270,272,65,0,0,0,41,661,0,0,6,0,3,0,0,0,9,0,0,0,0,0,0,0,0,9,6,358,877,1824,703,100,16,134,4017
POA6007,0,26,273,795,390,79,9,37,1613,0,18,119,66,13,0,0,7,214,0,53,191,385,35,0,0,22,680,0,70,313,452,43,0,0,30,899,4,53,117,9,5,0,0,13,200,0,64,159,27,0,0,0,14,263,15,227,162,28,4,0,0,62,500,0,29,112,0,0,0,0,6,155,0,0,0,0,0,0,0,0,0,19,371,560,63,6,0,0,100,1114,0,0,13,3,0,0,0,6,29,0,0,0,0,0,0,0,0,4,19,466,1155,1317,444,82,12,180,3664
POA6008,0,37,506,1534,987,217,25,59,3362,0,30,103,110,14,0,0,15,266,4,64,330,523,58,0,0,24,999,4,93,435,628,70,4,0,37,1272,0,195,281,75,0,0,0,28,583,44,321,280,50,8,3,0,36,740,15,436,509,105,0,0,0,96,1156,0,0,36,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,56,950,1103,236,9,3,0,156,2519,0,8,0,4,0,0,0,14,22,0,0,0,0,0,0,0,3,4,68,1087,2038,2401,1062,220,30,265,7177
POA6009,5,24,275,1102,1765,874,177,72,4304,0,24,165,167,20,0,0,9,381,3,32,162,311,28,0,0,14,553,7,55,323,479,44,4,6,23,937,5,127,273,81,7,0,0,20,515,18,133,140,40,3,0,0,24,361,0,12,72,111,0,0,0,7,204,0,7,36,68,5,0,0,7,118,0,0,0,0,5,0,0,0,10,30,278,512,295,19,0,3,62,1210,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,38,360,1114,1883,1831,880,187,159,6453
POA6010,4,8,273,1400,1800,501,101,86,4174,3,50,224,391,113,9,0,32,834,0,45,161,295,127,12,0,24,660,3,98,384,691,242,20,0,59,1496,0,62,209,40,3,0,0,23,332,0,136,98,43,0,0,0,24,298,0,159,440,138,0,0,0,62,799,0,12,186,39,7,0,0,10,259,0,0,0,0,0,0,0,3,4,0,362,938,257,6,0,0,118,1694,0,0,0,0,0,0,0,0,6,0,0,5,3,0,0,0,6,9,5,471,1601,2349,2048,524,103,270,7381
POA6011,0,22,208,854,893,352,73,66,2466,0,13,46,60,10,5,0,10,143,0,7,66,183,31,3,0,14,294,0,13,107,246,46,9,0,24,439,0,33,107,45,5,0,0,10,199,25,96,185,37,4,0,0,20,364,5,10,58,16,0,0,0,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,137,346,100,9,0,0,41,655,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,27,178,667,1200,942,359,73,120,3567
POA6012,3,10,160,758,895,315,39,61,2231,0,47,131,103,5,0,0,10,302,0,15,73,133,7,0,0,13,235,0,62,203,230,10,0,0,28,538,0,19,58,0,0,0,0,10,91,14,212,119,4,0,0,0,34,376,0,105,247,19,0,0,0,30,412,0,0,38,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,14,341,464,26,0,0,0,79,925,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,4,19,413,834,1014,906,312,39,167,3702
POA6014,5,20,343,1870,2206,541,89,60,5149,4,16,247,222,28,4,0,14,539,0,53,230,237,27,4,0,18,571,4,72,470,461,52,11,0,31,1101,0,98,344,32,0,0,0,22,495,9,323,864,172,8,0,0,81,1460,6,147,141,3,0,0,0,10,305,0,0,45,0,0,0,0,0,42,0,6,0,0,0,0,0,0,10,15,577,1391,206,9,0,5,115,2307,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0,0,0,17,21,669,2216,2546,2274,552,94,209,8577
POA6015,0,5,46,402,1022,451,98,44,2065,0,0,4,23,4,0,0,0,32,0,29,15,37,9,0,0,4,92,0,29,18,61,17,0,0,7,128,0,16,109,32,3,0,0,6,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,109,32,3,0,0,6,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,178,491,1036,457,98,58,2359
POA6016,0,18,411,1137,710,113,14,41,2446,0,49,137,203,34,3,0,32,457,0,54,190,215,36,0,0,31,520,0,103,324,414,72,5,0,61,973,0,84,329,25,5,0,0,23,473,0,25,126,25,5,0,0,17,194,0,9,8,4,0,0,0,5,23,0,5,102,22,0,0,0,13,136,0,0,0,0,0,0,0,0,0,0,125,567,72,10,0,0,52,824,0,4,12,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,253,1309,1626,790,111,14,158,4265
POA6017,0,0,44,231,87,13,3,15,394,0,40,621,429,13,0,6,73,1177,0,10,42,63,12,0,0,8,135,0,50,656,495,20,0,4,85,1312,0,166,191,6,0,0,0,39,394,0,72,75,11,0,0,0,37,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,258,15,0,0,0,73,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,295,964,743,110,13,9,176,2302
POA6018,5,48,639,4413,4450,851,115,266,10788,5,204,726,1927,87,8,0,148,3104,0,84,287,827,235,15,0,59,1507,3,288,1014,2756,321,28,3,205,4616,5,114,515,49,0,0,0,65,747,0,3,83,11,0,0,0,0,103,0,106,125,21,0,0,0,15,267,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,9,11,219,730,82,0,0,0,88,1129,29,50,6,7,7,0,0,22,117,0,3,5,0,0,0,0,0,6,52,619,2386,7258,4770,875,121,576,16659
POA6019,4,20,335,2185,1615,275,36,126,4583,0,79,1158,1270,124,4,0,131,2773,0,29,305,939,247,18,0,66,1605,0,102,1464,2210,375,26,3,197,4379,3,117,444,42,0,0,0,76,681,0,54,158,16,0,0,0,20,257,0,59,151,103,0,0,0,32,346,0,30,43,80,6,0,0,10,176,0,0,0,0,0,0,0,0,0,3,259,807,242,6,0,0,141,1459,0,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,8,17,9,388,2596,4643,2001,302,34,474,10443
