POA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
POA6000,750,233,315,473,689,342,91,99,4253,0,0,3,0,0,0,3,0,0,31,45,2007,966,1131,304,406,587,904,442,141,183,7072
POA6003,158,63,64,75,160,44,4,11,900,0,0,0,0,0,0,0,0,0,9,7,581,202,246,84,90,102,189,63,10,24,1580
POA6004,828,242,303,402,532,272,105,97,4017,3,0,0,0,0,0,0,0,4,25,30,1946,928,1156,315,375,514,688,363,160,177,6621
POA6005,309,102,112,135,213,92,27,27,1559,0,0,0,0,0,0,0,0,0,4,7,1004,415,499,131,155,169,291,128,38,63,2894
POA6006,143,17,46,49,36,13,6,48,1213,0,0,0,0,0,0,0,0,0,6,10,1771,325,317,38,66,74,54,24,12,87,2775
POA6007,144,50,65,56,72,47,6,27,983,0,0,0,0,0,0,0,0,0,15,12,1350,382,371,72,96,90,123,96,12,83,2674
POA6008,500,95,106,149,166,93,20,29,2209,3,0,0,0,0,0,0,0,0,20,27,2901,821,884,169,187,211,252,160,72,117,5779
POA6009,470,186,227,254,446,278,35,49,3562,6,0,0,0,0,0,0,0,0,4,14,3713,936,805,237,325,326,538,408,78,125,7493
POA6010,323,52,87,93,135,84,5,42,1771,0,0,0,0,0,0,0,0,0,5,8,3090,820,724,100,157,168,236,154,47,105,5599
POA6011,71,14,19,15,24,14,8,11,407,0,0,0,0,0,0,0,0,0,0,3,1322,238,267,54,58,59,88,78,32,50,2239
POA6012,163,34,42,61,129,30,4,25,995,0,0,0,0,0,0,0,0,0,0,0,1471,431,388,65,83,94,190,84,27,63,2887
POA6014,672,182,217,289,435,165,24,37,3356,0,0,0,0,0,0,0,0,0,0,9,3319,1021,1124,236,275,352,532,239,51,109,7262
POA6015,75,10,18,34,39,30,5,6,611,0,0,0,0,0,0,0,0,0,0,0,1256,261,192,34,33,64,61,59,10,32,1995
POA6016,368,144,158,217,218,84,0,22,2027,0,0,0,0,0,0,0,0,0,0,4,1582,461,591,169,185,251,249,107,3,56,3659
POA6017,349,101,129,156,264,99,3,12,1591,0,0,0,0,0,0,0,0,0,0,3,631,252,447,119,143,171,298,104,3,30,2214
POA6018,1165,190,188,190,223,109,12,77,5455,10,0,0,0,0,0,0,0,0,10,16,6920,2299,2202,309,297,329,377,200,36,240,13212
POA6019,499,113,159,142,216,86,25,26,2475,0,6,0,0,0,0,0,0,0,3,11,3478,1261,1254,206,253,252,359,185,65,123,7435
POA6020,186,41,35,48,36,37,6,22,1416,3,3,0,0,0,0,0,0,0,7,12,3973,898,667,129,85,97,92,62,14,107,6126
POA6021,754,178,138,134,181,97,13,177,5231,0,0,0,0,0,0,0,0,0,3,6,4529,1208,1109,236,165,171,220,112,26,244,8018
POA6022,102,33,16,16,17,3,0,13,522,0,0,0,0,0,0,0,0,0,0,9,838,204,242,38,19,30,18,0,5,40,1438
POA6023,212,32,16,26,27,25,14,12,1258,5,0,0,0,0,0,0,0,0,5,8,2957,1016,750,101,49,93,62,54,20,67,5172
POA6024,269,35,34,27,45,16,3,30,1129,0,0,0,0,0,0,0,0,0,0,0,2248,656,605,67,64,55,82,26,4,69,3874
POA6025,395,45,49,62,76,25,8,36,2374,8,0,0,0,0,0,0,0,0,6,16,6186,1818,1617,176,145,184,180,91,24,164,10588
POA6026,329,25,40,45,48,22,4,16,1702,6,0,0,0,0,0,0,0,0,4,8,4498,1496,1128,82,100,77,102,46,13,97,7644
POA6027,705,138,142,167,263,132,26,95,3801,7,4,0,0,0,0,0,0,0,18,31,9569,3105,2407,332,275,286,420,227,68,311,17009
POA6028,445,43,51,67,82,33,18,24,2372,5,0,0,0,0,0,0,0,0,7,8,5526,2752,1941,191,205,197,211,106,39,101,11268
POA6029,18,9,0,3,3,6,0,0,134,0,0,0,0,0,0,0,0,0,0,0,423,61,66,10,0,8,11,11,0,11,613
POA6030,942,155,142,134,186,84,21,78,4450,7,0,6,0,0,0,0,0,0,11,32,7607,4561,2915,350,276,269,359,191,67,308,16891
POA6031,644,73,76,70,69,54,13,32,2499,5,0,0,0,0,0,0,0,0,3,11,2724,2560,1645,159,134,110,113,90,14,109,7650
POA6032,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,26,19,3,0,3,0,0,0,0,0,54
POA6033,11,0,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,80,12,17,0,3,5,0,0,4,4,127
POA6034,108,16,13,15,27,3,8,3,346,0,0,0,0,0,0,0,0,0,0,0,404,410,446,44,50,32,50,11,5,20,1470
POA6035,147,33,9,18,29,18,16,16,717,13,0,0,0,0,0,0,0,0,15,33,1717,1120,778,90,31,62,61,46,25,92,4022
POA6036,517,62,57,82,80,47,13,15,1904,0,6,0,0,0,0,0,0,0,3,13,2702,2443,1807,179,132,152,159,95,40,93,7792
POA6037,21,6,0,5,5,4,0,7,148,4,0,0,0,0,0,0,0,0,0,4,588,245,132,19,15,14,12,13,0,24,1048
POA6038,380,61,58,53,43,23,9,20,1285,0,0,0,0,0,0,0,0,0,4,6,1268,1369,1300,164,141,122,104,46,15,65,4592
POA6041,11,0,0,9,8,8,13,0,90,0,0,0,0,0,0,0,0,0,0,0,283,57,36,0,0,7,19,9,13,27,455
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,14
POA6043,5,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,36,0,5,0,0,4,0,0,0,0,40
POA6044,7,3,6,28,21,10,34,3,147,0,0,0,0,0,0,0,0,0,0,0,167,19,26,8,6,29,27,10,36,10,339
POA6050,244,68,48,93,149,49,15,56,1762,3,0,0,0,0,0,0,0,0,11,10,2917,520,522,105,78,134,196,70,21,138,4702
POA6051,546,151,182,195,224,85,15,44,2546,0,0,0,0,0,0,0,0,0,4,5,2197,737,846,188,215,241,282,101,23,85,4920
POA6052,261,66,34,42,56,34,0,17,1541,5,0,0,0,0,0,0,0,0,10,14,2090,468,448,91,60,66,77,44,4,52,3399
POA6053,372,67,64,93,107,41,3,26,1879,0,0,0,0,0,0,0,0,0,5,8,2668,711,687,101,92,115,151,48,9,99,4688
POA6054,455,66,89,96,87,40,6,50,2519,3,0,0,0,0,0,0,0,0,3,4,3563,998,750,107,125,116,104,47,13,109,5941
POA6055,2073,278,223,240,312,114,38,122,7278,4,0,0,0,0,0,0,0,0,51,48,3738,3512,2944,352,299,298,364,144,51,270,11968
POA6056,901,192,116,143,190,88,31,82,4040,12,7,0,0,0,4,0,0,0,45,68,6016,1676,1485,244,169,200,253,116,57,281,10492
POA6057,253,43,30,27,27,17,11,7,1016,7,0,0,0,0,0,0,0,0,0,8,2418,624,541,70,42,50,46,32,13,74,3911
POA6058,362,59,50,41,58,29,3,28,1467,0,0,0,5,0,0,0,0,0,4,4,1897,808,659,82,67,60,76,49,13,82,3798
POA6059,835,155,130,157,215,83,16,126,5531,9,0,0,0,0,0,0,0,0,8,19,5852,1296,1167,201,163,187,258,101,34,194,9443
POA6060,1214,309,318,369,465,192,24,92,5943,4,0,0,0,0,0,0,0,0,6,16,4831,1390,1794,376,391,459,536,245,42,179,10238
