POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6108,147,1756,1905,2573,305,2878,1452,96,1549,1263,59,1322,587,24,618,378,16,396,6405,2267,8664
POA6109,91,1358,1451,1113,251,1363,659,86,739,640,45,686,327,22,352,281,16,297,3110,1779,4889
POA6110,266,3713,3983,3865,557,4422,2541,177,2719,2675,104,2782,1208,66,1280,762,29,789,11318,4658,15977
POA6111,187,2319,2510,2816,345,3157,1382,96,1482,1173,52,1224,487,31,521,307,16,316,6357,2857,9211
POA6112,491,4965,5458,6157,835,6995,4249,257,4511,4506,171,4679,1879,86,1962,1090,50,1142,18390,6365,24749
POA6121,27,104,130,290,32,319,169,5,175,176,10,182,101,3,105,75,0,75,831,152,983
POA6122,166,1057,1227,1828,188,2014,1320,41,1363,1425,24,1452,622,23,640,391,12,405,5752,1347,7102
POA6123,18,114,138,239,32,270,131,9,138,122,7,124,66,6,74,29,0,34,608,170,777
POA6124,8,88,101,161,17,178,69,3,73,54,0,52,20,3,25,19,0,20,338,118,456
POA6125,33,207,244,396,42,441,153,17,168,162,9,169,88,0,89,63,0,59,892,273,1167
POA6126,0,23,21,43,5,45,10,0,13,9,4,8,6,0,6,5,0,5,67,30,93
POA6147,117,1453,1572,1556,211,1773,916,89,1003,831,45,876,337,22,353,198,13,212,3953,1842,5793
POA6148,108,1529,1636,1935,166,2096,1078,50,1123,1286,37,1320,505,20,527,186,5,191,5099,1800,6897
POA6149,119,1208,1328,2141,125,2262,1169,43,1207,1304,20,1317,476,6,483,174,3,182,5380,1407,6784
POA6150,65,685,750,1440,94,1530,735,46,785,777,22,800,329,7,336,159,15,171,3505,863,4370
POA6151,146,2552,2701,2267,424,2695,841,130,974,849,32,882,259,11,271,74,5,80,4449,3152,7602
POA6152,192,3319,3511,3209,569,3777,1420,200,1626,1270,70,1338,411,35,437,139,19,160,6641,4206,10850
POA6153,152,1993,2149,2617,271,2887,1236,96,1328,1364,48,1412,467,13,483,169,3,173,5994,2433,8431
POA6154,72,1079,1151,1138,114,1254,577,32,613,686,16,701,265,7,270,78,0,81,2815,1256,4065
POA6155,264,2108,2373,4257,326,4586,3247,127,3370,4049,72,4119,1573,41,1615,809,16,826,14198,2693,16893
POA6156,125,1813,1941,1956,261,2220,1021,60,1085,1168,48,1213,421,20,438,118,7,125,4806,2208,7020
POA6157,134,2096,2229,1756,258,2013,817,46,865,804,16,816,261,14,270,60,0,57,3833,2433,6262
POA6158,53,791,846,875,122,999,423,31,455,487,12,501,164,7,173,49,0,49,2058,968,3022
POA6159,42,591,629,596,88,688,199,27,230,147,14,158,41,3,40,15,0,17,1032,729,1762
POA6160,110,1853,1968,1157,329,1491,448,95,541,303,30,340,100,10,108,17,4,22,2137,2321,4461
POA6161,0,81,84,19,52,72,0,11,11,3,12,12,0,0,3,0,0,0,24,159,184
POA6162,116,1506,1622,1474,298,1776,672,79,752,634,32,673,187,17,200,68,6,75,3153,1936,5087
POA6163,509,6622,7136,6837,1020,7854,3313,316,3629,2705,173,2875,933,49,983,364,30,395,14659,8207,22871
POA6164,565,4297,4861,6261,770,7037,4277,229,4512,4637,108,4746,1621,59,1681,663,21,680,18032,5486,23517
POA6165,0,22,19,6,3,12,0,0,0,4,0,4,0,0,0,0,0,0,13,20,39
POA6166,78,882,964,1269,145,1412,669,32,704,669,11,682,253,17,273,88,6,95,3030,1100,4127
POA6167,230,2808,3039,2672,438,3115,1599,122,1728,1478,69,1553,626,45,673,368,19,383,6981,3503,10486
POA6168,268,4051,4312,3273,542,3814,1235,97,1332,868,44,913,368,32,404,206,10,216,6221,4769,10989
POA6169,363,3580,3942,4225,521,4744,2100,138,2236,1745,77,1825,691,39,733,384,16,397,9508,4372,13883
POA6170,157,970,1132,1435,211,1644,1112,58,1173,1069,39,1105,509,14,523,266,16,282,4544,1307,5853
POA6171,401,2133,2533,3343,384,3726,2273,137,2407,2464,100,2563,1052,35,1086,505,19,528,10039,2806,12845
POA6172,139,782,925,1347,121,1465,830,41,871,792,30,821,339,15,356,187,9,195,3629,1005,4638
POA6173,129,431,559,1021,76,1096,766,31,793,923,11,933,400,13,414,147,6,150,3379,562,3944
POA6174,72,404,475,515,66,587,370,23,389,306,19,324,167,10,174,70,3,72,1499,528,2020
POA6175,52,210,265,397,31,429,241,5,244,269,9,275,107,4,107,52,0,52,1109,262,1368
POA6176,23,95,117,182,16,193,146,7,151,133,7,140,55,0,54,31,0,32,569,126,692
POA6180,73,397,474,677,65,744,406,27,432,412,11,418,182,3,187,87,3,91,1838,512,2351
POA6181,9,16,21,49,5,53,40,0,40,24,0,24,19,0,19,6,0,6,137,18,151
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,21,41,63,135,21,156,63,6,70,58,4,67,35,7,38,25,0,25,330,86,416
POA6208,165,1270,1436,1758,195,1957,643,54,697,596,37,629,237,23,257,136,10,140,3533,1583,5120
POA6209,14,267,284,256,47,299,84,15,99,70,5,76,44,0,44,26,3,31,505,331,837
POA6210,848,9163,10013,10480,1250,11733,3887,258,4151,3223,148,3377,1311,68,1380,580,39,621,20340,10929,31272
POA6211,101,636,738,1205,98,1309,464,14,481,417,11,434,163,4,162,79,4,86,2431,773,3209
POA6213,3,78,83,85,21,108,34,4,38,24,7,36,16,0,10,13,0,9,171,115,284
POA6214,10,40,45,79,7,87,41,0,42,32,5,34,22,6,22,10,0,18,192,53,242
POA6215,46,481,525,568,79,651,177,12,194,166,12,176,84,0,84,56,5,58,1101,585,1692
POA6218,5,54,58,76,11,89,26,0,29,24,0,19,6,0,6,5,0,12,148,67,212
POA6219,6,41,43,80,13,95,30,0,34,31,0,35,15,0,15,4,0,4,172,53,231
POA6220,37,475,513,554,71,629,223,16,240,188,11,193,104,4,115,46,13,56,1150,588,1740
POA6221,3,11,13,32,18,45,13,4,17,13,0,13,11,3,10,0,0,0,69,34,97
POA6223,0,15,19,17,5,22,13,0,13,11,0,11,3,0,3,0,0,0,44,15,63
POA6224,15,116,128,162,25,187,61,6,69,58,3,61,29,7,33,9,0,14,335,162,495
POA6225,80,1177,1256,1137,162,1294,445,43,485,417,33,452,182,18,198,76,5,82,2341,1438,3782
POA6226,6,34,47,108,10,116,44,0,45,52,4,55,29,0,29,19,0,19,259,51,309
POA6227,13,51,69,82,8,90,39,4,42,57,0,57,17,0,17,8,0,8,227,65,292
POA6228,0,23,24,17,4,20,8,0,4,5,0,5,4,0,4,0,0,0,38,29,65
POA6229,0,55,62,28,9,41,4,3,6,4,0,4,0,0,0,0,0,0,39,72,106
POA6230,432,5523,5949,5411,872,6281,2355,221,2577,2118,94,2211,865,41,907,395,27,419,11577,6771,18348
POA6232,111,980,1093,1343,167,1507,681,28,705,583,23,609,262,7,269,115,0,116,3085,1209,4300
POA6233,209,1515,1721,2413,209,2622,1105,47,1151,1195,40,1233,481,22,496,235,12,243,5634,1841,7480
POA6236,21,146,166,321,38,362,120,3,121,114,9,123,48,0,48,16,0,21,641,201,833
POA6237,27,163,192,354,36,390,152,12,157,140,8,144,69,6,73,22,0,22,765,216,983
POA6239,52,425,478,661,73,730,202,20,220,215,14,224,94,4,99,56,12,62,1271,548,1815
POA6240,4,14,17,36,9,41,4,0,4,5,0,5,4,0,4,0,0,0,53,20,71
POA6243,0,7,10,11,0,11,0,0,5,3,0,3,3,0,3,3,0,4,20,9,33
POA6244,17,186,203,231,45,279,59,5,69,61,11,72,28,5,32,13,0,12,421,250,666
POA6251,3,29,34,45,4,50,11,0,15,19,0,19,4,0,4,0,0,0,84,38,121
POA6252,0,15,20,27,5,31,15,0,15,3,0,8,4,0,4,0,0,0,42,21,64
POA6253,8,108,111,121,29,144,17,4,18,21,0,20,17,0,17,5,0,3,182,139,315
POA6254,7,86,97,65,15,80,21,4,25,16,5,20,16,0,17,4,0,4,128,109,238
POA6255,56,506,561,689,105,793,196,16,208,175,9,188,86,5,93,33,0,36,1228,651,1874
POA6256,3,44,46,57,11,71,17,0,17,19,0,20,10,0,11,3,0,4,112,57,166
POA6258,52,846,898,838,124,966,313,30,345,268,17,284,139,9,149,53,12,60,1664,1045,2712
POA6260,19,163,183,162,62,227,70,6,76,48,12,60,24,5,24,9,4,10,329,250,579
POA6262,7,104,113,107,26,139,27,0,30,22,0,25,11,0,16,3,0,7,184,132,320
POA6271,54,298,346,461,79,546,192,11,208,148,6,152,74,3,80,34,3,34,962,403,1366
