POA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA6000,3437,2609,6048,11,0,15,18,8,18,40,44,81,378,438,819,7,9,12,12,3,17,3,5,9,37,32,68,3,7,13,73,76,153,308,230,539,70,99,166,41,51,91,11,6,19,91,69,158,71,57,134,44,68,117,66,92,151,6,5,10,144,192,338,55,41,102,9,13,21,212,137,343,32,12,47,98,128,228,32,22,53,83,108,194,98,79,172,24,27,56,34,74,107,41,89,131,610,376,985,74,103,172,114,146,260,652,626,1274,1335,880,2216,367,200,570,8749,7151,15898
POA6003,922,792,1713,0,0,0,8,0,7,7,11,17,33,47,79,5,0,7,0,4,9,3,0,3,4,12,17,0,0,3,12,16,31,36,23,60,11,24,36,3,8,8,0,0,0,20,8,35,27,14,42,14,18,31,49,48,95,0,0,0,35,41,79,4,8,10,9,3,12,39,25,63,14,8,20,10,19,28,3,4,10,26,23,45,33,13,40,3,3,9,5,16,20,21,36,56,143,101,253,15,18,32,24,37,60,191,180,369,202,139,339,24,8,29,1948,1720,3664
POA6004,2520,1926,4446,19,15,33,9,8,19,14,30,44,251,354,610,16,18,29,19,14,30,0,9,12,33,22,54,10,12,16,59,62,127,268,232,500,77,116,195,67,66,129,10,0,9,87,50,137,68,48,115,119,135,254,76,107,182,3,0,10,171,207,380,52,66,120,15,21,37,153,111,263,33,14,51,73,127,202,25,28,52,100,118,216,83,79,160,23,21,48,24,51,77,24,62,85,587,358,947,48,50,96,44,86,129,619,657,1275,884,559,1445,160,92,250,6852,5917,12768
POA6005,1567,1378,2945,0,0,0,0,0,0,12,27,35,60,112,171,0,6,12,6,6,11,5,0,8,22,14,42,8,4,11,15,19,37,127,106,235,12,37,58,29,26,60,6,0,5,49,29,79,52,29,84,17,41,62,27,32,59,0,4,5,47,73,121,6,11,19,5,8,13,82,86,163,15,8,23,31,46,75,14,14,28,27,42,74,53,67,120,17,19,36,8,16,19,19,33,52,284,196,483,29,40,66,20,21,40,285,322,601,213,145,357,22,21,45,3203,3040,6240
POA6006,3144,3174,6319,0,0,0,0,3,3,17,26,39,33,46,75,6,12,21,3,0,3,4,4,8,19,18,36,29,46,74,15,7,26,33,38,69,12,27,37,14,11,25,3,0,3,46,43,90,102,171,278,12,15,23,15,15,28,0,0,0,40,45,83,4,3,5,7,12,18,85,77,162,11,0,7,8,28,45,20,18,42,36,43,76,55,43,98,0,4,12,0,11,16,7,18,25,342,293,637,28,25,53,77,97,175,223,267,490,136,117,252,13,8,24,4594,4778,9367
POA6007,2325,2513,4836,0,0,0,7,0,7,17,33,52,18,39,54,4,9,12,7,6,11,0,0,0,22,21,39,8,9,14,3,13,17,57,58,114,7,23,29,8,12,15,0,4,4,83,68,155,56,54,109,12,30,47,13,15,30,4,3,10,47,70,118,15,22,43,18,13,27,72,77,143,8,9,12,13,21,30,7,20,28,33,31,57,67,63,127,10,16,21,4,9,21,10,19,27,397,313,711,22,43,68,29,34,63,180,270,454,139,163,299,3,12,14,3708,4114,7825
POA6008,4708,5079,9783,0,0,0,10,3,14,46,51,98,110,160,271,11,10,25,6,3,12,5,7,7,39,50,94,3,8,18,36,38,69,125,112,235,29,61,89,45,36,81,0,5,7,88,137,225,59,43,106,60,107,168,26,39,69,0,0,3,110,174,288,3,9,9,38,36,75,135,147,275,16,8,17,29,65,90,15,38,51,76,86,163,116,137,256,14,30,43,12,22,34,16,46,61,862,751,1607,82,82,168,27,34,59,426,556,977,428,397,824,29,24,54,7842,8599,16439
POA6009,5623,5862,11484,5,4,7,29,23,49,62,63,119,415,434,847,7,11,21,10,7,13,4,6,12,45,62,104,11,7,18,90,95,189,209,205,410,128,155,280,51,45,96,8,6,11,63,56,120,47,42,85,28,42,66,14,20,36,4,0,9,304,396,701,11,11,23,50,30,78,143,117,262,52,32,85,16,53,73,15,24,34,205,219,417,180,186,367,66,78,142,32,55,87,15,26,43,749,658,1407,116,114,240,60,108,166,381,490,873,500,561,1062,47,42,83,9791,10331,20119
POA6010,5920,6114,12030,0,0,0,0,8,8,54,64,112,168,234,408,10,13,23,15,5,17,3,6,5,48,58,105,3,11,14,49,41,91,80,87,170,16,30,50,23,39,59,0,0,0,65,78,142,41,24,65,40,60,101,9,21,28,0,3,0,87,134,224,5,4,6,45,29,76,123,136,259,8,8,7,10,20,27,19,29,42,94,98,196,232,227,456,27,29,57,4,5,16,10,17,33,881,862,1746,88,112,198,9,16,24,386,466,852,365,401,761,33,21,63,8951,9503,18453
POA6011,3113,3362,6475,0,0,0,0,0,0,17,31,48,22,36,55,3,3,5,0,3,9,0,0,0,16,17,32,0,3,3,12,21,35,19,13,30,6,20,20,9,3,10,0,0,0,50,52,100,33,19,53,3,8,12,0,7,4,0,3,3,20,28,49,0,0,0,13,14,27,61,74,142,0,3,5,0,0,0,8,15,20,19,34,53,77,91,165,8,6,21,0,4,7,0,8,10,445,413,856,55,81,136,3,8,13,142,174,313,124,161,287,26,28,54,4302,4748,9051
