POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6000,1089,612,247,90,11497
POA6003,238,134,40,5,2612
POA6004,1101,685,219,58,9233
POA6005,443,285,147,50,4496
POA6006,813,463,171,79,5664
POA6007,615,473,191,119,5346
POA6008,1613,1390,753,224,10873
POA6009,1758,1666,1036,388,12389
POA6010,1820,1546,1023,493,11309
POA6011,1057,808,452,178,5568
POA6012,866,682,382,131,5346
POA6014,1957,1338,719,372,13010
POA6015,836,468,386,171,3882
POA6016,775,429,146,58,6187
POA6017,205,152,62,17,2767
POA6018,3095,2224,1469,686,23531
POA6019,1883,1205,665,216,14487
POA6020,2120,1986,903,255,12208
POA6021,1432,950,558,219,10712
POA6022,328,362,170,38,2689
POA6023,1276,1189,549,134,8376
POA6024,918,930,419,66,6913
POA6025,2767,2042,770,185,16399
POA6026,2186,1542,517,272,11465
POA6027,3952,2671,1012,408,22739
POA6028,2414,1068,327,71,11913
POA6029,267,224,130,37,1586
POA6030,2924,1419,844,352,18910
POA6031,946,429,139,24,8353
POA6032,27,9,7,0,110
POA6033,47,21,4,0,187
POA6034,115,65,14,0,1619
POA6035,662,449,253,88,4702
POA6036,936,474,164,32,7655
POA6037,306,199,84,8,1644
POA6038,409,193,66,13,4631
POA6041,123,136,71,10,665
POA6042,12,27,6,0,61
POA6043,33,34,11,0,113
POA6044,125,134,67,15,630
POA6050,1424,1073,601,327,9571
POA6051,832,657,225,38,8264
POA6052,968,577,261,97,6397
POA6053,1160,756,349,171,8333
POA6054,1546,1008,464,121,10253
POA6055,1520,861,376,106,15465
POA6056,2940,2158,1140,483,19520
POA6057,1067,710,396,96,7236
POA6058,829,651,248,105,6011
POA6059,1855,1339,814,288,12371
POA6060,1678,1074,489,266,14844
POA6061,1910,1249,577,169,19470
POA6062,2148,1719,931,249,16397
POA6063,858,519,169,28,6103
POA6064,1747,1199,547,191,12328
POA6065,3705,2256,1064,408,31144
POA6066,1449,695,274,54,7633
POA6067,9,0,0,0,38
POA6068,0,0,0,0,3
POA6069,2287,1246,592,167,19906
POA6070,394,317,170,35,2042
POA6071,375,281,135,22,1854
POA6072,96,69,19,10,438
POA6073,296,274,155,56,1604
POA6074,90,84,34,6,475
POA6076,2042,1866,1130,402,11645
POA6077,167,145,76,17,734
POA6078,90,70,25,0,419
POA6079,0,4,0,0,13
POA6081,500,316,113,24,2441
POA6082,293,191,87,15,1619
POA6083,395,229,99,17,1765
POA6084,763,409,162,31,4089
POA6090,0,0,0,0,16
POA6100,1297,790,249,64,10257
POA6101,1092,719,278,85,10191
POA6102,585,465,496,483,8230
POA6103,668,381,160,52,6500
POA6104,1073,657,322,202,8177
POA6105,837,573,296,97,8012
POA6106,4,0,0,0,11
POA6107,2336,1379,644,189,24576
POA6108,1522,1136,544,118,10653
POA6109,648,459,244,85,5548
POA6110,2336,1561,824,398,19378
POA6111,1836,1404,613,181,11091
POA6112,3391,2038,919,264,31938
POA6121,285,148,45,10,1399
POA6122,982,547,200,48,9037
POA6123,130,68,17,10,945
POA6124,117,48,33,6,566
POA6125,273,179,81,21,1528
POA6126,34,29,9,0,149
POA6147,933,742,324,67,7151
POA6148,1512,1231,740,285,10189
POA6149,1690,1628,646,219,10208
POA6150,1283,1222,728,390,8220
POA6151,1676,1323,577,183,10574
POA6152,2158,1709,930,572,15581
POA6153,2065,1714,785,253,12449
POA6154,904,655,450,287,5894
POA6155,3803,2454,890,215,26410
POA6156,1526,927,596,304,9705
POA6157,1237,955,485,199,8077
POA6158,858,605,307,165,4544
POA6159,470,382,213,84,2510
POA6160,1055,789,334,90,6496
POA6161,58,52,23,4,300
POA6162,1258,896,306,85,6859
POA6163,4415,2999,1392,613,28530
POA6164,3527,1931,720,260,32292
POA6165,11,0,0,0,34
POA6166,911,602,250,48,5321
POA6167,1428,896,360,122,11932
POA6168,1965,1482,879,343,11953
POA6169,2865,1703,933,343,15795
POA6170,688,337,115,15,7968
POA6171,1600,891,494,67,15999
POA6172,903,413,214,99,5582
POA6173,753,268,99,15,5479
POA6174,279,130,55,11,2533
POA6175,259,120,49,15,1807
POA6176,110,69,17,12,900
POA6180,303,243,134,22,2858
POA6181,48,20,5,0,233
POA6182,0,0,0,0,0
POA6207,94,48,11,6,532
POA6208,814,750,472,171,5202
POA6209,157,145,78,14,827
POA6210,5672,4909,2957,1150,33032
POA6211,657,620,280,43,3664
POA6213,72,59,17,6,334
POA6214,54,46,11,4,272
POA6215,358,243,135,52,1869
POA6218,39,31,8,9,201
POA6219,62,31,12,5,266
POA6220,286,244,134,62,1882
POA6221,48,17,7,0,202
POA6223,11,6,4,0,70
POA6224,95,63,30,8,544
POA6225,671,481,235,83,3845
POA6226,87,51,9,0,425
POA6227,55,39,15,3,354
POA6228,5,3,4,6,46
POA6229,22,26,12,4,92
POA6230,3406,2326,1083,409,21217
POA6232,639,441,275,156,4898
POA6233,1500,999,387,78,8954
POA6236,221,169,44,15,1088
POA6237,273,185,54,7,1246
POA6239,388,303,148,37,2069
POA6240,15,22,17,0,87
POA6243,8,12,0,0,37
POA6244,137,99,64,9,708
POA6251,32,26,7,0,133
POA6252,17,7,4,0,65
POA6253,74,106,44,8,400
POA6254,83,31,16,0,319
POA6255,445,483,184,33,2252
POA6256,49,31,10,0,222
POA6258,495,351,155,47,2649
POA6260,174,113,48,22,825
POA6262,96,60,24,3,353
POA6271,278,209,77,11,1502
POA6275,172,199,85,12,803
POA6280,2435,2086,1063,364,14441
POA6281,734,717,319,58,4579
POA6282,247,212,64,7,1136
POA6284,217,130,38,12,1419
POA6285,975,683,236,86,5771
POA6286,102,67,20,0,464
POA6288,43,38,16,3,304
POA6290,227,257,121,40,971
POA6302,350,367,196,49,1675
POA6304,146,163,70,19,744
POA6306,70,50,24,9,379
POA6308,124,109,53,7,648
POA6309,26,27,6,3,131
POA6311,64,41,27,5,262
POA6312,349,256,136,78,2130
POA6313,19,15,8,0,98
POA6315,127,120,54,7,696
POA6316,34,33,9,0,171
POA6317,253,161,89,37,1600
POA6318,38,38,16,0,216
POA6320,46,17,4,0,198
POA6321,30,17,12,5,175
POA6322,19,19,10,3,110
POA6323,99,97,35,0,447
POA6324,334,270,111,52,1725
POA6326,42,43,11,0,223
POA6327,22,15,9,3,119
POA6328,44,23,15,0,208
POA6330,3274,2524,1274,488,18165
POA6333,765,663,333,84,3584
POA6335,60,34,8,6,308
POA6336,22,18,0,0,118
POA6337,39,10,6,0,238
POA6338,59,42,16,3,306
POA6341,9,18,3,0,97
POA6343,14,13,6,0,108
POA6346,139,51,3,0,809
POA6348,96,67,47,3,534
POA6350,33,20,11,0,145
POA6351,5,3,0,0,28
POA6352,21,6,0,0,104
POA6353,54,30,12,6,330
POA6355,32,13,3,0,186
POA6356,9,4,0,0,49
POA6357,5,7,0,0,30
POA6358,5,4,0,0,38
POA6359,74,25,13,6,389
POA6361,9,8,0,0,44
POA6363,0,0,0,0,30
POA6365,42,25,8,3,215
POA6367,27,14,4,3,124
POA6368,0,3,3,0,35
POA6369,49,25,27,13,270
POA6370,43,18,13,7,177
POA6372,13,10,5,0,54
POA6373,3,5,0,0,29
POA6375,53,54,23,14,358
POA6383,91,99,36,16,468
POA6384,0,0,0,0,9
POA6385,5,4,0,0,5
POA6386,16,9,0,0,62
POA6390,194,103,34,7,959
POA6391,70,40,23,7,451
POA6392,46,19,7,7,167
POA6393,5,5,0,0,40
POA6394,40,31,13,0,227
POA6395,124,64,50,29,645
POA6396,41,19,5,3,180
POA6397,10,7,3,0,37
POA6398,81,70,36,4,326
POA6401,625,474,223,75,3639
POA6403,20,7,3,0,64
POA6405,13,18,8,0,121
POA6407,54,31,21,6,361
POA6409,33,15,10,4,161
POA6410,75,47,40,17,355
POA6411,19,10,6,0,76
POA6412,13,5,0,0,36
POA6413,6,8,4,0,28
POA6414,9,10,4,0,38
POA6415,214,136,56,22,1256
POA6418,51,42,25,9,338
POA6419,0,0,0,0,26
POA6420,0,0,0,0,22
POA6421,4,7,0,0,63
POA6422,3,0,0,0,30
POA6423,49,9,10,0,180
POA6424,4,3,0,0,29
POA6425,8,4,0,0,32
POA6426,138,46,12,4,807
POA6427,45,13,0,0,258
POA6428,12,4,0,0,30
POA6429,156,74,10,4,877
POA6430,1488,721,238,86,10986
POA6431,138,39,8,0,988
POA6432,584,286,62,6,3188
POA6434,42,12,0,0,462
POA6436,54,31,3,0,282
POA6437,145,33,0,0,1253
POA6438,225,99,18,0,1509
POA6440,515,99,10,0,3007
POA6442,214,90,34,4,1470
POA6443,126,107,18,0,709
POA6445,15,8,0,0,62
POA6446,10,3,5,0,50
POA6447,10,4,0,0,78
