POA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
POA6000,47,141,187,6,28,36,7,99,110,12,196,213,24,188,214,34,149,186,76,138,217,92,192,285,106,288,393,142,270,406,121,278,404,158,259,421,364,569,927,268,64,330,251,194,446,190,35,221,595,314,908,245,109,352,16,251,265,2755,3765,6521
POA6003,7,38,44,0,8,9,0,39,44,3,61,62,9,61,74,5,49,53,18,35,57,23,59,83,35,94,135,51,92,142,37,76,110,41,76,120,95,133,220,101,25,128,69,43,112,43,15,58,160,52,213,74,37,112,4,49,52,790,1026,1821
POA6004,47,121,167,10,21,30,16,70,87,8,130,143,24,175,204,26,146,171,70,109,179,80,148,228,124,245,372,157,215,378,136,246,380,147,193,343,358,437,794,249,56,308,258,154,416,163,24,184,688,280,973,217,92,312,11,88,107,2817,2944,5757
POA6005,16,51,68,4,16,20,8,48,58,5,93,102,7,107,114,17,93,110,29,70,98,41,113,156,33,130,167,63,150,211,57,129,190,67,129,191,148,217,368,132,32,159,124,78,203,100,18,118,323,178,500,93,56,152,3,36,35,1287,1739,3024
POA6006,21,40,60,3,18,22,6,35,44,10,83,94,23,124,149,24,112,136,59,84,141,64,87,150,112,99,209,98,97,197,81,108,192,83,92,168,214,204,417,219,37,259,211,69,282,170,18,182,838,111,950,149,70,214,14,29,41,2398,1515,3913
POA6007,18,27,49,7,8,20,10,20,32,9,53,60,16,103,126,24,98,123,38,80,113,47,91,136,53,100,154,97,113,211,63,116,174,80,97,171,191,228,416,186,31,213,170,72,237,130,25,150,752,154,901,154,54,211,3,21,32,2035,1488,3520
POA6008,38,74,116,12,39,45,9,82,89,16,175,186,29,292,323,49,219,263,97,149,244,104,173,275,145,202,352,163,204,367,112,223,336,186,153,340,388,350,735,299,35,337,299,109,403,252,27,281,1571,293,1863,289,41,331,20,68,84,4075,2896,6972
POA6009,55,82,145,18,38,57,29,50,74,12,80,93,40,125,169,34,173,211,94,111,201,121,127,246,173,142,322,183,115,296,145,112,256,180,95,275,358,179,540,257,25,283,237,66,303,174,11,184,2028,185,2215,339,63,405,22,34,59,4505,1833,6333
POA6010,41,79,116,28,43,75,16,62,73,18,123,143,39,273,316,51,204,260,111,152,260,137,173,314,147,174,325,218,151,372,144,136,279,186,121,309,362,220,584,307,19,323,304,86,391,265,6,269,2034,193,2234,392,51,446,26,75,102,4832,2340,7173
POA6011,25,35,62,13,9,22,9,25,30,0,44,49,20,56,75,20,63,84,37,51,86,43,63,103,56,81,136,67,59,123,47,58,108,70,63,126,151,129,282,124,6,137,132,57,190,113,10,119,1258,177,1437,227,36,263,19,30,53,2435,1040,3479
