POA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
POA6000,134,411,374,1423,32,2371,4,8,5,152,0,175,1783,18,40,17,13,1869,47,16,9,39,0,108,89,22,22,59,3,183,1529,409,333,1482,25,3772,256,4,21,4,0,286,122,9,14,25,0,177,224,39,42,172,9,485,41,12,13,28,0,99,19,4,5,6,0,32,610,11,8,9,6,644,513,84,86,584,3,1266,357,80,41,222,5,700,177,3,3,0,0,186,17,0,3,5,0,24,26,6,5,14,0,48,7,4,0,3,0,24,75,16,5,9,0,101,80,8,9,0,0,101,104,14,7,30,0,159,63,4,4,8,0,74,16,0,0,0,0,16,439,103,83,455,6,1086,45,5,7,4,0,53,88,5,6,0,0,99,127,0,8,11,0,146,41,3,4,0,0,53,300,8,3,0,0,315,60,6,7,21,0,92,2370,128,123,99,26,2747,89,4,0,20,2395,2503,8089,820,724,3193,2503,15331
POA6003,36,139,105,395,0,679,0,4,0,33,0,38,310,10,7,3,3,336,14,4,4,10,0,37,33,14,7,18,0,74,350,132,94,424,9,1019,27,3,13,0,0,42,38,0,0,0,0,40,51,6,7,38,0,104,10,7,0,9,0,23,8,0,0,4,0,16,87,7,0,3,0,98,104,25,24,157,0,306,111,39,13,85,0,251,91,0,0,0,0,97,3,0,0,0,0,7,18,0,3,0,0,20,3,0,0,0,0,3,10,0,0,0,0,15,22,10,3,0,0,36,17,7,0,8,0,32,11,0,0,0,0,13,0,0,0,0,0,0,106,32,30,111,0,277,31,4,0,0,0,32,25,3,0,0,0,26,35,0,0,0,0,38,14,4,0,0,0,13,76,0,0,0,0,77,16,5,0,10,0,35,563,47,44,39,3,697,26,0,0,6,371,400,1867,288,216,875,386,3638
POA6004,90,315,278,1013,15,1708,6,10,6,114,0,145,1578,7,26,17,6,1635,49,6,3,28,0,84,81,18,24,29,6,160,1353,287,196,1110,27,2970,224,3,19,0,0,249,88,5,0,12,0,101,150,34,13,121,0,321,44,12,4,28,0,93,22,8,0,5,0,30,592,7,4,6,0,610,405,83,49,437,3,980,308,53,28,140,7,530,196,0,0,0,0,196,14,4,0,5,0,25,15,3,6,7,0,25,6,0,0,7,0,15,75,3,0,3,0,81,53,16,10,0,0,78,92,8,4,16,0,121,77,3,9,0,0,87,0,0,0,0,0,0,310,69,49,356,9,792,49,0,0,10,3,56,84,0,6,3,0,93,145,5,0,3,0,154,31,0,4,0,0,35,150,0,3,5,0,161,47,14,5,21,0,82,2348,97,82,96,15,2635,96,0,3,16,1485,1607,7485,596,476,2397,1561,12511
POA6005,50,230,189,700,14,1179,9,11,6,37,0,68,495,16,17,9,3,545,29,5,0,16,0,55,57,19,13,26,0,114,689,242,170,753,17,1876,80,0,13,0,0,94,54,5,4,8,0,70,113,14,15,77,0,213,42,11,6,17,0,76,10,0,5,3,0,22,262,5,6,6,0,279,238,49,40,334,5,662,198,51,30,129,0,414,60,0,0,0,0,63,13,0,0,4,0,12,14,0,0,4,0,27,5,7,0,9,0,15,35,7,0,0,0,40,30,9,3,0,0,44,53,8,3,19,3,82,43,4,0,5,0,52,6,0,0,0,0,7,214,56,35,244,9,552,34,0,4,0,0,42,68,0,0,0,0,72,54,0,3,7,0,70,24,0,0,5,0,28,59,0,10,0,0,69,36,8,0,17,0,60,1002,64,58,56,5,1192,21,0,6,11,376,407,3339,468,351,1616,418,6196
POA6006,87,478,330,1674,18,2594,3,3,6,64,0,74,400,25,25,29,0,474,58,19,21,59,0,156,98,36,24,67,0,227,1040,402,301,1451,25,3213,41,7,9,0,0,55,55,12,6,25,0,108,110,36,27,154,0,323,118,40,14,95,0,260,10,7,11,16,0,40,107,19,3,7,5,140,329,106,87,569,4,1094,596,136,66,395,4,1204,30,0,5,0,0,37,5,0,0,4,0,13,124,16,6,30,0,177,11,10,5,3,0,32,25,11,0,0,0,40,48,31,18,3,0,99,80,13,13,31,0,134,24,0,12,4,0,39,5,4,0,0,0,10,308,102,82,468,3,963,57,0,3,3,0,70,65,15,5,0,0,87,33,10,4,9,0,54,13,5,6,3,0,29,202,8,10,13,0,229,28,21,4,30,0,87,722,117,116,132,9,1092,30,0,0,5,282,326,3918,970,668,3452,346,9349
POA6007,77,434,346,1270,19,2150,0,6,0,53,0,58,361,17,44,17,5,435,26,9,6,39,0,88,85,32,28,53,0,195,989,357,293,1232,12,2886,46,0,12,0,0,57,70,7,11,14,0,100,112,16,24,92,0,247,57,27,9,68,0,152,15,3,7,7,0,26,182,7,16,11,0,210,457,96,62,422,0,1034,279,86,51,203,3,628,36,0,0,0,0,40,23,4,0,0,0,28,20,6,9,3,0,34,7,4,3,0,0,8,18,3,7,0,0,23,40,18,14,0,0,74,61,5,12,22,0,105,16,4,0,5,0,26,3,0,0,0,0,3,306,96,69,415,5,893,8,0,0,5,0,24,62,4,15,0,0,83,39,0,3,5,4,48,17,0,0,0,0,22,75,7,6,3,0,84,47,11,7,28,0,92,760,102,112,111,5,1079,35,0,0,14,336,394,3384,769,628,2646,382,7809
POA6008,181,798,630,2857,34,4496,0,10,17,112,0,137,982,40,54,46,3,1126,71,26,19,82,0,204,167,45,44,80,0,338,2218,775,548,2782,35,6355,113,0,15,3,0,128,176,29,25,46,0,273,245,62,34,256,5,597,76,32,15,61,0,191,47,5,7,9,0,68,323,24,13,16,5,382,702,175,134,1106,12,2128,301,117,46,309,5,773,93,4,0,0,0,93,7,3,7,0,0,16,16,11,9,8,0,45,12,7,0,13,0,31,19,3,0,0,0,22,56,26,7,3,0,93,134,10,27,61,4,233,77,12,6,3,0,103,0,0,0,0,0,3,636,173,126,865,9,1816,58,0,0,4,0,66,113,12,16,0,0,146,75,3,5,18,0,113,23,8,5,10,0,41,77,0,5,5,0,85,93,24,9,43,0,170,1683,202,229,195,10,2316,44,0,0,21,852,910,6931,1490,1154,5850,942,16385
POA6009,190,918,839,3418,34,5391,8,13,15,189,3,228,2670,85,162,78,14,3010,52,17,8,66,5,149,228,57,34,92,0,404,2086,792,637,3160,37,6716,91,9,21,3,4,120,130,13,16,34,0,192,289,51,49,306,0,694,63,45,19,104,0,239,27,9,0,6,0,45,651,37,29,29,0,740,560,175,168,1100,4,2002,277,113,55,327,0,775,52,6,7,0,0,56,24,0,0,6,0,39,20,5,0,17,0,46,13,0,0,8,0,24,28,4,7,0,0,41,57,36,18,16,0,129,105,23,19,37,0,191,54,4,13,8,0,78,4,0,0,0,0,4,605,206,148,991,9,1954,14,3,0,0,0,20,190,29,12,0,0,230,59,3,9,17,0,91,118,16,9,0,0,144,203,8,22,5,0,236,96,22,13,49,0,187,2080,207,232,217,19,2744,59,11,5,38,1028,1136,8985,1665,1429,6829,1133,20039
POA6010,145,900,872,3855,35,5811,3,15,10,89,0,114,975,33,72,44,4,1131,62,23,13,79,0,186,202,52,46,75,0,374,2521,885,712,3892,53,8064,34,4,23,3,0,65,112,13,17,36,0,182,254,60,58,272,5,653,60,28,9,86,0,180,21,7,13,11,0,45,265,17,34,11,0,323,640,188,126,1299,9,2266,250,94,57,329,3,733,35,6,4,3,0,46,14,0,0,8,0,26,12,5,4,19,0,42,8,7,0,5,0,17,19,5,3,4,0,26,77,26,22,12,0,140,123,18,23,45,0,209,49,6,0,3,0,62,0,0,0,0,0,0,655,239,148,1259,8,2306,39,6,6,6,0,61,237,20,34,3,0,291,52,0,6,10,0,66,50,8,0,8,0,66,34,5,8,0,0,38,109,13,18,65,0,208,1327,169,245,193,8,1936,35,3,3,48,677,764,6572,1632,1452,7955,782,18392
POA6011,72,455,413,2097,19,3056,0,3,0,58,0,65,158,14,20,23,0,213,27,14,17,44,0,98,86,31,23,42,0,173,1127,487,394,2266,20,4297,0,0,0,0,0,0,81,15,3,29,0,135,99,36,13,149,5,300,27,25,15,68,0,131,13,0,0,4,0,22,68,9,5,5,0,91,357,110,60,728,10,1269,146,73,34,199,5,452,5,5,5,0,0,12,3,0,5,9,0,13,6,0,0,3,0,10,8,5,0,0,0,16,13,0,6,0,0,19,41,8,9,4,0,62,49,9,4,24,0,88,14,3,0,5,0,23,4,0,0,0,0,4,309,129,116,696,9,1252,9,0,3,3,0,16,85,15,18,0,0,119,22,5,0,10,0,38,26,9,0,0,0,35,13,0,0,0,0,13,60,9,8,31,0,107,420,93,110,112,8,754,13,13,7,20,261,309,2543,910,743,4496,310,8996
