POA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6000,0,3,26,15,22,15,40,21,18,165,0,10,24,8,9,18,9,8,4,85,68,280,663,431,362,286,199,105,59,2463,286,1692,4910,2841,1736,1406,891,359,136,14259
POA6003,0,0,0,0,3,3,15,12,8,44,0,0,0,3,0,5,0,5,7,25,6,47,153,57,53,39,17,12,0,386,41,349,1279,650,374,323,208,80,22,3314
POA6004,3,0,4,5,15,8,26,30,9,107,0,5,12,12,5,7,13,5,8,64,37,82,381,334,243,201,139,68,17,1505,176,1004,3594,2287,1494,1422,1001,371,108,11454
POA6005,0,0,0,0,3,7,12,20,18,59,0,0,6,5,4,0,4,6,3,32,7,31,108,66,53,47,49,32,7,404,79,485,1895,1152,656,599,427,262,114,5672
POA6006,0,0,0,5,3,10,33,91,94,241,0,0,5,0,0,11,5,23,36,84,5,22,61,52,26,45,53,46,34,342,157,611,1650,1509,1224,1118,723,400,247,7652
POA6007,0,0,0,0,3,8,14,32,36,90,0,4,0,5,0,0,0,3,10,17,11,35,101,33,36,20,42,48,62,392,122,500,1737,1260,1003,754,646,300,224,6554
POA6008,0,0,8,8,11,20,23,36,32,134,0,0,5,5,3,0,11,3,0,29,26,44,128,129,106,88,146,147,80,899,302,930,2446,2321,2054,1928,1829,1046,344,13195
POA6009,3,0,0,4,0,13,17,34,46,111,0,0,0,3,0,4,3,0,7,28,84,89,135,142,90,110,149,156,77,1024,1204,2221,2127,2167,2286,2030,2043,1367,586,16030
POA6010,0,0,0,8,3,11,17,35,33,111,0,0,0,5,5,5,3,0,3,15,40,47,97,69,83,80,100,97,125,743,490,1108,1828,1977,2524,2156,1949,1459,738,14227
POA6011,0,0,0,0,0,0,3,16,12,38,0,0,0,0,0,0,0,3,0,8,13,12,20,42,28,32,35,47,55,296,251,531,924,902,1263,1218,1027,619,245,6983
