POA_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6000,..,8,33,16,0,0,0,0,0,60,..,209,341,70,18,10,8,3,0,655,..,93,355,210,132,129,101,44,20,1077,0,23,23,17,0,5,7,0,0,77,0,0,10,0,4,0,0,0,0,17,463,630,1832,934,468,406,285,98,30,5137,..,26,742,800,383,348,273,94,15,2687,..,248,1105,377,150,92,34,14,6,2011,..,4,25,62,72,53,14,4,4,247,856,..,..,..,..,..,..,..,..,856,..,145,..,..,..,..,..,..,..,145,..,59,63,24,8,7,0,0,0,162,..,66,82,22,9,22,17,8,6,221,..,31,84,25,8,0,0,0,0,155,..,410,744,154,56,39,23,6,4,1428,..,202,829,640,359,315,211,82,27,2664,5,34,64,22,12,20,14,0,0,177,0,5,12,0,7,5,4,0,0,33,863,1244,3748,2122,1059,898,588,210,56,10786
POA6003,..,9,15,5,0,0,0,0,0,24,..,70,117,18,6,5,0,0,0,210,..,24,107,59,24,54,44,16,9,332,0,4,4,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,125,205,546,241,128,133,95,28,6,1508,..,9,197,198,111,97,66,28,5,713,..,54,342,116,60,43,13,6,0,630,..,0,10,20,25,12,9,0,6,79,257,..,..,..,..,..,..,..,..,257,..,54,..,..,..,..,..,..,..,54,..,20,16,11,4,0,0,0,0,49,..,12,26,6,0,3,5,0,0,47,..,9,33,9,0,0,0,0,0,57,..,133,223,49,22,10,7,4,0,451,..,42,231,164,81,95,82,32,8,734,0,10,9,0,0,0,0,0,0,36,0,0,0,0,4,0,0,0,0,4,259,352,1084,574,304,266,186,74,16,3115
POA6004,..,27,30,3,0,0,3,0,0,61,..,144,269,57,4,18,3,0,0,499,..,103,290,174,113,131,111,45,25,992,4,14,28,7,8,3,13,0,0,76,0,7,3,0,4,3,0,0,0,12,370,589,1574,809,529,512,380,131,39,4945,..,24,776,796,479,543,440,174,21,3248,..,198,817,272,135,99,64,10,3,1597,..,0,13,59,93,55,21,11,0,254,774,..,..,..,..,..,..,..,..,774,..,177,..,..,..,..,..,..,..,177,..,83,77,27,18,3,0,0,0,207,..,82,74,19,5,17,25,0,4,224,..,44,64,18,4,3,3,0,0,138,..,285,565,144,27,40,20,4,0,1087,..,195,622,450,309,322,237,89,40,2260,5,28,53,22,19,11,14,3,0,150,0,9,7,0,5,4,4,0,0,35,780,1121,3060,1806,1098,1095,825,289,76,10147
POA6005,..,12,17,8,0,0,0,0,0,31,..,88,133,26,9,0,4,7,0,272,..,48,170,120,70,91,57,46,23,630,0,17,15,3,4,3,0,0,0,38,0,0,3,0,0,3,4,0,0,10,221,294,812,451,240,230,161,89,31,2529,..,18,342,341,135,169,141,69,13,1235,..,65,478,194,77,45,25,12,0,902,..,0,14,34,54,21,12,9,4,150,440,..,..,..,..,..,..,..,..,440,..,59,..,..,..,..,..,..,..,59,..,33,23,13,7,9,0,0,0,93,..,34,33,8,0,10,12,0,0,108,..,13,26,6,0,0,0,0,0,51,..,167,327,65,32,11,10,9,0,614,..,93,356,291,193,194,139,88,32,1385,10,26,26,15,12,4,5,0,0,88,0,0,3,4,0,3,5,0,0,18,443,510,1634,976,512,462,347,199,50,5129
POA6006,..,13,24,7,0,5,0,0,0,46,..,119,172,26,7,11,0,0,0,335,..,19,96,74,83,117,117,77,67,654,8,12,23,11,10,10,6,5,3,85,0,0,0,0,4,0,0,0,0,7,699,507,824,725,609,520,334,183,107,4502,..,3,309,807,701,569,352,170,47,2957,..,79,487,270,145,117,49,7,0,1144,..,0,18,64,94,44,18,18,21,279,1425,..,..,..,..,..,..,..,..,1425,..,374,..,..,..,..,..,..,..,374,..,163,91,24,27,33,4,0,0,348,..,46,47,13,8,10,20,14,9,170,..,23,53,13,3,3,0,0,0,95,..,229,368,74,18,25,10,7,0,735,..,33,188,182,174,221,196,122,79,1183,13,19,38,11,18,18,12,8,3,149,0,0,0,4,4,3,0,0,0,18,1433,971,1601,1454,1188,1041,660,341,164,8864
POA6007,..,14,14,0,0,0,0,0,0,28,..,67,158,12,9,5,8,0,4,267,..,30,124,98,94,91,114,71,35,657,4,11,16,3,5,5,0,4,0,54,0,0,0,0,0,0,0,0,0,4,498,381,861,594,491,379,315,133,62,3712,..,12,353,606,481,355,305,106,29,2245,..,87,547,236,117,105,33,8,0,1132,..,0,9,62,83,41,17,11,15,250,1050,..,..,..,..,..,..,..,..,1050,..,264,..,..,..,..,..,..,..,264,..,77,57,20,26,13,0,0,0,195,..,41,39,9,11,12,15,7,8,138,..,21,33,6,0,0,0,0,0,60,..,100,322,32,19,20,20,0,5,517,..,54,241,227,201,165,193,90,46,1209,11,18,30,16,11,12,8,4,0,101,0,0,5,0,0,0,0,0,0,9,1060,678,1627,1221,951,726,594,224,98,7176
POA6008,..,14,18,3,0,5,0,0,0,37,..,124,159,23,12,17,8,8,3,346,..,72,244,152,120,245,289,220,85,1431,13,27,23,15,13,18,13,4,0,126,0,0,5,0,0,0,3,0,0,15,1267,821,1216,1134,994,928,818,460,135,7770,..,14,504,1319,1164,973,889,407,78,5351,..,101,691,255,192,169,92,35,0,1539,..,3,20,109,180,114,41,29,6,512,2470,..,..,..,..,..,..,..,..,2470,..,807,..,..,..,..,..,..,..,807,..,213,143,46,31,13,0,0,0,444,..,59,50,17,7,14,32,19,17,216,..,20,31,11,8,0,0,0,0,73,..,211,296,38,23,24,28,12,3,636,..,119,468,311,247,417,488,336,109,2502,21,38,45,30,23,28,19,8,0,217,0,0,11,0,6,5,5,0,0,29,2493,1601,2265,2134,1882,1766,1603,847,212,14804
POA6009,..,24,20,3,5,0,0,0,0,53,..,255,166,14,0,16,11,6,0,475,..,56,83,44,58,96,193,173,133,841,11,23,16,25,9,10,5,6,3,117,0,4,3,0,0,7,3,0,0,28,1433,1214,845,1045,1126,968,937,562,213,8332,..,17,443,1393,1649,1354,1325,765,176,7109,..,99,290,150,127,121,64,20,3,886,..,0,16,91,133,106,41,25,17,421,2926,..,..,..,..,..,..,..,..,2926,..,1349,..,..,..,..,..,..,..,1349,..,248,280,60,38,13,9,0,0,653,..,90,46,14,14,17,26,27,16,253,..,62,55,12,5,0,0,0,0,131,..,495,413,47,10,32,17,13,0,1029,..,98,188,99,143,165,288,236,163,1372,20,46,42,38,18,20,13,16,3,221,0,5,6,5,4,7,10,0,5,45,2955,2523,1777,1911,2139,1833,1784,1104,387,16404
POA6010,..,20,23,3,5,6,0,0,0,53,..,98,104,7,20,13,14,11,0,264,..,54,107,72,79,182,292,330,223,1331,10,31,18,27,12,5,16,8,0,124,0,0,3,3,4,3,6,0,0,20,1404,1103,853,1032,1317,1109,1011,732,337,8899,..,8,430,1294,1714,1376,1183,781,200,6981,..,73,424,196,178,138,98,38,12,1153,..,3,16,99,251,159,57,22,23,637,2989,..,..,..,..,..,..,..,..,2989,..,1428,..,..,..,..,..,..,..,1428,..,342,264,57,35,19,13,0,0,729,..,73,33,0,7,21,24,28,24,210,..,29,38,4,3,4,4,0,0,86,..,189,222,26,26,26,21,16,3,531,..,86,205,144,161,290,432,443,278,2039,20,63,46,42,32,22,30,12,9,270,4,0,7,5,8,12,11,0,0,45,3014,2291,1687,1875,2419,2063,1859,1340,545,17102
POA6011,..,7,8,4,0,0,0,0,0,28,..,38,88,13,5,12,4,3,0,163,..,24,60,46,30,67,121,84,57,486,9,15,36,5,9,10,4,4,0,100,5,3,0,3,5,0,0,0,0,19,682,607,473,460,663,602,511,283,107,4393,..,0,157,511,875,855,682,384,87,3548,..,36,229,133,119,95,65,28,3,699,..,3,7,41,112,49,26,9,8,249,1372,..,..,..,..,..,..,..,..,1372,..,766,..,..,..,..,..,..,..,766,..,188,116,20,20,7,4,0,0,355,..,41,19,5,3,10,10,11,5,99,..,14,26,0,0,0,0,0,0,45,..,67,172,23,10,17,5,11,0,299,..,41,118,89,80,138,182,133,69,848,27,34,52,22,14,12,11,6,0,188,5,4,5,0,4,6,4,0,0,32,1404,1184,895,854,1234,1192,985,565,184,8506
