POA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
POA6000,17,115,29,6,161,28,671,164,51,910,79,2120,431,122,2750,95,1284,294,82,1756,56,752,254,48,1110,70,582,188,32,871,34,332,99,12,474,16,123,51,4,193,3,26,31,0,62,392,5999,1538,357,8287,8,156,43,9,211,22,673,140,31,871,82,1947,253,88,2375,76,956,140,26,1204,69,494,108,16,694,87,386,91,11,585,43,292,95,3,437,16,105,44,5,170,0,46,33,0,70,402,5065,955,195,6613,22,276,71,13,376,50,1347,305,82,1780,164,4067,681,203,5123,167,2243,436,108,2951,129,1242,367,62,1802,158,970,284,46,1455,74,622,192,17,908,33,228,98,8,365,3,69,62,0,135,797,11067,2495,549,14903
POA6003,0,29,6,0,32,4,123,18,9,158,33,532,98,0,670,18,318,40,0,384,28,149,35,3,213,23,127,22,0,182,14,81,6,0,101,8,36,4,0,52,0,8,0,0,8,125,1412,234,22,1799,3,31,0,0,38,3,171,28,0,207,28,527,59,9,625,9,240,16,0,267,26,118,16,0,159,26,112,10,0,149,14,76,11,0,103,0,21,4,0,28,0,6,0,0,8,107,1315,156,8,1585,5,65,6,0,71,5,294,45,8,357,60,1059,161,11,1287,31,561,60,5,656,51,264,55,3,374,50,236,40,0,326,27,161,19,0,208,9,63,10,0,80,0,16,0,0,22,233,2726,391,31,3382
POA6004,10,105,26,0,140,12,423,50,9,490,41,1529,216,48,1836,60,1046,211,32,1340,49,624,167,34,872,77,598,132,22,825,49,436,84,5,579,13,157,32,3,212,7,42,6,0,51,317,4958,915,152,6344,0,124,20,0,140,10,468,44,6,534,56,1575,178,40,1850,57,790,126,9,982,66,501,93,17,674,105,446,66,8,627,63,334,35,7,440,9,138,19,0,167,5,51,8,0,56,375,4418,587,85,5466,10,231,42,0,279,25,887,96,16,1025,96,3107,393,89,3685,120,1834,338,40,2321,118,1124,257,45,1545,181,1047,193,28,1453,115,770,117,12,1013,27,288,52,7,380,6,89,12,0,109,695,9376,1501,240,11809
POA6005,6,33,4,0,42,5,184,19,7,214,36,856,66,13,972,35,548,46,3,634,38,280,31,3,352,37,248,28,0,316,22,197,17,0,238,13,124,7,0,144,3,41,6,0,46,187,2516,227,22,2951,3,60,3,0,72,13,255,13,4,281,41,850,43,8,941,45,449,30,3,529,46,249,25,0,310,55,214,19,3,286,32,147,16,4,196,9,110,3,0,119,0,62,0,0,67,249,2389,151,21,2806,9,91,6,0,114,19,439,37,5,497,80,1706,110,14,1913,79,997,77,5,1162,76,524,52,6,666,96,463,39,0,603,53,344,32,5,438,16,236,15,0,262,6,99,3,0,114,435,4903,379,45,5757
POA6006,9,187,4,0,196,14,245,13,0,268,40,730,37,3,809,59,673,30,0,763,72,509,18,5,606,105,438,23,6,567,45,289,26,0,355,20,148,15,0,190,8,59,9,0,73,374,3281,163,13,3829,10,170,0,0,181,22,311,16,0,348,46,773,30,0,848,82,641,28,3,757,127,490,11,4,626,149,387,18,0,553,65,278,28,0,369,17,176,18,0,214,5,145,18,0,168,520,3363,167,8,4064,17,356,4,0,378,35,546,26,0,613,85,1498,62,0,1656,145,1311,60,5,1520,205,1000,26,3,1233,255,827,40,6,1126,113,564,54,0,725,40,321,39,0,400,16,205,25,0,247,895,6645,328,24,7896
POA6007,6,133,9,0,150,9,181,23,0,205,26,738,50,0,816,40,585,26,0,652,51,413,20,0,485,59,290,11,5,358,34,249,13,0,297,8,94,19,0,117,6,42,13,0,56,239,2721,176,3,3137,4,140,8,0,145,18,259,18,0,296,49,820,62,3,927,66,531,13,0,610,82,412,19,0,517,97,288,11,0,399,54,271,21,0,351,21,145,17,0,183,6,127,36,0,171,397,2992,204,12,3602,4,270,15,0,295,28,438,37,0,500,74,1552,110,4,1738,107,1115,36,7,1269,134,833,36,0,1003,155,575,22,0,754,90,519,33,0,646,28,240,33,0,300,12,164,52,0,230,637,5713,383,14,6738
POA6008,20,368,17,0,410,14,381,20,0,420,55,1025,65,4,1138,72,950,57,5,1081,104,815,51,12,988,169,715,47,8,929,110,723,75,4,913,43,391,58,0,491,14,78,30,0,116,597,5434,419,26,6482,13,323,17,0,353,26,467,19,4,516,69,1169,72,10,1321,121,1044,84,0,1250,214,811,51,4,1079,254,715,40,0,1007,170,699,50,5,924,69,427,58,0,553,11,163,46,0,224,955,5817,437,21,7226,39,686,36,5,758,44,843,42,3,934,121,2190,135,9,2457,193,1994,143,3,2328,320,1628,107,17,2066,418,1422,84,4,1936,279,1425,124,6,1837,112,822,114,0,1047,27,245,77,0,344,1552,11254,862,50,13709
POA6009,25,876,31,3,943,54,1037,45,15,1152,60,955,56,5,1082,87,811,59,3,963,123,909,41,4,1086,151,765,56,3,980,121,784,56,7,967,61,536,74,0,669,22,194,37,5,254,712,6873,448,42,8082,33,906,57,5,1007,67,964,52,4,1088,89,876,94,10,1060,168,956,84,6,1216,267,892,48,0,1212,279,729,48,8,1063,204,808,72,8,1094,97,515,82,0,696,11,283,37,0,342,1223,6928,584,38,8769,62,1784,91,11,1944,117,2005,98,19,2236,150,1828,149,15,2145,258,1765,142,9,2171,398,1799,92,4,2295,431,1489,105,13,2040,328,1592,126,10,2056,156,1053,154,0,1367,36,476,78,5,588,1937,13799,1035,80,16855
POA6010,36,725,28,3,793,31,497,23,0,555,46,817,69,7,937,71,805,40,5,918,141,985,33,6,1169,173,802,31,9,1009,143,711,43,3,907,62,550,35,0,651,34,190,36,0,259,744,6082,338,27,7191,32,572,30,0,630,25,498,27,0,558,66,792,44,4,902,135,896,36,3,1069,288,1029,47,4,1364,330,795,40,3,1160,229,781,34,7,1054,122,629,59,0,809,28,370,77,0,472,1251,6366,389,25,8023,65,1300,56,7,1426,63,994,50,0,1110,113,1612,108,8,1839,204,1705,74,5,1989,432,2004,82,9,2533,497,1594,65,14,2167,373,1494,75,13,1957,189,1176,89,0,1460,60,557,119,0,735,1997,12443,727,55,15216
POA6011,16,304,13,0,332,18,247,8,0,261,23,400,8,9,438,26,374,24,3,423,89,481,10,0,582,127,455,15,7,606,71,408,10,3,489,34,252,23,0,312,16,74,16,0,106,411,2987,132,24,3552,26,397,15,0,439,26,236,9,4,273,34,439,11,5,493,41,418,20,5,486,159,510,13,4,685,225,383,15,6,624,117,409,17,0,540,48,239,23,0,310,11,101,27,0,145,679,3132,162,23,3986,38,703,28,0,770,37,482,16,0,535,62,837,26,8,934,63,788,49,7,911,241,992,30,3,1268,354,836,29,7,1233,184,817,28,4,1030,82,490,44,0,619,24,171,44,0,247,1088,6116,293,41,7540
