POA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
POA6000,1475,3442,1019,152,56,6146,790,6935
POA6003,311,992,341,66,12,1726,212,1934
POA6004,1028,3335,1066,149,50,5621,501,6129
POA6005,495,1748,627,63,40,2976,180,3155
POA6006,295,1598,1451,381,151,3876,142,4017
POA6007,283,1755,1141,232,86,3487,177,3664
POA6008,648,3460,2164,468,164,6909,270,7177
POA6009,363,2052,2608,834,427,6279,169,6453
POA6010,365,2708,2892,789,355,7108,274,7381
POA6011,101,1127,1427,515,274,3447,117,3567
POA6012,329,1301,1288,393,213,3527,179,3702
POA6014,461,3289,3300,878,431,8361,216,8577
POA6015,87,493,1010,418,292,2301,58,2359
POA6016,280,1649,1642,380,149,4105,158,4265
POA6017,187,1115,658,118,52,2125,179,2302
POA6018,811,5727,6903,1830,826,16092,567,16659
POA6019,350,4066,4132,991,427,9964,472,10443
POA6020,200,2048,3840,1241,705,8037,222,8257
POA6021,478,2903,3269,990,513,8156,318,8467
POA6022,70,592,900,263,155,1972,56,2028
POA6023,136,1426,2701,805,444,5519,98,5621
POA6024,143,1601,2296,743,363,5149,144,5296
POA6025,277,3362,5317,1780,950,11689,261,11957
POA6026,241,2306,3626,1262,760,8194,148,8341
POA6027,499,4820,6693,2360,1229,15603,590,16192
POA6028,127,1846,3628,1437,814,7857,181,8033
POA6029,21,256,459,164,99,998,33,1034
POA6030,576,4838,5733,2041,1065,14254,661,14913
POA6031,142,1709,2733,947,498,6029,186,6214
POA6032,3,9,20,12,14,68,9,73
POA6033,0,18,39,34,39,127,10,143
POA6034,17,442,611,117,53,1238,53,1287
POA6035,110,1380,1545,458,231,3730,166,3896
POA6036,229,2212,2400,785,338,5964,225,6189
POA6037,37,451,536,191,117,1337,99,1435
POA6038,74,1354,1565,376,145,3511,112,3629
POA6041,7,133,217,116,87,555,52,611
POA6042,3,21,12,6,0,42,14,60
POA6043,0,42,45,26,8,120,7,130
POA6044,17,195,202,88,54,559,56,610
POA6050,515,2741,2129,621,326,6334,256,6594
POA6051,682,3343,1851,328,153,6344,350,6697
POA6052,325,1858,1795,446,207,4625,149,4774
POA6053,387,2419,2415,585,278,6084,217,6298
POA6054,542,3162,3114,961,470,8250,450,8700
POA6055,224,3096,5106,1571,783,10777,317,11099
