POA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
POA6000,0,6,0,3,0,0,14,0,16,4,6,0,0,20,4,79,12,20,3,0,117,26,20,23,22,5,0,104,42,5,7,24,3,0,81,132,11,9,49,11,6,211,406,0,6,85,17,0,518,1179,5,4,198,16,4,1413,728,0,0,143,7,0,878,271,0,0,45,0,0,320,106,0,0,22,5,0,134,41,0,0,10,0,0,56,21,0,0,3,0,0,31,44,0,0,17,0,0,65,46,6,3,41,28,10,130,3055,162,72,685,101,14,4092
POA6003,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,46,0,3,0,0,46,10,14,10,9,0,0,48,12,4,0,11,3,0,26,41,0,0,12,0,0,58,126,7,4,30,9,0,170,295,0,3,65,12,0,378,152,0,0,36,0,0,188,53,0,0,15,0,0,68,11,0,0,0,0,0,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,4,7,8,4,34,719,74,21,201,35,3,1051
POA6004,3,12,0,0,0,0,12,0,9,0,0,0,0,11,0,104,5,9,0,0,121,19,31,40,30,0,0,113,47,6,6,25,0,0,78,136,17,10,41,11,0,206,298,13,8,87,11,4,414,894,4,0,131,12,4,1052,581,0,0,68,10,0,672,280,0,0,46,4,0,330,148,0,0,20,0,0,174,88,0,0,12,3,0,110,42,0,0,8,0,0,49,53,0,0,18,3,0,72,22,7,6,30,17,8,91,2613,209,75,525,65,19,3509
POA6005,6,15,0,0,0,0,18,0,13,0,0,0,0,15,4,60,3,3,0,0,76,10,15,4,18,3,0,53,31,3,4,17,0,0,62,100,7,3,47,3,0,161,186,7,0,66,3,0,256,444,0,5,88,3,0,542,375,0,0,75,0,0,447,116,0,0,24,0,0,138,20,0,0,12,0,0,30,28,0,0,7,0,0,31,12,0,0,3,0,0,19,11,0,0,5,0,0,19,13,12,0,16,5,6,46,1349,128,27,377,27,7,1919
POA6006,0,4,0,3,0,0,8,0,14,0,0,0,0,16,5,48,0,4,0,0,59,14,10,4,20,0,0,47,15,3,0,18,4,0,41,53,0,8,28,0,0,95,90,0,0,49,0,0,144,241,0,0,102,7,0,349,216,0,0,62,8,0,288,84,0,0,20,0,0,111,44,0,0,11,3,0,58,27,0,0,9,0,0,35,4,0,0,0,0,0,9,7,0,0,5,0,0,9,10,5,0,8,3,4,26,812,79,23,341,27,5,1290
POA6007,0,0,0,0,0,0,4,0,5,0,0,0,0,5,0,26,0,4,0,0,33,11,4,0,7,0,0,26,25,0,0,26,0,0,50,86,0,0,35,3,0,122,122,0,0,43,0,0,164,276,0,0,91,0,0,373,217,0,0,76,0,0,297,122,0,0,28,0,0,152,66,0,0,14,0,0,78,33,0,0,11,0,0,44,16,0,0,6,0,0,19,22,0,0,0,0,0,24,19,0,0,12,0,0,39,1015,36,10,364,12,0,1440
POA6008,0,20,0,6,0,0,23,0,32,13,0,0,0,44,9,162,5,12,0,0,183,17,28,3,16,0,0,64,38,8,0,11,0,0,58,129,16,6,47,7,0,203,193,0,3,82,4,0,285,454,5,3,109,12,0,581,395,0,4,99,10,0,511,266,0,0,67,3,0,338,128,0,0,41,0,0,173,74,0,0,19,0,0,93,71,0,0,14,0,0,85,80,0,0,28,5,0,115,28,14,4,29,7,0,71,1888,282,35,584,53,8,2846
POA6009,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,4,7,3,0,24,6,8,13,22,3,0,50,5,0,0,11,0,0,21,67,5,10,34,15,0,126,177,4,9,50,22,0,272,303,3,11,83,16,0,416,188,3,10,65,10,0,277,132,0,0,35,4,0,178,103,0,0,20,0,0,129,90,0,0,17,0,0,118,59,0,0,17,0,0,80,165,0,0,26,0,0,190,21,0,4,23,5,0,48,1323,29,56,423,89,5,1929
POA6010,0,16,0,4,0,0,14,0,7,5,3,0,0,14,0,88,4,17,3,0,110,9,27,9,17,5,0,58,17,13,5,11,6,0,40,41,10,5,22,80,0,159,98,6,0,48,36,0,193,210,6,6,66,5,0,293,208,3,0,59,7,0,288,168,0,0,41,4,0,213,108,0,0,32,5,0,139,75,0,0,21,3,0,100,62,0,0,14,0,0,73,160,0,0,29,0,0,186,16,5,0,30,15,0,68,1180,181,34,392,163,6,1945
POA6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,12,11,0,0,8,0,0,21,27,0,0,11,0,0,31,42,0,0,31,0,0,75,85,0,0,42,0,0,123,104,0,0,46,0,0,156,58,0,0,32,0,0,88,43,0,0,22,0,0,68,49,0,0,7,0,0,56,39,0,0,6,0,0,46,151,0,0,41,0,0,186,8,0,0,13,5,0,30,621,5,0,267,12,3,907
