POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA6000,975,2063,4917,2845,1737,1406,886,359,138,15331
POA6003,285,420,1279,650,374,323,208,80,22,3638
POA6004,939,1287,3600,2285,1499,1424,1001,371,108,12511
POA6005,482,603,1896,1152,655,603,427,262,114,6196
POA6006,1476,990,1652,1508,1232,1118,723,400,247,9349
POA6007,1082,801,1737,1263,1003,754,646,300,224,7809
POA6008,2723,1690,2445,2327,2054,1928,1828,1046,344,16385
POA6009,3265,4154,2127,2167,2290,2031,2047,1367,586,20039
POA6010,3225,2531,1831,1983,2524,2156,1949,1459,735,18392
POA6011,1503,1297,922,902,1263,1218,1027,619,245,8996
POA6012,1539,1177,968,1110,1305,1078,929,566,218,8894
POA6014,4364,2528,2538,3188,3004,2364,1789,1115,696,21572
POA6015,1214,968,368,561,1075,962,606,556,303,6617
POA6016,2205,1098,1695,1920,1492,1046,685,304,167,10602
POA6017,498,415,1331,824,416,362,306,177,67,4387
POA6018,7752,4562,5523,6225,5453,4265,3497,2595,1372,41253
POA6019,3956,2459,4338,3813,3147,2416,1777,1129,438,23461
POA6020,4223,2402,1535,2712,3033,2811,3049,1507,487,21763
POA6021,3418,2162,2892,3066,2660,2389,2072,1471,643,20764
POA6022,1022,495,647,729,629,507,638,343,78,5087
POA6023,3456,1686,1152,2215,2244,1697,1851,982,318,15594
POA6024,2615,1445,1528,1951,1757,1366,1668,838,180,13344
POA6025,6021,3503,3590,4239,4103,3851,3445,1507,443,30702
POA6026,4146,2593,1758,2934,2899,3225,2791,1168,741,22260
POA6027,7516,5311,5112,5686,5622,5759,4354,1890,767,42019
POA6028,4382,3411,2143,2722,4004,3493,1812,693,195,22863
POA6029,522,377,200,334,408,343,308,189,72,2751
POA6030,8016,5560,5099,5143,5713,4531,2772,1856,772,39485
POA6031,4690,2499,2875,2974,2394,1574,842,298,56,18202
POA6032,28,24,15,18,35,45,18,6,0,183
POA6033,78,50,50,52,65,71,43,9,6,435
POA6034,1033,419,821,541,355,206,143,47,0,3562
POA6035,2743,1138,1387,1468,1328,1046,832,464,146,10555
POA6036,3982,2648,2347,2468,2529,1548,944,391,78,16937
POA6037,864,356,403,438,530,469,356,177,30,3615
POA6038,2707,1151,1921,1649,1170,664,401,146,37,9853
POA6041,234,146,130,150,223,213,264,129,25,1520
POA6042,8,3,6,5,12,18,42,9,0,105
POA6043,10,16,17,3,37,55,63,28,3,220
POA6044,120,88,157,105,157,218,242,118,33,1239
POA6050,2223,1944,2303,2079,1984,1802,1491,1009,708,15545
POA6051,1720,1306,3059,2378,1518,1207,1033,440,120,12783
POA6052,2000,1263,1555,1789,1556,1397,990,493,236,11276
POA6053,2617,1456,2277,2349,2040,1718,1300,737,431,14916
POA6054,3735,2234,2839,2961,2737,2576,2001,1055,404,20546
POA6055,7706,3354,6296,5619,3435,2611,1688,749,238,31684
POA6056,7018,5014,5497,5169,5401,5179,4153,2459,990,40876
POA6057,3118,1955,2142,2127,2071,2047,1510,890,306,16164
POA6058,2491,1469,1798,1900,1591,1462,1340,649,262,12958
POA6059,3713,2772,2916,3052,3249,2999,2473,1821,790,23783
POA6060,3546,2337,5339,4220,2947,2570,1974,1216,757,24906
POA6061,8065,4851,8302,6646,4319,3858,2879,1524,534,40984
POA6062,5500,3804,4998,4622,4079,3899,3535,2224,855,33507
POA6063,3161,2007,2006,2145,1863,1793,1199,451,131,14751
POA6064,5914,4113,4088,4074,3905,3737,2862,1456,490,30643
POA6065,15415,8484,8725,10725,9043,6377,4631,2498,910,66815
POA6066,3540,2591,2305,2182,2425,2702,1498,652,190,18092
POA6067,21,6,23,18,6,9,0,0,0,83
POA6068,0,0,0,0,0,4,0,0,0,10
POA6069,11700,5867,6482,7140,5688,3881,2493,1334,439,45014
POA6070,750,373,226,474,549,504,426,237,51,3589
POA6071,585,374,260,360,524,501,426,201,56,3290
POA6072,133,100,74,94,119,132,95,43,14,796
POA6073,494,306,237,305,437,456,419,290,136,3077
POA6074,168,102,91,104,141,143,141,58,17,951
POA6076,3939,2513,1481,2393,3089,2848,2823,1872,666,21616
POA6077,187,211,93,120,178,285,282,186,35,1584
