POA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
POA6000,0,0,0,0,9,18,50,51,6,8,25,30,14,8,5,228,0,0,0,6,18,11,12,5,0,0,3,0,0,0,6,53,0,0,3,11,11,29,42,29,12,4,14,23,13,0,3,194,0,0,0,4,23,33,75,14,0,4,3,8,6,7,0,172,0,0,0,4,6,0,10,7,0,8,7,10,0,0,0,56,0,0,0,0,4,3,16,44,9,0,14,14,3,0,0,107,0,0,0,5,3,5,38,29,9,4,4,17,5,0,5,131,9,13,122,86,112,120,235,106,14,15,35,48,24,24,29,985,0,0,0,3,4,12,37,27,4,16,7,39,6,7,5,172,0,0,0,36,50,19,42,28,4,16,11,22,14,10,9,260,5,3,26,39,62,100,199,189,63,76,104,211,111,32,35,1256,20,52,216,262,501,562,1350,1131,304,406,587,904,442,141,183,7072
POA6003,0,0,0,3,7,4,0,6,0,3,0,5,0,0,0,28,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,10,17,9,0,0,0,3,0,0,4,45,0,0,0,3,7,13,14,9,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,16,10,5,3,5,10,0,0,0,56,0,8,28,24,32,27,58,33,5,3,9,10,8,0,0,253,0,0,0,0,0,4,0,4,8,0,0,4,5,0,0,32,0,0,0,12,22,15,6,3,0,4,6,3,0,0,0,60,0,4,15,12,24,48,47,50,18,29,30,65,22,0,0,366,5,24,67,83,156,171,290,246,84,90,102,189,63,10,24,1580
POA6004,0,0,0,4,12,16,41,56,13,11,8,34,9,3,0,202,0,0,0,5,12,10,6,0,0,4,3,5,0,0,0,52,0,0,4,12,15,25,61,28,11,16,12,8,14,0,3,216,0,0,5,0,16,18,67,19,4,0,3,16,4,7,0,160,0,0,0,0,0,0,10,6,0,5,8,12,0,0,0,48,0,0,0,0,8,0,9,30,4,6,6,10,5,0,5,77,0,0,0,0,0,11,28,21,8,6,8,3,7,0,3,85,8,25,106,118,137,90,184,96,23,23,16,49,25,15,27,947,0,0,3,4,4,8,15,12,6,0,8,11,7,7,8,96,0,0,0,10,25,17,14,27,7,5,12,4,3,0,3,129,9,6,26,42,65,97,197,213,68,84,136,203,85,12,27,1263,24,71,197,275,525,528,1250,1156,315,375,514,688,363,160,177,6621
POA6005,0,0,0,0,4,4,19,18,9,3,0,14,0,0,5,75,0,0,0,3,16,0,5,4,0,3,0,6,0,0,0,28,0,0,4,0,14,23,16,17,0,0,9,0,4,0,0,74,0,0,0,0,10,17,61,7,0,0,0,0,4,0,7,120,0,0,0,3,3,6,8,9,0,0,4,7,3,0,0,36,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,19,0,0,0,0,5,4,19,9,3,8,0,4,0,5,0,52,9,10,66,53,48,53,113,58,7,12,10,25,13,0,11,483,0,0,4,4,3,5,8,8,0,0,5,6,5,5,3,66,0,0,0,6,11,0,4,4,0,0,0,3,0,0,0,40,3,3,17,26,30,50,121,101,39,35,44,74,29,8,5,590,23,38,138,142,236,270,582,499,131,155,169,291,128,38,63,2894
POA6006,0,0,0,4,6,8,7,3,3,5,0,5,0,0,0,45,0,0,0,3,17,5,5,0,0,0,0,5,0,0,0,42,0,0,0,12,14,15,19,3,0,0,0,3,0,0,0,76,0,0,3,5,17,26,32,16,0,0,0,0,0,0,3,98,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,8,0,0,4,0,0,0,0,16,0,0,0,0,5,3,11,5,0,0,0,0,0,0,0,25,4,11,83,93,122,83,127,59,4,10,5,7,4,0,12,637,0,3,0,3,9,6,6,7,0,0,3,0,0,0,0,53,0,0,0,36,85,10,15,11,0,3,0,4,0,0,6,175,3,7,38,46,45,81,63,66,7,13,27,15,0,9,12,438,39,189,314,291,460,338,464,317,38,66,74,54,24,12,87,2775
POA6007,0,0,0,0,5,6,12,4,5,0,3,0,0,0,0,30,0,0,0,3,9,0,0,3,0,0,0,0,0,0,0,28,0,0,5,7,12,9,14,5,0,3,0,0,6,0,0,57,0,0,5,5,18,20,41,16,0,0,0,14,0,0,4,127,0,0,0,0,7,3,5,0,0,0,0,8,0,0,0,21,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,21,0,0,0,3,0,4,17,0,4,0,0,0,3,0,0,27,3,15,86,90,98,103,141,81,8,16,8,15,14,3,26,711,0,0,4,3,8,6,8,22,0,4,3,4,9,5,0,68,0,0,0,26,23,3,3,0,0,0,3,0,0,0,3,63,6,7,25,23,43,49,105,65,27,18,24,27,27,0,7,446,38,98,181,234,358,296,531,371,72,96,90,123,96,12,83,2674
POA6008,0,0,0,6,11,8,19,21,8,8,3,6,3,0,0,90,3,0,0,0,16,7,8,3,0,0,4,0,0,0,4,51,3,0,11,15,16,16,43,26,6,3,9,0,4,0,6,163,0,0,6,27,44,43,72,30,0,5,6,4,7,5,3,256,0,0,3,0,9,4,7,3,0,0,0,0,0,0,0,43,0,0,0,0,10,5,3,8,6,0,0,0,0,0,0,34,0,0,0,3,7,8,15,17,0,3,4,10,0,0,0,61,23,67,275,213,235,180,305,151,26,31,26,22,16,20,32,1607,0,0,0,17,19,13,38,22,13,3,9,4,11,10,0,168,0,0,0,14,17,9,10,7,0,0,5,5,0,0,0,59,5,8,60,53,93,128,208,170,41,39,54,63,29,6,15,977,66,176,466,509,714,609,1174,884,169,187,211,252,160,72,117,5779
POA6009,0,0,0,0,9,3,13,15,6,0,5,4,4,0,4,73,0,0,0,0,15,6,0,3,0,0,3,0,5,0,0,34,5,3,12,49,59,50,63,33,9,22,18,41,41,6,0,417,0,3,6,25,57,49,152,37,3,9,0,5,11,5,0,367,4,0,3,19,25,16,19,22,5,0,6,5,6,0,0,142,0,0,0,8,45,6,15,3,0,0,0,0,5,0,9,87,0,0,0,4,3,7,11,3,0,0,0,4,0,0,5,43,32,76,216,177,176,157,294,130,16,26,19,18,28,15,34,1407,0,0,14,20,11,17,55,31,5,15,6,18,28,14,6,240,0,0,0,21,25,6,15,20,11,14,13,26,8,4,0,166,13,14,66,65,98,94,174,105,33,41,46,72,35,9,15,864,99,183,475,720,990,754,1423,805,237,325,326,538,408,78,125,7493
POA6010,0,0,0,4,8,0,5,4,0,0,0,0,0,0,0,27,0,0,0,5,23,5,9,4,0,0,0,0,0,0,0,42,7,0,9,28,29,29,34,15,10,12,0,4,7,4,3,196,0,6,11,23,60,66,161,69,6,14,6,7,3,8,0,456,7,4,3,4,12,6,14,5,3,0,0,0,0,0,0,57,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,7,5,5,0,7,0,0,0,0,33,33,78,263,239,218,201,352,160,21,34,36,47,23,10,35,1746,0,0,5,21,22,13,42,26,4,10,7,8,15,7,9,198,0,0,0,0,3,0,0,4,0,6,0,4,0,0,6,24,6,6,55,54,96,110,203,150,11,22,27,48,38,0,13,848,85,172,461,562,733,677,1223,724,100,157,168,236,154,47,105,5599
POA6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,20,0,0,4,3,9,7,14,5,4,0,5,0,0,0,0,53,0,3,7,18,42,22,40,14,0,4,4,3,0,0,0,165,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,10,15,39,132,111,113,101,124,91,17,17,13,26,24,11,20,856,0,0,8,12,15,9,25,22,7,13,0,6,12,0,3,136,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,8,3,41,34,35,40,49,49,7,12,8,12,6,3,7,317,44,86,239,239,328,263,363,267,54,58,59,88,78,32,50,2239
