POA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
POA6000,6,6,8,14,3,0,0,91,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,19,0,0,6,5,22,11,26,34,6,8,8,21,19,0,3,158,7,28,16,0,0,0,0,24,7,3,17,14,8,0,3,134,0,0,0,0,0,6,25,13,3,4,11,27,9,10,0,117,0,0,0,0,6,0,55,28,16,4,17,12,3,0,3,151,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,3,16,32,30,69,55,24,20,33,25,16,0,18,338,0,0,0,0,0,0,4,16,10,11,16,37,8,0,0,102,0,9,0,0,5,0,6,0,0,0,0,8,0,0,0,21,0,0,11,27,58,48,77,58,7,7,6,14,10,6,16,343,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,5,0,0,7,10,6,0,0,47
POA6003,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,3,5,0,3,7,3,0,0,35,0,13,11,7,0,0,3,0,3,0,3,5,3,0,0,42,0,0,0,0,0,3,13,4,0,0,0,3,0,0,0,31,0,0,0,0,5,4,28,21,9,9,4,22,5,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,16,16,4,6,11,3,7,0,0,79,0,0,0,0,0,0,3,5,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,3,18,8,12,8,0,3,0,5,0,0,0,63,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,4,8,0,0,0,20
POA6004,3,9,12,12,0,5,0,129,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,0,5,5,3,17,0,31,16,0,5,20,7,5,15,3,137,0,13,10,0,0,0,7,27,12,6,5,15,4,0,11,115,0,0,0,0,0,7,35,35,10,15,31,46,35,33,8,254,0,0,0,0,4,6,49,62,12,10,9,19,4,0,0,182,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,10,0,0,8,20,54,32,102,74,13,15,11,16,15,6,14,380,0,0,0,0,0,0,16,11,3,15,25,28,13,0,0,120,0,11,0,3,0,3,4,0,0,0,5,0,0,0,4,37,0,0,5,22,56,36,55,39,9,5,9,6,15,3,10,263,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,20,4,0,3,3,3,0,4,51
POA6005,4,3,3,13,0,0,0,60,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,4,8,4,4,10,20,0,6,0,14,4,0,0,79,4,12,6,0,0,0,10,19,6,0,6,3,3,0,8,84,0,0,0,0,11,5,3,9,3,8,3,8,3,11,6,62,0,0,0,0,0,4,10,11,6,7,9,7,0,0,4,59,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,3,6,18,7,35,27,0,8,3,3,4,0,0,121,0,0,0,0,0,0,0,3,0,5,6,0,6,0,0,19,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,13,0,0,3,6,22,27,42,25,0,0,6,9,0,0,12,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,5,0,0,3,0,5,0,0,23
POA6006,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,13,9,12,31,0,0,0,9,0,0,3,90,12,109,83,11,0,4,9,14,0,0,0,0,0,0,11,278,0,0,3,0,3,3,11,5,0,0,4,5,0,0,0,23,0,0,0,0,0,0,9,5,0,0,6,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,30,6,17,7,0,0,0,6,3,0,4,83,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,6,4,0,4,0,4,0,0,0,0,0,0,0,0,18,0,0,14,22,41,20,35,21,0,4,4,0,0,0,3,162,3,7,15,10,5,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
POA6007,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,28,7,39,46,5,4,0,10,7,0,7,155,13,38,24,8,0,0,5,10,0,0,0,0,0,0,3,109,0,0,0,0,0,3,10,5,0,6,5,5,0,3,4,47,0,0,0,0,0,5,12,0,0,6,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,5,13,30,5,21,9,3,12,5,5,0,0,0,118,0,0,0,0,0,0,5,4,6,6,10,9,5,0,0,43,0,6,0,0,0,0,3,3,0,0,0,0,0,0,6,27,0,0,13,21,42,24,24,18,0,0,0,4,0,0,4,143,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12
POA6008,0,0,3,4,0,0,6,81,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,6,34,9,13,34,15,27,43,5,7,10,14,10,12,4,225,7,26,14,7,0,5,7,23,8,6,0,0,3,0,6,106,0,0,0,4,5,8,22,36,15,8,20,25,21,4,5,168,0,0,0,0,3,6,16,18,3,8,0,3,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,41,59,27,55,41,0,3,12,14,9,3,3,288,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,12,6,8,4,9,28,5,0,0,0,4,4,0,0,75,0,5,30,55,50,34,37,26,8,9,3,14,6,0,14,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,3,3,0,0,0,0,0,0,17
POA6009,0,0,16,12,0,0,4,96,0,0,0,0,0,7,3,5,0,0,0,0,0,0,0,11,0,6,8,12,22,9,15,15,0,0,0,9,17,3,0,120,14,18,10,10,4,6,13,8,3,0,0,0,0,0,0,85,0,0,3,3,6,6,15,9,3,3,0,4,4,8,0,66,0,0,0,0,3,0,9,11,0,3,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11,41,155,189,75,82,35,7,16,9,23,30,5,0,701,0,0,0,0,0,0,3,0,0,3,3,6,3,0,0,23,0,18,0,5,5,4,18,12,0,3,0,9,0,0,0,78,0,10,22,43,37,33,61,20,3,3,3,3,7,8,12,262,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,12,24,0,16,5,8,3,0,0,85
POA6010,0,0,3,9,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,31,11,21,16,0,4,0,11,15,10,4,142,0,12,10,4,4,0,13,8,0,0,0,4,0,0,4,65,0,0,0,0,12,18,15,10,0,19,6,3,4,0,14,101,0,0,0,6,9,4,8,8,0,0,0,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,21,32,46,20,39,28,6,5,4,0,9,0,5,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,7,0,13,16,13,0,0,0,4,0,0,0,76,0,9,28,46,63,36,37,19,4,0,4,10,9,0,3,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,7
POA6011,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,19,7,8,0,7,15,18,7,0,100,3,7,3,3,6,5,6,12,0,3,0,0,0,3,8,53,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,6,7,3,3,7,0,0,0,3,0,0,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,8,0,0,0,0,0,0,0,3,27,0,3,9,18,37,23,22,8,0,0,3,0,0,5,6,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
