POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA6000,52,92,0,145,984,282,46,1455,3,109,0,115,586,187,17,908,0,17,0,17,236,100,8,365,0,4,0,4,74,59,0,135,1221,470,31,1722,10159,2474,549,14903
POA6003,13,27,0,40,245,40,0,326,0,21,0,21,163,18,0,208,0,4,0,6,63,7,0,80,0,0,0,0,18,0,0,22,321,137,6,465,2494,393,31,3382
POA6004,42,117,0,156,1075,192,28,1453,13,127,5,141,747,116,12,1013,0,25,0,28,297,47,7,380,0,0,0,0,92,12,0,109,1090,448,30,1574,8515,1488,240,11809
POA6005,20,47,0,69,485,42,0,603,0,50,0,50,346,34,5,438,0,12,0,12,236,10,0,262,0,0,0,0,106,5,0,114,584,252,24,864,4473,376,45,5757
POA6006,68,107,5,180,902,36,6,1126,3,138,0,147,533,49,0,725,0,43,0,43,326,31,0,400,0,8,0,8,213,27,0,247,1570,496,79,2141,5417,316,24,7896
POA6007,65,74,0,134,600,18,0,754,3,126,0,132,487,29,0,646,0,33,0,33,230,39,0,300,0,0,0,0,178,47,0,230,1175,372,46,1593,4765,369,14,6738
POA6008,141,167,6,317,1529,87,4,1936,36,401,0,443,1270,121,6,1837,7,127,0,140,799,111,0,1047,0,4,0,4,265,75,0,344,2699,964,91,3754,9077,833,50,13709
POA6009,190,183,5,374,1550,100,13,2040,49,579,4,629,1289,132,10,2056,10,168,0,187,1029,146,0,1367,0,12,0,12,503,77,5,588,3109,1247,111,4473,11285,1014,80,16855
POA6010,177,232,7,410,1680,61,14,2167,30,530,4,566,1300,83,13,1957,16,224,0,241,1135,80,0,1460,0,8,0,6,625,106,0,735,3053,1240,140,4434,10038,689,55,15216
POA6011,126,135,3,264,926,30,7,1233,8,334,0,345,654,28,4,1030,3,113,0,113,465,45,0,619,0,3,0,3,196,44,0,247,1458,760,50,2270,4947,277,41,7540
POA6012,71,107,4,174,850,52,7,1088,9,234,0,242,647,36,4,931,3,73,0,76,451,37,4,574,0,5,0,5,179,34,0,218,1453,566,63,2073,4921,356,29,7379
