POA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA6000,108,541,1745,852,451,313,74,4,0,4095,53,169,305,184,119,164,260,113,45,1420,40,128,243,137,105,95,96,42,30,905,202,838,2286,1175,679,574,426,167,70,6423,34,410,2542,1526,802,510,107,7,0,5940,95,493,870,388,219,202,91,15,0,2374,6,37,118,89,59,42,14,0,0,367,5,27,75,30,13,11,0,0,0,165,143,973,3604,2035,1095,758,210,23,0,8845,4,34,101,66,60,51,11,0,0,313,28,48,57,33,24,13,0,0,0,195,29,83,152,96,76,60,12,0,0,511,170,1054,3758,2132,1171,814,223,29,0,9355,122,370,514,300,215,311,480,237,74,2626,72,274,643,412,353,277,186,98,57,2374,369,1700,4917,2845,1737,1406,886,359,138,14356
POA6003,25,146,501,212,110,90,18,0,0,1107,15,29,58,35,27,45,74,25,6,315,0,21,56,16,16,15,9,7,0,147,38,202,621,265,160,149,103,28,8,1571,7,97,691,347,185,126,21,0,0,1471,30,126,250,128,60,51,33,4,0,680,0,5,29,28,15,7,0,0,0,85,0,8,14,4,5,0,0,0,0,36,30,242,984,502,259,185,54,5,0,2267,3,5,14,11,11,12,0,0,0,62,6,9,23,6,0,3,0,0,0,49,12,18,40,17,10,15,0,0,0,111,43,260,1024,526,274,204,53,5,0,2382,21,49,106,69,45,81,133,62,16,582,6,41,156,62,58,42,17,11,0,382,71,348,1279,650,374,323,208,80,22,3347
POA6004,73,381,1411,675,450,363,97,17,0,3461,52,97,240,172,121,197,305,132,45,1372,17,44,157,123,85,64,37,17,6,550,140,522,1810,975,658,616,433,164,54,5378,22,329,1910,1200,767,626,139,13,0,5007,101,309,682,334,181,191,116,37,0,1958,5,26,90,69,45,44,9,0,0,289,0,8,48,24,7,6,3,0,0,103,126,674,2731,1628,1007,870,276,53,3,7359,4,30,93,60,35,38,8,0,0,270,13,31,44,22,14,15,7,0,0,149,17,62,140,84,49,54,10,0,0,421,139,732,2871,1715,1050,921,289,54,3,7769,107,192,358,244,209,312,599,269,88,2373,36,82,365,332,241,191,118,48,15,1422,279,1012,3600,2285,1499,1424,1001,371,108,11568
POA6005,44,231,801,433,234,189,48,12,0,1985,23,32,88,65,54,85,135,107,61,650,3,13,43,24,25,19,15,7,0,147,72,281,931,528,308,288,192,119,67,2790,13,179,1178,700,345,236,64,5,0,2725,47,166,348,168,102,113,55,11,0,1001,4,12,41,40,20,27,4,0,0,147,0,7,27,17,3,9,0,0,0,62,58,368,1593,925,476,379,121,15,0,3938,0,9,37,35,20,16,10,3,0,128,4,13,22,10,8,5,6,0,0,76,4,23,52,51,30,25,14,4,0,204,68,390,1644,974,508,402,133,19,0,4143,36,68,142,117,94,159,264,233,108,1220,8,27,103,68,55,43,33,12,4,355,114,490,1896,1152,655,603,427,262,114,5709
POA6006,102,298,773,642,548,362,98,7,0,2834,73,34,44,86,75,177,248,187,153,1074,0,11,29,29,5,14,24,21,13,147,181,348,846,749,624,553,366,214,168,4052,17,181,1016,906,709,491,80,4,0,3408,165,272,359,332,284,231,135,18,0,1793,6,16,66,51,28,18,3,0,0,193,0,8,18,9,3,9,9,4,0,54,190,480,1456,1297,1024,747,221,28,0,5441,0,14,34,28,17,29,5,0,0,129,29,15,16,11,15,16,8,0,0,112,28,32,48,34,35,49,13,3,0,238,218,513,1504,1332,1053,798,231,30,0,5681,154,81,85,123,151,287,448,336,221,1893,5,18,60,54,21,35,43,35,21,294,376,611,1652,1508,1232,1118,723,400,247,7874
POA6007,93,245,811,530,441,284,94,11,0,2500,46,35,60,74,61,94,232,159,131,907,5,15,53,11,18,9,12,20,37,185,145,296,924,616,517,394,347,183,166,3592,13,169,1079,786,606,356,82,0,0,3090,119,193,349,271,203,171,106,16,0,1428,6,18,48,39,19,22,9,0,0,162,3,13,17,11,7,0,5,0,0,60,146,384,1491,1105,828,551,211,19,0,4736,4,14,21,22,23,13,0,0,0,96,22,16,18,10,10,4,5,0,0,79,27,32,42,28,28,18,7,0,0,175,164,412,1529,1135,860,565,210,23,0,4911,116,59,103,96,108,168,409,242,178,1471,15,33,97,34,35,22,24,38,49,343,295,500,1737,1263,1003,754,646,300,224,6728
POA6008,190,428,1110,949,870,683,267,33,4,4537,148,59,128,218,159,284,615,468,179,2270,11,17,71,76,48,37,44,49,43,396,353,516,1313,1247,1076,1005,921,553,224,7203,19,263,1515,1269,1154,768,231,20,0,5241,307,409,439,508,456,483,313,71,5,2989,16,22,85,67,32,47,23,0,0,298,5,5,20,14,13,15,5,3,0,78,343,711,2053,1859,1659,1308,571,100,3,8606,6,21,30,45,44,46,3,0,0,187,38,25,35,28,15,21,13,0,0,171,41,41,64,68,58,72,11,0,0,358,386,749,2120,1924,1717,1379,586,102,3,8967,348,134,204,271,235,474,1127,837,264,3903,26,44,121,127,99,75,116,105,72,800,761,930,2445,2327,2054,1928,1828,1046,344,13663
POA6009,509,760,733,851,939,670,266,50,4,4785,439,283,237,274,230,346,752,578,293,3429,53,43,87,84,42,39,72,71,36,523,993,1087,1058,1209,1212,1054,1086,698,339,8734,28,285,880,1005,1261,857,297,41,3,4661,695,989,469,527,520,475,359,119,6,4162,52,71,80,70,42,47,23,5,0,388,9,8,11,22,21,13,8,4,4,107,789,1354,1446,1625,1836,1387,685,175,13,9310,7,27,48,26,42,15,4,0,0,175,155,102,32,27,19,15,8,0,0,365,168,129,84,50,65,36,12,0,0,541,950,1488,1531,1674,1902,1420,698,175,13,9853,905,659,465,359,306,512,1223,1057,501,5986,80,79,135,134,83,95,128,131,69,932,1937,2220,2127,2167,2290,2031,2047,1367,586,16771
POA6010,308,443,744,852,1091,745,269,58,0,4508,303,90,121,184,229,381,741,702,406,3151,23,25,40,30,36,36,37,47,64,344,627,558,898,1071,1362,1157,1044,809,472,8004,34,280,1027,1073,1390,916,261,27,0,5004,494,512,356,480,618,506,370,117,10,3454,29,29,88,52,37,46,23,10,0,310,4,12,19,13,14,9,7,7,4,74,564,829,1489,1622,2051,1471,659,159,11,8854,8,19,35,24,55,30,10,0,0,182,72,38,21,22,23,26,8,0,0,218,83,54,56,49,83,56,14,3,0,400,644,883,1548,1669,2137,1523,678,163,11,9251,735,181,185,247,321,570,1193,1223,625,5282,41,41,102,69,71,61,74,68,101,628,1422,1112,1831,1983,2524,2156,1949,1459,735,15164
POA6011,199,235,424,351,518,389,149,29,5,2302,232,28,53,106,146,221,369,260,108,1529,6,10,11,18,13,16,20,17,27,137,438,270,490,485,678,624,536,310,144,3968,13,140,575,475,683,511,150,19,0,2565,267,272,171,205,313,319,227,63,3,1833,18,17,38,34,18,25,11,4,0,159,5,12,13,3,15,4,3,4,3,64,297,435,795,718,1029,862,392,86,10,4622,0,0,14,10,14,17,3,0,0,66,52,23,14,6,17,12,0,0,0,129,60,23,32,14,32,26,7,0,0,187,354,459,826,730,1056,893,401,86,10,4812,398,57,83,128,180,301,597,495,196,2440,10,12,19,40,23,28,23,31,45,248,762,534,922,902,1263,1218,1027,619,245,7493
