POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA6000,73,371,701,457,405,301,203,106,55,2678,975,2063,4917,2845,1737,1406,886,359,138,15331
POA6003,29,52,168,65,61,43,20,10,0,455,285,420,1279,650,374,323,208,80,22,3638
POA6004,132,149,429,350,277,205,131,50,12,1737,939,1287,3600,2285,1499,1424,1001,371,108,12511
POA6005,23,49,135,78,70,49,38,16,4,472,482,603,1896,1152,655,603,427,262,114,6196
POA6006,77,56,92,88,64,60,49,21,16,506,1476,990,1652,1508,1232,1118,723,400,247,9349
POA6007,42,62,135,61,61,43,38,7,11,466,1082,801,1737,1263,1003,754,646,300,224,7809
POA6008,205,123,173,170,152,127,142,106,55,1250,2723,1690,2445,2327,2054,1928,1828,1046,344,16385
POA6009,237,265,177,178,134,159,168,149,66,1528,3265,4154,2127,2167,2290,2031,2047,1367,586,20039
POA6010,160,159,139,117,144,121,131,95,109,1176,3225,2531,1831,1983,2524,2156,1949,1459,735,18392
POA6011,68,87,46,71,63,69,50,48,45,549,1503,1297,922,902,1263,1218,1027,619,245,8996
POA6012,88,91,70,72,83,80,51,43,33,611,1539,1177,968,1110,1305,1078,929,566,218,8894
POA6014,184,102,118,118,108,111,88,59,42,935,4364,2528,2538,3188,3004,2364,1789,1115,696,21572
POA6015,60,47,19,17,45,43,33,30,13,300,1214,968,368,561,1075,962,606,556,303,6617
POA6016,117,71,79,88,72,54,42,13,3,547,2205,1098,1695,1920,1492,1046,685,304,167,10602
POA6017,36,37,107,70,39,34,19,11,0,353,498,415,1331,824,416,362,306,177,67,4387
POA6018,424,275,349,316,282,202,181,195,186,2406,7752,4562,5523,6225,5453,4265,3497,2595,1372,41253
POA6019,215,169,308,258,187,113,131,55,11,1454,3956,2459,4338,3813,3147,2416,1777,1129,438,23461
POA6020,208,123,76,129,164,117,123,74,22,1043,4223,2402,1535,2712,3033,2811,3049,1507,487,21763
POA6021,187,124,186,190,163,143,110,102,38,1253,3418,2162,2892,3066,2660,2389,2072,1471,643,20764
POA6022,46,31,20,39,37,16,24,15,8,239,1022,495,647,729,629,507,638,343,78,5087
POA6023,155,71,58,90,107,60,72,39,23,678,3456,1686,1152,2215,2244,1697,1851,982,318,15594
POA6024,150,94,62,102,113,77,68,36,6,717,2615,1445,1528,1951,1757,1366,1668,838,180,13344
POA6025,324,183,210,233,227,167,120,58,38,1573,6021,3503,3590,4239,4103,3851,3445,1507,443,30702
POA6026,188,124,87,129,141,125,104,59,58,1018,4146,2593,1758,2934,2899,3225,2791,1168,741,22260
POA6027,450,339,346,370,368,402,233,188,134,2828,7516,5311,5112,5686,5622,5759,4354,1890,767,42019
POA6028,204,209,132,148,223,159,79,28,7,1188,4382,3411,2143,2722,4004,3493,1812,693,195,22863
POA6029,25,26,21,16,20,15,11,4,0,144,522,377,200,334,408,343,308,189,72,2751
POA6030,700,440,347,377,380,270,149,110,67,2848,8016,5560,5099,5143,5713,4531,2772,1856,772,39485
POA6031,299,163,143,165,144,91,56,18,0,1073,4690,2499,2875,2974,2394,1574,842,298,56,18202
POA6032,0,3,0,0,5,7,4,0,0,20,28,24,15,18,35,45,18,6,0,183
POA6033,6,3,7,8,6,8,3,0,0,38,78,50,50,52,65,71,43,9,6,435
POA6034,67,30,56,38,25,15,6,0,0,234,1033,419,821,541,355,206,143,47,0,3562
POA6035,220,101,98,118,92,69,45,19,5,762,2743,1138,1387,1468,1328,1046,832,464,146,10555
