GCCSA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
5GPER,38157,269697,306608,100028,54751,769239,9383,778620
5RWAU,8951,58161,70174,27867,17161,182316,3793,186111
59499,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,3,0,3
