GCCSA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
5GPER,27547,19933,25888,24260,22058,17420,11828,7550,4694,161177,401240,255946,303907,306917,274565,240188,189951,103099,40831,2116647
5RWAU,13067,7713,10375,10275,10088,8866,5858,3053,1148,70437,103769,55267,66822,70860,72266,72050,56655,27867,9237,534804
59499,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
59799,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
