GCCSA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5GPER,155788,107495,51659,18647,1104787
5RWAU,42516,29384,12746,3837,256450
59499,876,505,105,20,5668
59799,48,15,0,0,428
