GCCSA_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
5GPER,12764,12130,24898,13067,12405,25476,13294,12528,25818,13570,12768,26343,14009,13062,27076,66701,62896,129598,14331,13395,27722,14006,13122,27131,13795,13322,27114,14028,13364,27397,13729,13322,27051,69895,66521,136414,13886,13347,27237,13924,13153,27074,13901,12789,26698,13982,13314,27296,13933,12985,26921,69632,65588,135222,13309,12596,25906,12768,11988,24753,12570,11723,24293,12130,11937,24064,12362,11936,24299,63138,60176,123315,13144,12557,25700,13354,13106,26454,13621,13155,26774,13523,13104,26623,13645,13424,27069,67284,65344,132631,14117,13661,27777,14488,14194,28680,14338,14583,28922,14078,14830,28911,14540,15020,29560,71559,72285,143850,14961,15968,30933,15553,16186,31741,15497,16658,32155,15732,16675,32406,15960,16867,32823,77701,82350,160051,16219,16889,33110,16361,16835,33197,16124,16714,32835,16232,16476,32712,15757,15822,31581,80691,82738,163435,15313,15552,30868,14518,14699,29218,14059,14443,28497,13868,13857,27722,13397,13783,27177,71155,72329,143484,13593,13748,27339,13409,13848,27261,13414,13753,27172,13717,14006,27723,14325,14700,29020,68465,70055,138515,14579,14905,29489,13650,13929,27579,13701,13895,27596,12876,13117,25996,12557,12839,25395,67358,68693,136051,12308,12750
5RWAU,3043,2851,5897,3248,3058,6301,3337,3067,6395,3351,3193,6541,3428,3289,6717,16402,15458,31859,3649,3421,7074,3696,3430,7125,3759,3550,7308,3724,3477,7205,3765,3500,7268,18591,17389,35974,3799,3436,7240,3749,3651,7399,3594,3474,7069,3631,3463,7102,3622,3517,7137,18396,17547,35939,3414,3352,6770,3303,3026,6333,3234,2969,6207,2841,2552,5394,2613,2350,4965,15418,14251,29670,2557,2179,4735,2599,2245,4845,2708,2407,5116,2769,2565,5325,2880,2690,5572,13513,12084,25595,3047,2781,5828,3176,3026,6195,3270,3115,6386,3222,3229,6451,3347,3181,6526,16061,15324,31391,3497,3451,6950,3449,3566,7016,3595,3546,7140,3554,3537,7097,3618,3607,7223,17722,17709,35428,3719,3686,7408,3569,3713,7274,3720,3637,7359,3700,3670,7369,3600,3595,7202,18307,18303,36610,3671,3520,7187,3492,3397,6889,3486,3434,6922,3401,3227,6629,3431,3189,6621,17476,16769,34251,3462,3251,6709,3424,3445,6869,3525,3446,6971,3744,3397,7140,3965,3734,7696,18113,17268,35382,4068,3913,7983,3823,3570,7395,3686,3602,7288,3694,3565,7259,3589,3365,6953,18866,18016,36883,3709,3461
59499,24,32,53,27,31,58,45,31,73,23,32,53,29,24,63,149,153,300,30,28,60,21,24,46,27,25,53,28,27,57,25,20,49,132,127,259,38,35,67,13,24,40,15,15,27,33,12,44,21,20,41,116,101,212,17,20,38,11,25,42,20,28,52,22,44,71,36,30,65,118,147,261,65,63,123,48,40,88,66,38,103,62,41,102,63,84,141,295,256,562,79,66,148,82,69,153,74,64,136,77,81,161,69,71,139,385,358,744,137,91,230,55,76,128,82,60,141,89,50,141,70,61,130,433,339,773,130,107,240,89,50,141,78,54,128,85,61,145,69,43,113,449,315,769,169,111,277,64,56,126,80,39,118,75,47,117,95,38,135,476,298,770,145,55,195,64,58,118,65,46,107,75,60,131,99,35,132,433,244,680,134,65,202,68,24,97,80,44,121,68,54,118,55,43,94,404,228,631,95,39
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,7,3,6,0,0,0,4,3,6,0,3,4,9,0,7,9,3,10,25,11,31,4,0,6,10,0,10,9,0,10,15,0,18,10,3,12,49,7,54,6,0,3,9,0,10,10,0,10,11,0,11,19,5,20,48,5,54,17,0,17,6,3,12,25,9,34,26,0,26,8,0,8,85,10,92,22,0,22,14,0,14,13,0,18,22,0,22,13,0,13,79,0,82,5,0,5,17,0,17,13,4,17,8,0,8,13,0,11,51,3,57,9,0,8,13,0,13,10,0,10,9,0,9,3,4,3,48,3,54,4,0
