GCCSA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
5GPER,29319,95698,78658,385003,4560,593241,599,2851,1808,33096,699,39043,102154,2279,4319,3014,527,112289,9569,2727,1464,7814,148,21726,21543,5949,3993,10774,196,42454,304815,85852,68685,319755,5836,784948,34649,547,2731,604,138,38668,9828,1130,966,2538,72,14540,24378,5401,4484,25445,395,60102,6041,2067,1080,5304,75,14572,3131,566,375,870,34,4976,67443,2325,1649,1768,197,73386,71162,15660,11512,87365,1093,186796,46515,15262,7469,46641,652,116535,7547,117,413,119,16,8216,1920,443,251,531,11,3154,6437,1115,699,2313,60,10629,2022,711,390,1396,30,4543,18917,2601,1698,805,199,24208,13426,5196,3098,1504,119,23348,12041,1931,1589,4260,106,19925,4514,374,619,785,43,6332,2317,318,106,63,20,2827,71908,17927,13884,79086,990,183804,6473,577,358,661,39,8106,23979,2267,1965,600,101,28910,7800,648,569,1793,56,10875,5505,483,316,367,31,6700,20696,515,945,417,70,22652,11979,2075,1468,4285,70,19882,252156,19680,19541,21284,2000,314651,12343,1031,861,5445,96446,116128,985194,169557,134620,716031,111245,2116647
5RWAU,4065,21000,18487,148468,2199,194224,117,1536,719,38420,876,41659,3343,167,279,665,41,4493,716,325,182,1112,29,2354,4781,1499,970,2961,80,10284,51557,20098,16936,122758,2537,213880,7015,93,706,197,53,8069,1586,187,193,728,11,2715,5217,1347,1299,9957,164,17986,464,213,103,732,7,1524,373,111,55,168,6,718,3274,216,139,306,14,3941,10037,3432,2636,29500,404,46010,5328,2367,1079,11575,176,20529,423,8,60,14,5,505,157,27,16,63,0,264,302,83,55,252,5,691,248,134,60,250,0,691,5019,745,600,299,103,6765,3159,1406,885,489,54,6000,1682,395,327,1176,27,3611,503,52,97,208,13,869,424,42,24,24,4,515,12197,4217,3481,27967,380,48239,298,46,28,77,0,455,3470,380,343,150,15,4351,992,101,88,501,9,1692,281,39,50,38,3,405,890,33,69,25,12,1023,1795,462,312,1316,16,3895,21176,3116,3196,6600,398,34481,1348,304,261,2783,51833,56517,119358,37283,30738,289608,57821,534804
59499,38,167,166,1347,24,1746,6,8,6,354,25,402,51,0,0,8,0,67,13,3,0,8,0,28,52,12,9,13,0,89,602,174,149,916,17,1856,34,0,9,0,0,34,44,0,0,5,0,52,104,17,7,95,4,227,7,7,0,4,0,18,7,0,0,3,0,14,23,0,0,0,0,29,146,32,16,278,6,481,79,19,10,60,3,175,8,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,11,44,8,5,0,0,56,50,8,9,6,4,73,20,3,0,11,0,37,12,0,0,0,0,8,4,0,0,0,0,4,141,29,34,255,0,463,0,0,0,0,0,5,34,3,9,0,0,52,25,0,0,0,0,32,9,0,0,0,0,9,14,0,0,0,0,14,17,0,5,7,0,31,314,29,24,68,16,450,19,6,0,32,3432,3489,1481,314,268,2478,3512,8055
59799,9,8,4,59,3,76,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,49,11,4,50,0,116,16,0,0,0,0,13,4,0,0,0,0,4,8,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,36,7,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,7,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,44,12,0,0,0,218,228,169,17,10,115,221,514
