GCCSA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
5GPER,6919,26069,93222,106110,92377,63500,12859,913,50,402013,19437,20504,20961,15288,13519,15463,11091,2191,154,118616,914,1361,4118,4060,3758,4033,1304,152,17,19718,418,1195,2885,2079,1499,968,308,103,26,9492,27689,49129,121186,127540,111151,83965,25561,3363,252,549839,1416,2815,4460,3466,3446,2988,540,30,3,19177,4701,2063,1498,728,735,1025,601,65,7,11420,6123,4876,5961,4192,4187,4018,1141,91,8,30595,33808,54012,127142,131739,115342,87984,26698,3455,256,580432,27049,9590,12059,10754,12535,22977,60027,41670,13646,210306,2279,3685,10065,9361,7943,6076,3929,2980,1888,48205,63138,67284,149264,151848,135822,117039,90651,48100,15791,838947,2920,18972,61142,53512,55732,34902,5436,218,8,232837,25432,27134,43050,54594,45469,35998,11858,1194,62,244784,976,1761,8084,5484,3287,3835,1071,113,5,24617,476,953,1898,1274,1107,738,239,87,37,6812,29803,48815,114173,114862,105593,75468,18605,1617,109,509051,904,1521,2578,2292,2245,1466,138,13,0,11160,4735,1992,2875,3076,2243,1834,387,27,3,17164,5632,3511,5458,5371,4487,3303,524,37,7,28323
5RWAU,2879,6822,19731,22038,22255,18136,4748,582,54,97240,3829,1770,3077,2934,3208,4409,3070,716,80,23093,314,360,1179,1342,1552,1752,643,101,19,7261,200,288,678,586,503,405,165,92,31,2951,7221,9239,24666,26904,27516,24699,8622,1490,180,130548,384,601,871,715,720,672,111,4,0,4081,540,199,252,192,200,266,141,18,3,1820,932,799,1123,901,924,942,257,23,3,5900,8149,10042,25791,27806,28442,25643,8877,1514,183,136444,5861,1803,3318,3352,3863,7232,17750,10942,3140,57261,1409,1674,4678,4623,4684,3978,2536,1406,516,25497,15418,13513,33781,35786,36989,36850,29161,13867,3843,219201,1488,4391,10942,11243,13491,9520,1816,188,7,53094,5126,2906,8440,12094,10847,9690,3412,455,19,52988,299,403,1850,1209,1124,1451,426,59,0,6817,195,222,407,373,360,270,126,67,13,2034,7110,7921,21644,24916,25825,20933,5778,759,37,114926,269,273,425,379,424,324,42,0,4,2130,582,231,441,490,407,416,75,5,3,2653,853,506,866,869,832,739,117,5,8,4790
59499,8,49,188,129,116,67,14,0,0,572,9,40,50,47,19,32,11,0,0,210,0,6,27,36,18,8,3,0,0,95,0,7,3,7,3,0,0,0,0,18,19,101,268,211,156,115,28,0,0,899,5,18,41,47,35,23,5,0,0,179,3,6,7,10,11,3,3,0,0,45,9,28,51,54,45,27,7,0,0,227,28,123,316,268,206,141,39,3,0,1125,42,50,115,135,122,198,258,68,9,990,41,130,392,525,511,326,148,47,7,2132,118,295,822,926,842,667,444,118,14,4247,7,39,138,59,47,48,4,0,0,341,19,37,75,58,38,42,10,0,0,274,0,7,17,26,9,17,3,0,0,80,0,0,3,0,6,0,0,0,0,12,33,84,234,138,91,102,18,0,0,715,8,12,23,22,20,9,0,0,0,94,6,8,18,14,8,8,0,0,0,66,15,22,46,34,33,16,0,0,0,160
59799,5,12,51,82,53,23,3,0,0,221,0,0,0,5,5,0,0,0,0,14,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3,12,60,92,55,30,5,0,0,246,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,12,60,91,55,34,5,0,0,252,0,0,0,0,4,0,4,0,0,12,7,13,44,70,43,20,4,0,0,195,7,25,99,157,103,55,14,0,0,455,0,4,10,5,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,8,9,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
