GCCSA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
5GPER,704,1277,5848,11396,2400,19300,2626,13079,865,57492,3814,13346,15783,20393,10001,15121,6097,11741,1651,97947,21113,66461,40312,28543,26510,13956,15901,18291,4264,235359,34809,69492,36739,24590,29847,11095,16124,15712,3997,242406,34746,53153,30190,22452,30437,11506,15513,15328,3422,216750,23153,35108,21445,16033,25179,9608,13566,13075,2269,159436,6258,10751,5074,3601,7012,3087,3585,4035,759,44167,896,1318,387,232,691,366,267,548,275,4982,60,69,13,8,50,23,9,37,88,360,125556,250973,155805,127252,132123,84068,73685,91834,17595,1058890
5RWAU,205,187,2319,2416,570,4139,598,3580,324,14326,780,1520,4138,2448,1475,1712,1647,3130,320,17168,4350,7993,10401,5106,4436,2581,4601,6074,778,46308,7561,9059,9906,5493,5650,2558,5323,5341,934,51823,8946,8318,8540,5718,6118,2944,6343,5479,942,53341,8041,6531,6305,4580,5396,2675,6134,5207,762,45633,3919,1959,1506,1024,1531,816,1691,1636,318,14400,1083,169,110,77,165,102,120,278,151,2246,135,8,0,3,5,10,4,22,42,219,35016,35748,43221,26859,25334,17528,26465,30737,4566,245471
59499,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
59799,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
