GCCSA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
5GPER,205,60,653,373,1013,125,2426,4829,1052,11196,4725,20134,1016,42955,1718,399,5191,3750,15965,769,27786,728,186,1702,829,2634,133,6217,1826,457,7266,6476,36682,1552,54266,911,184,2745,1650,5872,319,11683,1565,308,5629,3122,8638,733,19999,857,150,3810,3552,6391,619,15380,1815,437,5156,4630,8895,936,21866,436,117,1553,814,1199,108,4216,1373,587,4459,2098,1168,231,9911,419,136,1840,1200,1862,177,5627,8185,1776,21015,5382,4951,942,42258,791,213,2508,1626,4145,379,9662,3053,1466,7643,5335,8142,718,26362,5243,2391,8302,1797,2726,375,20830,5235,1374,11392,3277,4523,732,26523,485,152,1868,977,1904,190,5582,778,221,2072,1695,10162,390,15316,1809,317,4602,2514,8600,2235,20079,42273,11964,110587,55833,155617,12676,388951,128,58,516,281,452,102,1535,1723,615,4771,1660,2820,286,11869,763,294,2877,1807,2793,392,8925,378,141,972,404,602,61,2558,653,319,3087,2156,3367,396,9968,395,174,1670,982,1620,218,5067,1644,483,7230,4834,10272,1163,25620,940,255,4969,3551
5RWAU,145,54,1248,972,3880,454,6746,449,160,1540,1490,11483,436,15569,151,66,825,608,4130,234,6019,42,18,136,217,1434,62,1904,85,46,556,1014,9650,374,11728,28,18,218,235,1597,52,2142,81,22,444,397,2262,166,3373,102,31,494,535,1801,164,3131,95,53,431,637,2888,183,4287,19,9,103,65,188,13,402,45,24,167,169,127,17,558,22,9,119,182,472,33,837,277,103,1092,509,847,83,2909,29,16,210,216,1163,77,1711,276,185,976,1127,2290,166,5020,418,499,1537,376,816,67,3712,565,165,1427,512,1103,134,3916,20,9,126,88,298,34,576,96,37,218,210,3000,86,3641,87,17,308,292,2070,538,3315,3018,1552,12175,9852,51509,3377,81492,105,138,1195,732,1254,263,3693,172,76,714,561,1532,137,3197,64,60,527,372,901,110,2036,19,9,93,81,208,18,422,43,27,304,429,977,83,1869,6,20,172,139,481,32,852,140,78,908,928,3094,346,5490,126,64,1065,871
59499,0,0,7,7,15,0,35,3,0,13,9,68,8,104,0,0,3,6,17,0,27,0,0,0,0,3,0,3,0,0,8,3,70,0,80,0,0,0,0,0,0,6,4,0,6,4,11,0,23,4,0,15,15,26,0,62,0,0,3,8,20,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,3,25,5,8,0,40,0,0,5,0,14,0,23,5,0,7,5,9,0,25,5,0,3,5,4,0,18,0,4,7,4,6,0,32,0,0,9,0,3,0,7,0,0,5,0,21,0,27,4,0,0,0,14,8,32,34,12,123,81,324,19,595,5,0,16,7,5,0,32,0,0,3,6,9,0,29,0,0,8,5,6,0,14,0,0,3,0,0,0,5,0,0,0,0,5,0,13,0,0,0,0,0,0,7,4,0,9,7,11,0,32,10,0,24,16
59799,0,0,5,0,12,5,23,4,0,8,9,30,3,54,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,15,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,22,5,3,33,18,106,13,179,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
