GCCSA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
5GPER,213976,33794,9082,2119,419,127,1202,260717
5RWAU,40956,7987,2603,632,168,62,547,52952
59499,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0
