GCCSA_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
5GPER,27786,5644,4606,3260,3600,5776,6323,2590,727,60297,12128,2728,1016,702,830,1648,2552,1049,330,22973,6887,5742,3259,2259,2501,3482,5077,2893,831,32929,2804,5079,4582,3301,3641,5168,12490,10411,3208,50680,2571,4467,3864,2668,3119,4425,10458,7699,2938,42210,2987,6085,5434,3431,3506,4434,9052,5787,1607,42320,1997,6846,6944,4480,3675,4571,6755,4115,1176,40558,1416,7826,12877,8305,7031,7059,6397,2792,753,54447,774,7211,19272,14236,11495,11001,6810,2296,512,73609,306,4314,16778,13832,10928,9484,4647,1288,251,61822,164,2630,15328,14758,11989,9995,3740,971,267,59846,89,1413,11502,13302,11220,8218,2559,514,127,48953,85,1851,21279,30982,26622,18223,4488,825,189,104535,18,283,4994,9451,8478,5250,1326,256,62,30111,42,219,4733,15206,17400,10903,3006,767,172,52446,3094,4955,12797,11675,9787,7411,4973,3854,2646,61197,63138,67284,149264,151848,135822,117039,90651,48100,15791,838947,23196,4869,13591,15372,11567,15535,10208,3193,1277,98806,14400,3054,3282,4094,3111,4180,3952,1434,493,37989,8592,6627,5855,6075,4960,6415,7282,3629,1196,50629
5RWAU,5317,671,707,635,842,1467,1541,533,147,11863,2607,193,154,192,251,485,710,302,79,4965,1421,806,1037,960,927,1276,1687,756,240,9108,547,617,989,908,1183,1898,4544,3207,828,14717,683,519,727,734,1019,1683,3725,2426,714,12227,1008,828,918,841,1054,1584,2794,1525,382,10930,724,1274,1308,932,1100,1631,2115,1087,281,10455,553,1695,2369,1734,1857,2271,1870,703,173,13222,347,1555,3449,2896,2866,3338,2099,579,103,17227,160,995,2847,2699,2773,2662,1230,301,49,13717,103,758,2925,3017,3069,2847,1005,247,73,14046,46,546,2524,2872,2980,2557,745,143,25,12450,49,796,5267,6985,6926,5238,1185,177,36,26663,8,138,1519,2164,2117,1524,341,43,15,7877,21,97,1303,2663,2670,1836,602,157,38,9395,1823,2020,5741,5550,5350,4551,2956,1671,661,30330,15418,13513,33781,35786,36989,36850,29161,13867,3843,219201,4495,697,2703,2286,2087,3741,2253,614,234,19116,3242,315,841,892,656,1037,905,291,132,8301,1609,831,1665,1732,1512,2065,1911,887,276,12499
59499,35,18,36,36,41,29,22,3,3,233,13,10,10,22,13,25,8,0,0,98,20,61,106,143,136,77,27,7,0,574,3,21,71,116,110,100,80,28,0,534,4,18,27,45,31,36,74,19,0,257,5,21,33,25,28,30,39,17,0,191,0,19,30,16,15,18,16,4,0,124,4,19,41,23,23,25,16,11,5,158,0,12,64,35,29,29,14,0,0,192,0,10,33,28,20,18,14,0,0,125,0,3,34,36,25,20,5,0,0,126,0,0,26,20,18,17,5,0,0,82,0,3,47,51,45,20,8,0,0,174,0,0,16,13,7,11,0,0,0,48,0,6,12,21,18,7,4,0,0,71,27,74,233,287,287,198,120,30,11,1261,118,295,822,926,842,667,444,118,14,4247,33,13,41,36,37,53,23,0,0,238,13,9,14,20,10,22,8,0,0,93,46,31,62,102,72,41,22,3,4,382
59799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,3,0,3,0,0,0,17,0,3,3,4,0,0,0,0,0,14,0,0,8,5,7,0,0,0,0,24,0,3,3,5,9,3,0,0,0,21,0,0,17,31,12,14,0,0,0,77,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,50,3,13,44,71,42,20,7,0,0,197,7,25,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
