GCCSA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
5GPER,174209,100792,110683,110186,90709,66313,38163,14321,3393,708766,16852,16986,20599,22853,24964,28516,27978,15218,4753,178718,933,1779,2801,3801,5640,8654,11968,8709,3074,47369,42,134,322,739,1725,3907,6714,6486,2786,22858,17827,18901,23721,27401,32334,41076,46663,30415,10610,248939,14193,10732,14851,14267,12781,9651,5832,3368,1782,87459,206228,130425,149264,151848,135822,117039,90651,48100,15791,1045169,168472,89446,109050,109617,89524,67901,42413,15669,4721,696815,12346,22862,28011,27630,28819,31063,30104,18396,7873,207093,795,3711,5831,6379,8170,11043,13235,9857,5104,64130,46,301,711,1445,2953,5370,7554,6903,4441,29724,13187,26875,34557,35453,39941,47475,50890,35155,17421,300944,13356,9197,11032,9996,9285,7768,5997,4176,2906,73717,195010,125522,154640,155066,138742,123146,99302,55001,25048,1071480,342684,190238,219740,219808,180237,134216,80571,29987,8111,1405587,29199,39846,48611,50481,53782,59573,58078,33611,12630,385813,1723,5494,8633,10181,13815,19696,25206,18566,8178,111496,87,438,1040,2186,4675,9281,14266,13393,7226,52577,31010,45771,58282,62854,72271,88550,97551,65569,28032,549887,27547,19933,25888,24260,22058,17420,11828,7550,4694,161177
5RWAU,41813,20601,22635,23376,22345,18894,11620,4006,879,166171,4613,3592,4230,5226,6405,8592,8444,4178,1149,46417,236,399,625,842,1638,2818,3720,2396,727,13399,11,37,101,192,530,1397,2223,1756,628,6876,4851,4032,4960,6260,8577,12810,14384,8325,2503,66695,6712,4306,6195,6145,6068,5146,3157,1529,461,39720,53385,28933,33781,35786,36989,36850,29161,13867,3843,272586,40600,17575,21434,22425,20409,17651,10723,3955,994,155766,3208,4482,6012,6440,7420,8629,8086,4476,1638,50392,217,796,1226,1654,2421,3340,3726,2381,1098,16861,12,69,173,439,1002,1868,2254,1673,982,8482,3436,5348,7417,8533,10848,13836,14067,8526,3718,75734,6355,3414,4183,4124,4023,3718,2701,1522,685,30719,50387,26337,33035,35076,35283,35206,27493,14003,5399,262218,82412,38178,44072,45799,42754,36543,22344,7967,1875,321942,7821,8074,10245,11659,13826,17215,16529,8649,2790,96813,451,1198,1854,2494,4061,6157,7440,4771,1824,30262,19,106,280,631,1538,3264,4483,3430,1605,15361,8293,9374,12377,14795,19426,26643,28452,16853,6217,142428,13067,7713,10375,10275,10088,8866,5858,3053,1148,70437
59499,265,174,316,288,197,188,143,14,4,1594,28,59,92,78,84,89,86,27,0,534,0,10,17,22,23,30,39,12,4,152,0,3,0,8,15,22,26,11,0,79,27,64,105,107,126,139,148,44,4,768,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,267,153,322,211,144,182,97,11,0,1386,15,68,82,84,61,80,74,7,5,488,0,11,17,26,23,35,37,4,5,163,0,0,0,9,15,16,20,0,0,67,15,81,108,118,102,133,130,12,5,713,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,538,328,636,499,341,374,233,27,4,2976,45,125,176,162,148,166,159,30,4,1018,0,19,36,45,48,66,72,18,6,318,0,3,4,17,32,39,41,10,0,147,44,145,211,229,224,271,282,63,13,1482,190,352,661,811,748,503,245,69,15,3591
59799,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
