GCCSA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
5GPER,19718,53388,38520,26705,99330,136587,47154,118950,9492,549839,100,637,461,374,481,504,116,251,46,2977,1296,699,1108,783,1925,3622,1462,4566,161,15623,520,2506,2229,1292,3598,3083,786,1088,91,15189,187,219,348,301,1168,813,211,228,16,3488,491,2410,2263,1264,2586,3771,741,1429,139,15093,281,1071,1178,760,2173,1931,433,561,37,8432,2301,18218,11818,5238,8778,4796,1347,1670,463,54633,1248,14960,7628,3265,4020,2906,878,2103,421,37430,666,1591,1730,946,2226,2431,552,798,107,11052,170,657,519,283,728,628,153,237,31,3410,848,1241,1944,1310,3721,3261,707,1038,69,14147,284,1171,1117,688,1962,1759,422,836,59,8304,1561,5068,5164,3368,7257,7799,1926,3179,158,35477,698,4773,3484,1501,3010,2161,527,1084,176,17402,2056,2694,3502,2527,9737,6015,1543,1766,171,30014,3149,13197,11811,7878,12474,9844,3896,6553,390,69198,6921,19670,23723,17004,26117,14731,3312,6057,897,118436,431,3320,1660,902,1364,1064,262,491,64,9553,751,5386,4080,2296,3854,2652,673,1045,219,20964
5RWAU,7261,10273,7259,5561,16199,26036,11819,43193,2951,130548,346,1299,960,553,610,1039,326,1331,135,6592,572,261,277,149,321,762,507,2176,74,5099,185,581,436,302,704,656,291,360,34,3543,40,70,73,49,174,124,52,73,11,670,143,608,445,265,421,615,153,450,36,3138,78,235,217,124,266,386,119,178,14,1610,635,3655,2601,1422,2150,1250,433,689,125,12961,456,3352,1847,996,1236,1001,330,1047,169,10427,171,507,524,244,431,548,158,429,42,3047,23,121,77,40,101,81,23,34,5,500,97,210,263,164,358,316,63,111,8,1579,67,218,211,120,473,315,87,213,15,1716,184,749,593,471,729,563,163,378,28,3857,180,1163,750,378,556,446,124,357,57,4020,524,744,758,545,1874,1426,312,477,37,6699,945,2741,2795,2035,2688,2472,1028,1845,134,16684,1675,3584,4154,3403,4887,3163,687,1467,235,23252,91,453,308,137,198,145,47,102,22,1497,187,1021,717,468,757,509,168,294,43,4170
59499,95,88,71,48,92,146,51,283,18,899,0,5,5,6,10,5,0,5,0,38,3,0,0,3,4,0,3,26,0,38,0,4,6,7,3,3,4,0,0,21,0,0,0,0,0,6,0,0,0,5,10,4,0,0,3,6,3,3,0,25,0,0,0,0,3,0,0,0,0,5,10,4,3,0,10,9,0,6,0,47,4,30,18,14,21,24,10,16,0,142,7,4,4,0,3,5,0,4,0,29,0,3,0,0,0,0,0,0,0,7,3,3,0,4,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,3,9,15,8,7,0,7,0,0,0,44,5,6,0,5,4,3,0,3,0,29,3,0,0,0,9,5,0,5,0,32,10,15,13,3,3,3,6,0,0,50,19,21,21,10,18,14,0,9,0,124,0,6,0,0,0,3,0,5,0,17,3,6,5,6,6,3,0,0,0,24
59799,9,11,5,0,4,4,9,198,5,246,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
