GCCSA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
5GPER,204,2970,26,3192,57051,2896,63138,1420,2102,48,3567,59153,4563,67284,31210,3519,834,35566,101124,12578,149264,75652,2670,2170,80487,59992,11372,151848,45176,3215,1183,49570,77159,9093,135822,8155,9086,217,17455,92848,6738,117039,1418,14050,61,15527,70881,4245,90651,256,3598,22,3877,41044,3184,48100,35,186,0,219,13627,1937,15791,163516,41391,4559,209470,572875,56599,838947,313,4830,48,5196,52228,2757,60176,3496,4086,203,7780,54124,3437,65344,52784,6613,2632,62028,84088,8525,154640,92644,4776,5295,102719,45477,6872,155066,42735,8594,1939,53263,79959,5519,138742,3597,25322,295,29217,89314,4617,123146,982,24233,144,25352,69716,4230,99302,232,4356,29,4619,46292,4088,55001,35,249,0,282,21285,3477,25048,196820,83056,10589,290463,542491,43517,876467,515,7803,72,8390,109280,5648,123315,4919,6180,250,11351,113275,8001,132631,83996,10126,3468,97589,185212,21103,303907,168297,7446,7465,183212,105467,18241,306917,87906,11811,3121,102836,157119,14616,274565,11750,34404,514,46668,182165,11350,240188,2403,38280,203,40879,140601,8470,189951,484,7955,57,8500,87332,7273,103099,65,434,0,503
5RWAU,89,816,8,916,12738,1759,15418,692,520,46,1262,10328,1928,13513,8805,912,367,10085,18094,5602,33781,16264,798,704,17767,12599,5422,35786,9207,1090,330,10626,21239,5120,36989,1703,2489,63,4250,28366,4236,36850,275,2465,18,2757,23685,2721,29161,60,451,4,514,11913,1441,13867,7,27,0,36,3242,560,3843,37104,9563,1537,48206,142204,28796,219201,148,1399,36,1580,11129,1549,14251,1487,902,130,2515,8173,1385,12084,13198,1443,1126,15767,13685,3591,33035,19414,1331,1643,22392,9291,3398,35076,8173,2741,505,11418,20683,3173,35283,697,6133,75,6908,25417,2878,35206,150,4026,33,4209,21068,2218,27493,59,609,6,666,11849,1488,14003,8,42,4,57,4507,832,5399,43325,18631,3556,65514,125807,20508,211827,232,2214,47,2495,23869,3309,29670,2181,1429,177,3783,18497,3316,25595,22003,2354,1493,25848,31782,9194,66822,35679,2128,2346,40158,21888,8816,70860,17380,3828,833,22041,41926,8296,72266,2397,8622,141,11156,53782,7112,72050,425,6495,50,6966,44756,4932,56655,115,1060,9,1176,23762,2928,27867,16,71,5,88
59499,6,11,0,6,67,40,118,10,6,0,16,151,133,295,83,16,4,105,326,390,822,144,11,5,164,232,531,926,52,6,0,61,267,512,842,9,15,0,23,306,336,667,5,10,0,15,283,146,444,0,0,0,3,69,46,118,0,0,0,0,7,9,14,311,72,13,393,1708,2148,4247,4,14,0,18,66,59,147,17,8,0,27,123,105,256,101,24,6,130,299,265,692,163,11,17,189,141,281,613,29,19,8,49,199,227,468,0,33,3,38,279,161,477,0,15,0,15,210,90,316,0,0,0,0,27,14,38,0,0,0,0,5,12,16,310,126,30,469,1353,1213,3030,7,23,0,30,133,105,261,27,17,4,46,278,238,562,179,40,9,231,627,661,1512,308,23,23,352,379,805,1543,76,26,7,114,466,740,1313,9,51,3,64,586,495,1144,5,27,0,29,489,242,758,0,0,0,3,92,65,155,0,0,0,0
59799,0,0,0,0,3,7,7,0,0,0,0,9,13,25,10,0,0,13,48,44,99,18,0,0,22,67,68,157,4,0,0,4,50,45,103,0,3,0,4,27,20,55,0,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,3,45,211,197,455,0,0,0,0,0,0,3,0,0,0,0,5,5,11,0,0,0,0,10,3,14,0,0,0,0,9,3,11,0,0,0,0,5,8,9,0,0,0,0,5,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,19,61,0,0,0,0,5,3,6,0,0,0,0,15,15,31,11,0,0,14,56,46,116,18,0,0,22,75,76,170,9,0,0,9,56,47,109,0,3,0,4,35,21,62,0,0,0,0,12,3,18,0,0,0,0,0,0,0,0,0,0,0
