GCCSA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
5GPER,37,1907,859,350,2259,0.8,1865,2.6
5RWAU,40,1560,810,265,2013,0.8,1597,2.5
59499,0,0,0,0,0,0,0,0
59799,40,1733,2123,0,1375,0.7,2250,1.7
