GCCSA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
5GPER,190,343,796,797,864,858,504,184,23,4547,358,2533,13136,15837,13274,7849,1426,83,4,54507,1357,2999,7760,9444,9608,7526,1802,211,12,40715,120,362,1634,2165,2052,1601,308,17,0,8258,3044,7051,19272,19355,15725,11451,2711,213,17,78833,521,1272,3756,4481,4302,3211,856,110,7,18520,5990,7592,8618,6455,5203,3961,1547,220,13,39600,8839,5732,6539,4377,2666,2054,612,80,3,30902,701,2279,7483,8415,7921,7400,2335,207,4,36746,210,528,1293,1458,1140,722,215,38,0,5606,53,589,2453,3243,2893,1801,609,120,8,11772,119,434,1311,1594,1638,1324,751,192,21,7384,378,3002,10580,13289,10368,6601,2549,395,25,47185,568,1556,3524,3337,3007,2630,945,127,10,15705,317,1965,6891,7849,7988,6537,1660,162,8,33377,889,1843,4788,4993,4900,4706,1790,189,13,24113,392,2351,7171,7350,6297,5118,1928,259,9,30880,1204,1415,2066,1634,1259,990,428,87,6,9092,1051,2189,4692,4183,3783,3181,1159,160,11,20414,1380,3100,7412,7291,6265,4445,1434,285,57,31678
5RWAU,516,944,2439,2580,2958,3119,2020,707,107,15391,289,1237,5083,6216,5414,3692,584,32,0,22538,466,767,1887,2110,1999,1567,417,43,3,9267,56,134,410,633,681,640,131,4,0,2697,941,1600,3762,3779,3520,3253,895,66,4,17821,158,282,694,778,825,692,188,23,0,3644,1446,892,1318,1050,1111,1042,401,57,0,7335,1737,647,1175,913,689,693,332,47,3,6246,145,363,1181,1446,1958,2124,837,78,4,8138,37,42,118,129,93,86,40,6,0,556,12,34,90,156,222,149,63,11,0,736,23,58,211,201,281,272,137,36,0,1207,75,160,627,741,790,711,336,51,9,3499,118,220,576,586,693,641,219,31,0,3088,116,274,1115,1461,1893,1877,489,39,0,7258,61,190,718,886,1041,1046,368,31,0,4351,96,207,911,990,1086,1116,391,43,3,4845,111,76,165,164,177,178,81,19,0,976,398,591,1015,965,905,762,278,30,3,4944,409,515,1169,1128,1160,1044,416,129,38,6006
59499,0,3,25,11,8,14,0,0,0,62,0,5,47,36,35,25,0,0,0,155,0,0,9,15,7,0,0,0,0,40,0,0,5,0,3,0,0,0,0,12,3,7,44,40,34,14,0,0,0,139,0,0,8,0,3,0,0,0,0,15,3,16,13,5,5,5,0,0,0,45,3,17,32,11,14,7,0,0,0,90,6,13,8,10,8,11,0,0,0,56,0,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,16,23,8,3,0,0,0,49,0,4,13,10,0,3,0,0,0,34,0,3,5,14,3,6,0,0,0,35,0,0,6,5,0,3,0,0,0,18,0,0,6,13,6,8,0,0,0,37,0,0,5,3,0,0,0,0,0,8,3,4,8,4,5,6,0,0,0,36,0,3,7,14,5,6,4,0,0,50
59799,3,0,15,9,4,0,0,0,0,32,0,5,9,34,20,12,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,9,0,0,13,16,5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,8,10,13,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,11,5,4,3,0,0,36
