GCCSA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
5GPER,921,1768,4355,4312,3588,2341,730,189,39,18233,29803,48815,114173,114862,105593,75468,18605,1617,109,509051,284,529,1367,1396,1539,1374,751,245,31,7522,467,3627,17795,20569,16535,9397,1633,103,7,70130,2184,4060,10795,13045,13191,9968,2380,278,13,55904,159,525,2465,3254,2888,2040,389,23,0,11744,3256,8037,23161,23315,18946,13704,3238,255,13,93927,736,1888,5511,6541,6332,4610,1177,149,15,26954,14778,16973,19037,14933,13887,11017,3238,343,23,94230,20314,13129,13804,9128,6285,4380,1171,118,9,68330,898,3098,9885,10984,10572,9310,2801,248,9,47803,430,917,2192,2199,1742,1145,321,55,0,9013,174,1311,5873,7389,6250,3729,1015,161,12,25917,237,1011,3141,3514,3477,2731,1267,281,27,15691,684,5816,20319,23378,17438,10659,3813,530,31,82670,938,3110,7804,7503,6669,5282,1618,183,10,33115,590,3594,13081,15553,15490,12085,2748,231,10,63394,2362,5846,17267,21115,23319,18032,4945,399,13,93309,2183,12197,35606,34568,31888,25449,6886,525,15,149312,2368,2898,4309,3506,2704,1958,755,134,8,18637
5RWAU,274,323,671,797,784,632,267,100,10,3865,7110,7921,21644,24916,25825,20933,5778,759,37,114926,717,1278,3385,3704,4265,4535,2986,981,129,21982,387,1730,6574,7566,6477,4225,637,35,0,27636,721,1053,2652,2956,2733,2081,549,67,3,12815,69,183,557,809,832,761,150,8,0,3371,1010,1777,4424,4561,4233,3855,1030,69,4,20959,234,424,1042,1101,1207,953,258,40,0,5252,3475,2022,3330,3395,3730,3296,940,115,0,20299,4126,1694,3089,2628,2315,2012,708,93,7,16673,223,539,1674,2037,2705,2828,1073,114,4,11189,95,94,234,223,179,161,70,6,0,1058,27,142,453,551,589,414,109,23,0,2313,78,213,570,551,670,555,244,46,5,2929,160,401,1425,1757,1630,1342,562,66,9,7354,234,474,1342,1526,1669,1397,407,53,0,7110,223,589,2369,3100,3700,3152,754,61,0,13956,312,881,3527,4987,5658,4488,1097,77,0,21036,620,1698,5374,6105,6519,6106,1567,109,3,28100,275,191,469,475,481,412,140,23,0,2475
59499,0,0,14,6,4,7,0,0,0,30,33,84,234,138,91,102,18,0,0,715,0,16,43,9,8,14,0,0,0,101,0,14,56,41,48,30,0,0,0,188,3,0,27,18,7,7,0,0,0,67,0,0,6,0,5,0,0,0,0,12,4,7,47,43,39,16,3,0,0,168,0,5,6,3,7,0,0,0,0,22,3,17,28,10,9,10,6,0,0,88,22,42,91,23,27,25,0,0,0,231,6,13,21,15,14,15,0,0,0,88,0,6,8,0,0,0,0,0,0,17,0,0,6,7,5,0,0,0,0,16,0,0,0,0,3,5,0,0,0,9,0,9,28,38,9,7,0,0,0,92,0,14,26,19,3,7,3,0,0,62,5,3,17,23,14,14,5,0,0,66,0,7,15,13,11,10,3,0,0,69,4,16,38,38,25,31,3,0,0,157,3,3,9,3,0,3,0,0,0,25
59799,0,0,0,0,0,0,0,0,0,5,0,5,8,9,5,0,0,0,0,29,3,4,12,9,3,0,0,0,0,41,0,0,9,34,19,12,0,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,0,13,16,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,5,10,12,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
