GCCSA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
5GPER,125556,250973,155805,127252,132123,84068,73685,91834,17595,1058890
5RWAU,35016,35748,43221,26859,25334,17528,26465,30737,4566,245471
59499,107,257,272,223,150,77,213,292,33,1614
59799,9,33,83,9,10,0,31,98,6,277
