GCCSA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
5GPER,19234,5582,40831,366499,470610,193669,144778,436947,102913,1715415
5RWAU,3987,1426,9237,79950,111931,51361,42342,95397,50047,431032
59499,10,23,30,870,963,339,278,1476,3362,7285
59799,0,0,0,33,21,10,15,214,222,516
