DATE,NSW_POPULATION,VIC_POPULATION,QLD_POPULATION,WA_POPULATION,SA_POPULATION,TAS_POPULATION,ACT_POPULATION,NT_POPULATION,NATIONAL_POPULATION
31/03/2011,7204737,5520378,4457971,2337611,1636759,511248,366737,230224,22268758
30/04/2011,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/05/2011,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/06/2011,7218529,5537817,4476778,2353409,1639614,511483,367985,231292,22340024
31/07/2011,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/08/2011,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/09/2011,7239528,5564662,4498104,2369612,1643402,511880,369888,232581,22432771
31/10/2011,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/11/2011,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/12/2011,7258722,5591818,4518649,2385947,1647183,511739,372070,232952,22522197
31/01/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
29/02/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/03/2012,7284982,5625354,4545613,2408108,1652716,511993,374853,234275,22640943
30/04/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/05/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/06/2012,7304244,5651091,4568687,2425507,1656725,511724,376539,235915,22733465
31/07/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/08/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/09/2012,7327614,5680420,4592100,2442876,1660198,511582,378586,237517,22833922
31/10/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/11/2012,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/12/2012,7353189,5709586,4611304,2457489,1663082,511813,379812,238728,22928023
31/01/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
28/02/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/03/2013,7382957,5744915,4634430,2475242,1668056,512240,382082,240107,23043004
30/04/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/05/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/06/2013,7404032,5772669,4652824,2486944,1671488,512231,383257,241722,23128129
31/07/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/08/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/09/2013,7430904,5804499,4670784,2496285,1675313,512510,384690,242301,23220231
31/10/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/11/2013,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/12/2013,7454938,5832585,4685439,2502188,1678052,513015,386318,242304,23297777
31/01/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
28/02/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/03/2014,7487834,5869511,4705187,2512556,1683544,513681,388190,242790,23406193
30/04/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/05/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/06/2014,7508353,5894917,4719653,2517608,1686945,513621,388799,242894,23475686
31/07/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/08/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/09/2014,7536277,5927199,4734613,2524042,1690133,513898,390654,243201,23562901
31/10/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/11/2014,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/12/2014,7562171,5957512,4747263,2528619,1693107,514040,391981,242753,23640331
31/01/2015,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
28/02/2015,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/03/2015,7595731,5995205,4764439,2536604,1698433,514812,394491,243059,23745629
30/04/2015,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
31/05/2015,8339347,6812477,5459413,2878563,1851704,572780,466813,252473,26638544
30/06/2015,7616168,6022322,4777692,2540672,1700668,515117,395813,244692,23815995
