Date,total_applications,total_individuals,priority_applications,priority_individuals
2019-12-31,13877,,1748,
2020-08-31,14890,,2097,
2021-03-31,16386,,2946,
2021-04-30,16660,,3062,
2021-05-31,16949,,3220,
2021-06-30,17194,,3293,
2021-07-31,17320,,3478,
2021-08-31,17480,30394,3548,7065
2021-09-30,17689,30774,3646,7438
2021-10-31,17824,31114,3683,7438
2021-11-30,18091,31547,3716,7518
2021-12-31,18229,31768,3759,7616
2022-01-31,18388,32067,3762,7603
2022-02-28,18630,32609,3851,7786
2022-03-31,18738,32873,3952,8006
2022-04-30,18837,33084,4005,8105
2022-05-31,18936,33354,4064,8219
2022-06-30,19070,33563,4141,8374
2022-07-31,19103,33644,4212,8519
2022-08-31,18993,33495,4235,8597
2022-09-30,18975,33535,4257,8685
2022-10-31,19020,33759,4377,8884
2022-11-30,19036,33890,4484,9061
2022-12-31,18986,33778,4451,8969
2023-01-31,18986,33806,4486,9016
2023-02-28,18963,33884,4541,9120
2023-04-30,19195,34201,4671,9261
2023-06-30,19062,33986,4770,9423
2023-07-31,18984,33943,4768,9447
