Date,Category,Group,Count,Estimate flag - Waitlist figure,Estimate flag - prior month,Estimate flag - prior year,Metric,Value type,Value
2019-12-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,1748.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,1792.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,1792.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,1792.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,1792.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,1792.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,1792.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,1792.0
2020-08-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,2097.0
2020-09-30,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,2218.0
2020-09-30,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,2218.0
2020-09-30,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,2218.0
2020-09-30,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,2218.0
2020-09-30,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,2218.0
2020-09-30,Priority Applications,Priority,Applications,^,*,#,Waitlist figure,Value,2218.0
2021-03-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,2946.0
2021-04-30,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3062.0
2021-05-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3220.0
2021-06-30,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3354.0
2021-07-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3478.0
2021-08-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,3548.0
2021-09-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,3646.0
2021-10-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3683.0
2021-11-30,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3716.0
2021-12-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3759.0
2022-01-31,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3762.0
2022-02-28,Priority Applications,Priority,Applications,,*,#,Waitlist figure,Value,3851.0
2022-03-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,3952.0
2022-04-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4005.0
2022-05-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4064.0
2022-06-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4141.0
2022-07-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4212.0
2022-08-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4235.0
2022-09-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4257.0
2022-10-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4377.0
2022-11-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4484.0
2022-12-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4451.0
2023-01-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4486.0
2023-02-28,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4541.0
2023-03-31,Priority Applications,Priority,Applications,^,*,,Waitlist figure,Value,4606.0
2023-04-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4671.0
2023-05-31,Priority Applications,Priority,Applications,^,*,,Waitlist figure,Value,4720.0
2023-06-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4770.0
2023-07-31,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4768.0
2023-08-31,Priority Applications,Priority,Applications,^,*,,Waitlist figure,Value,4822.0
2023-09-30,Priority Applications,Priority,Applications,,*,,Waitlist figure,Value,4875.0
2019-12-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,13877.0
2020-01-31,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,14004.0
2020-01-31,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,14004.0
2020-01-31,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,14004.0
2020-01-31,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,14004.0
2020-01-31,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,14004.0
2020-01-31,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,14004.0
2020-01-31,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,14004.0
2020-08-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,14890.0
2020-09-30,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,15104.0
2020-09-30,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,15104.0
2020-09-30,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,15104.0
2020-09-30,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,15104.0
2020-09-30,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,15104.0
2020-09-30,Total Applications,Total,Applications,^,*,#,Waitlist figure,Value,15104.0
2021-03-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,16386.0
2021-04-30,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,16660.0
2021-05-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,16949.0
2021-06-30,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,17194.0
2021-07-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,17320.0
2021-08-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,17480.0
2021-09-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,17689.0
2021-10-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,17824.0
2021-11-30,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,18091.0
2021-12-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,18229.0
2022-01-31,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,18388.0
2022-02-28,Total Applications,Total,Applications,,*,#,Waitlist figure,Value,18630.0
2022-03-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18738.0
2022-04-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18837.0
2022-05-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18936.0
2022-06-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,19070.0
2022-07-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,19103.0
2022-08-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18993.0
2022-09-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18975.0
2022-10-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,19020.0
2022-11-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,19036.0
2022-12-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18986.0
2023-01-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18986.0
2023-02-28,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18963.0
2023-03-31,Total Applications,Total,Applications,^,*,,Waitlist figure,Value,19079.0
2023-04-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,19195.0
2023-05-31,Total Applications,Total,Applications,^,*,,Waitlist figure,Value,19128.0
2023-06-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,19062.0
2023-07-31,Total Applications,Total,Applications,,*,,Waitlist figure,Value,18984.0
2023-08-31,Total Applications,Total,Applications,^,*,,Waitlist figure,Value,19049.0
2023-09-30,Total Applications,Total,Applications,,*,,Waitlist figure,Value,19114.0
2021-08-31,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,30394.0
2021-09-30,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,30774.0
2021-10-31,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,31114.0
2021-11-30,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,31547.0
2021-12-31,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,31768.0
2022-01-31,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,32067.0
2022-02-28,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,32609.0
2022-03-31,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,32873.0
2022-04-30,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,33084.0
2022-05-31,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,33354.0
2022-06-30,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,33563.0
2022-07-31,Total Individuals,Total,Individuals,,*,#,Waitlist figure,Value,33644.0
2022-08-31,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33495.0
2022-09-30,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33535.0
2022-10-31,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33759.0
2022-11-30,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33890.0
2022-12-31,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33778.0
2023-01-31,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33806.0
2023-02-28,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33884.0
2023-03-31,Total Individuals,Total,Individuals,^,*,,Waitlist figure,Value,34042.0
2023-04-30,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,34201.0
2023-05-31,Total Individuals,Total,Individuals,^,*,,Waitlist figure,Value,34094.0
2023-06-30,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33986.0
2023-07-31,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,33943.0
2023-08-31,Total Individuals,Total,Individuals,^,*,,Waitlist figure,Value,34030.0
2023-09-30,Total Individuals,Total,Individuals,,*,,Waitlist figure,Value,34117.0
2021-08-31,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,7065.0
2021-09-30,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,7438.0
2021-10-31,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,7438.0
2021-11-30,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,7518.0
2021-12-31,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,7616.0
2022-01-31,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,7603.0
2022-02-28,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,7786.0
2022-03-31,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,8006.0
2022-04-30,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,8105.0
2022-05-31,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,8219.0
2022-06-30,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,8374.0
2022-07-31,Priority Individuals,Priority,Individuals,,*,#,Waitlist figure,Value,8519.0
2022-08-31,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,8597.0
2022-09-30,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,8685.0
2022-10-31,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,8884.0
2022-11-30,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,9061.0
2022-12-31,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,8969.0
2023-01-31,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,9016.0
2023-02-28,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,9120.0
2023-03-31,Priority Individuals,Priority,Individuals,^,*,,Waitlist figure,Value,9190.0
2023-04-30,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,9261.0
2023-05-31,Priority Individuals,Priority,Individuals,^,*,,Waitlist figure,Value,9342.0
2023-06-30,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,9423.0
2023-07-31,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,9447.0
2023-08-31,Priority Individuals,Priority,Individuals,^,*,,Waitlist figure,Value,9508.0
2023-09-30,Priority Individuals,Priority,Individuals,,*,,Waitlist figure,Value,9568.0
2019-12-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,1748.0
2020-01-31,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1786.5
2020-01-31,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1786.5
2020-01-31,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1786.5
2020-01-31,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1786.5
2020-01-31,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1786.5
2020-01-31,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1786.5
2020-01-31,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1786.5
2020-08-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,1821.0
2020-09-30,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1979.8
2020-09-30,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1979.8
2020-09-30,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1979.8
2020-09-30,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1979.8
2020-09-30,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1979.8
2020-09-30,Priority Applications,Priority,Applications,^,*,#,12 month rolling average,Value,1979.8
2021-03-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,2293.875
2021-04-30,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,2379.222222222222
2021-05-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,2463.3
2021-06-30,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,2544.2727272727275
2021-07-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,2622.0833333333335
2021-08-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,2693.3076923076924
2021-09-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,2812.4615384615386
2021-10-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,3367.125
2021-11-30,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,3405.8888888888887
2021-12-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,3441.2
2022-01-31,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,3470.3636363636365
2022-02-28,Priority Applications,Priority,Applications,,*,#,12 month rolling average,Value,3502.0833333333335
2022-03-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,3536.6923076923076
2022-04-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,3618.153846153846
2022-05-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,3695.230769230769
2022-06-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,3766.076923076923
2022-07-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,3832.076923076923
2022-08-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,3890.3076923076924
2022-09-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,3944.846153846154
2022-10-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4001.076923076923
2022-11-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4062.6923076923076
2022-12-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4119.2307692307695
2023-01-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4175.153846153846
2023-02-28,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4235.076923076923
2023-03-31,Priority Applications,Priority,Applications,^,*,,12 month rolling average,Value,4293.153846153846
2023-04-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4348.461538461538
2023-05-31,Priority Applications,Priority,Applications,^,*,,12 month rolling average,Value,4403.461538461538
2023-06-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4457.7692307692305
2023-07-31,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4506.0
2023-08-31,Priority Applications,Priority,Applications,^,*,,12 month rolling average,Value,4552.923076923077
2023-09-30,Priority Applications,Priority,Applications,,*,,12 month rolling average,Value,4602.153846153846
2019-12-31,Total Applications,Total,Applications,,*,#,12 month rolling average,Value,13877.0
2020-01-31,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,13988.125
2020-01-31,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,13988.125
2020-01-31,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,13988.125
2020-01-31,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,13988.125
2020-01-31,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,13988.125
2020-01-31,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,13988.125
2020-01-31,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,13988.125
2020-08-31,Total Applications,Total,Applications,,*,#,12 month rolling average,Value,14088.333333333334
2020-09-30,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,14494.6
2020-09-30,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,14494.6
2020-09-30,Total Applications,Total,Applications,^,*,#,12 month rolling average,Value,14494.6
