SOSR_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SOSR501,9125,187,70,256,9373,1058,33,10471,78509,9642,1659,428,90245,1267,394,1663,91906,4439,144,96492,120059,14969,2774,874,138683,1394,342,1733,140419,3806,225,144442,11476,1522,1694,123,14817,134,31,164,14986,414,41,15437,1081,129,30,1133,2372,48,6,51,2426,109,215,2749,211132,26272,6155,2553,246111,2843,776,3616,249727,8771,622,259121,2153,395,53,49,2650,312,42,352,3002,273,11,3288,5400,763,175,129,6463,324,102,424,6889,339,30,7259,7553,1164,225,177,9117,634,141,777,9896,607,38,10544,218686,27435,6378,2734,255229,3475,922,4393,259624,9384,659,269666,60745,9192,2474,1684,74100,1875,505,2376,76475,9034,259,85770,449,83,7,506,1046,18,0,18,1058,66,920,2042,279873,36707,8862,4926,330370,5358,1428,6784,337158,18483,1841,357478
SOSR511,67,0,0,0,70,9,0,81,2303,264,75,17,2653,27,16,39,2696,125,0,2822,4334,431,181,27,4978,44,10,56,5035,138,3,5177,350,42,66,10,476,7,0,7,485,10,0,491,28,0,0,35,61,0,0,0,61,6,7,81,7013,739,321,95,8166,81,26,101,8275,285,15,8575,36,10,0,0,45,23,0,23,61,5,0,68,153,5,4,0,167,21,0,24,191,5,0,198,192,8,4,0,213,41,0,46,253,11,0,265,7199,751,324,95,8379,121,31,147,8526,299,15,8837,2081,234,111,59,2484,55,10,75,2548,241,0,2796,9,3,0,16,31,0,0,0,31,0,26,58,9292,991,439,169,10887,181,42,218,11109,541,46,11688
SOSR512,52,0,0,0,52,3,0,60,3930,485,106,25,4545,46,17,59,4605,206,7,4816,5911,775,233,51,6973,47,27,68,7042,248,8,7302,495,77,76,17,661,0,0,5,666,33,0,699,45,9,0,52,99,9,0,9,105,12,4,123,10385,1346,417,141,12286,92,41,136,12423,491,18,12936,48,3,3,5,57,9,0,9,71,9,0,81,135,24,11,12,172,8,3,11,186,10,0,198,182,24,14,7,235,17,4,25,252,17,0,273,10564,1374,431,150,12517,109,52,158,12676,510,18,13208,2882,373,127,92,3474,93,25,116,3591,407,21,4017,27,0,0,9,42,0,0,0,43,4,75,127,13466,1746,558,254,16031,199,78,277,16309,922,120,17349
SOSR513,37,0,0,0,37,0,0,36,2966,238,108,43,3360,41,8,49,3405,126,8,3543,3755,362,186,66,4360,28,8,34,4392,91,8,4495,456,38,96,0,587,3,0,3,592,25,0,615,56,10,0,60,123,0,0,0,125,3,14,141,7236,638,385,170,8431,75,11,85,8521,241,35,8795,61,7,3,0,67,13,0,13,81,3,0,88,107,13,16,8,140,11,0,13,162,0,0,160,170,15,22,8,213,23,0,30,246,6,0,250,7405,655,413,176,8650,101,12,117,8762,250,30,9046,1894,211,137,104,2348,64,32,103,2448,287,0,2740,12,0,0,13,26,0,0,0,26,0,49,79,9314,868,547,296,11021,169,52,215,11244,536,87,11870
SOSR514,12,0,0,0,12,0,0,12,676,135,19,10,842,13,0,12,859,39,0,897,1551,225,99,12,1883,18,3,20,1902,64,4,1963,123,18,36,3,186,5,0,5,186,4,0,193,10,4,0,13,27,0,0,0,29,0,6,29,2360,379,154,37,2934,28,10,36,2970,109,5,3084,12,0,3,0,21,4,0,4,26,0,0,26,43,6,0,0,52,0,0,0,55,5,0,55,54,15,8,0,69,5,0,5,82,5,0,83,2418,389,166,37,3006,34,10,42,3045,112,5,3169,583,83,29,24,727,30,0,32,757,142,6,903,7,0,0,9,13,0,0,0,13,0,8,25,3007,476,196,67,3750,60,9,70,3815,261,19,4096
SOSR515,33,0,0,0,33,3,0,35,2825,289,96,48,3262,34,12,48,3310,225,4,3541,4112,534,216,50,4919,63,14,71,4992,169,7,5170,425,58,124,7,613,3,0,3,614,11,0,628,62,5,4,67,136,0,0,0,136,17,3,157,7421,882,448,181,8931,102,28,126,9056,426,8,9489,41,9,0,3,63,6,0,6,71,9,0,76,125,20,8,0,164,18,14,31,193,13,0,207,167,35,8,10,224,28,14,43,267,19,0,288,7594,918,458,189,9155,122,37,164,9322,446,8,9772,2149,291,177,95,2708,95,18,111,2821,472,12,3303,22,10,0,12,49,0,0,0,49,5,57,108,9761,1216,635,293,11910,215,58,273,12183,914,83,13185
SOSR521,12,0,0,0,12,0,0,15,786,98,30,8,917,6,11,20,934,96,5,1043,1230,214,58,29,1523,21,0,21,1548,78,0,1627,138,23,29,5,193,0,0,0,193,7,0,200,5,0,7,33,50,0,0,0,50,6,0,52,2155,335,121,68,2683,23,9,37,2720,191,5,2917,15,0,5,0,20,13,0,13,32,0,0,36,30,5,0,0,37,11,0,11,46,3,9,54,48,5,5,0,52,23,0,24,74,11,9,92,2202,334,128,68,2738,47,13,62,2800,198,12,3007,767,108,61,40,981,65,10,76,1058,425,11,1491,11,0,0,5,16,0,7,7,19,3,35,61,2982,447,187,116,3737,112,24,142,3875,624,54,4558
SOSR522,6,0,0,0,6,0,0,4,366,52,13,5,439,11,0,11,450,45,0,498,687,78,26,7,798,13,0,15,815,64,0,885,84,13,14,0,108,0,0,0,108,7,0,119,10,0,0,15,27,0,0,0,27,13,0,37,1147,148,51,32,1381,22,0,25,1402,135,0,1541,19,6,0,0,27,40,0,40,68,5,0,68,17,3,0,4,23,6,7,13,33,8,0,44,37,6,0,4,49,40,7,56,103,17,0,114,1182,154,51,36,1428,68,9,79,1504,156,0,1660,357,97,29,30,509,54,10,66,572,475,4,1049,6,4,0,0,15,0,0,0,15,9,32,54,1546,254,83,66,1943,125,18,144,2094,634,42,2771
SOSR531,268,3,0,3,271,21,0,293,4985,491,137,28,5645,42,10,46,5692,270,3,5969,8274,1031,270,111,9695,53,15,68,9760,277,13,10046,565,73,159,5,811,10,0,10,814,26,0,846,114,0,10,159,284,7,0,7,286,15,12,306,13942,1604,577,306,16429,105,21,127,16554,584,27,17162,47,19,6,3,72,27,0,27,94,22,0,118,142,24,5,3,169,14,12,24,197,8,0,203,184,41,12,6,246,38,12,47,290,33,0,320,14126,1642,592,315,16668,138,31,177,16844,614,27,17488,3374,444,193,116,4131,119,8,128,4267,730,0,4999,20,6,6,13,43,0,0,0,43,3,75,128,17525,2091,787,443,20849,259,42,304,21155,1353,102,22608
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
