SOSR_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOSR501,27138,4525,360,192,25684,2745,60648,22743,9639,1153,500,26601,4185,64814,41987,37451,6408,2817,44622,11667,144955,37510,47953,11913,5115,34232,10523,147237,34161,43364,10092,4189,29918,8554,130284,27949,35744,8970,3959,28619,6395,111637,16119,25876,10403,5137,25002,4164,86701,7084,11161,5457,3281,16069,3146,46197,1986,2497,1160,839,6953,1950,15377,216669,218206,55918,26017,237693,53339,807849,26916,6397,666,291,21045,2583,57892,22312,14840,2716,1670,18640,3364,63540,28954,45761,17272,19883,30626,8446,150941,16488,46057,29134,30180,22040,6797,150691,15524,47773,26927,18409,19332,5433,133403,13795,39638,23014,15568,21499,4531,118041,7687,23217,20087,16747,23626,4247,95610,4629,10149,8682,8140,17612,4134,53346,2628,3347,1816,1356,11909,3509,24562,138929,237171,130317,112241,186327,43045,848032,54058,10920,1028,483,46723,5327,118535,45051,24477,3869,2167,45238,7555,128352,70947,83208,23680,22695,75249,20119,295897,53991,94006,41051,35290,56268,17320,297929,49683,91135,37018,22601,49255,13987,263686,41744,75382,31983,19527,50118,10931,229678,23807,49090,30494,21885,48632,8408,182320,11708,21314,14138,11419,33685,7283,99540,4617,5842,2976,2190
SOSR511,1042,170,8,6,981,110,2312,647,336,62,17,711,174,1951,1243,1223,227,121,1223,531,4567,1168,1599,415,188,986,519,4882,1226,1544,405,151,992,438,4750,1087,1443,377,190,1113,339,4551,657,1041,495,240,1020,241,3690,276,443,247,156,654,133,1901,49,112,44,37,245,95,584,7391,7928,2282,1096,7923,2582,29199,1097,300,35,17,781,105,2329,492,524,136,102,517,111,1888,633,1386,673,974,802,292,4762,406,1567,1063,1155,623,232,5039,587,1886,1007,675,668,225,5044,482,1558,1015,734,825,218,4828,273,920,851,757,968,213,3978,198,432,349,363,695,183,2221,88,129,81,58,417,171,942,4249,8706,5213,4827,6293,1745,31028,2140,468,41,22,1764,214,4649,1142,866,201,123,1232,277,3838,1871,2608,902,1093,2028,822,9322,1572,3173,1477,1343,1604,748,9920,1810,3430,1417,826,1659,661,9801,1565,3000,1394,923,1936,563,9377,926,1961,1343,989,1988,460,7670,469,876,596,516,1344,311,4119,138,241,124,95
SOSR512,1552,285,27,13,1524,302,3694,1010,533,90,31,1242,335,3238,1971,1897,370,193,2021,958,7417,1767,2311,626,278,1529,882,7407,1866,2476,588,235,1663,779,7607,1756,2314,613,278,1856,681,7498,1064,1739,741,457,1657,451,6098,505,757,370,280,1151,294,3357,159,144,103,88,502,140,1143,11654,12462,3528,1841,13142,4825,47455,1521,430,43,23,1202,273,3487,759,865,189,161,810,267,3044,1054,2079,1033,1355,1137,612,7268,698,2408,1564,1539,913,581,7697,906,2985,1557,994,1106,533,8081,823,2541,1517,973,1385,499,7735,489,1431,1375,1257,1477,463,6500,330,636,602,637,1244,353,3805,180,224,140,130,868,234,1776,6763,13588,8022,7066,10147,3811,49404,3068,714,70,32,2722,569,7185,1769,1398,275,193,2046,600,6283,3021,3976,1405,1549,3157,1574,14681,2464,4719,2190,1817,2447,1464,15102,2772,5462,2147,1227,2770,1312,15690,2579,4857,2134,1247,3237,1175,15229,1552,3169,2114,1711,3136,914,12592,843,1391,978,912,2394,653,7165,345,376,242,217
SOSR513,705,171,9,10,832,297,2021,511,261,48,15,644,317,1796,1392,1322,231,121,1430,881,5376,1390,1725,407,179,1099,864,5664,1086,1355,279,139,1132,744,4739,881,958,234,122,965,568,3721,299,447,181,106,581,214,1823,114,166,86,53,295,112,814,40,30,9,5,88,27,207,6417,6428,1484,751,7061,4018,26160,713,216,33,14,570,266,1813,408,418,90,76,425,265,1686,878,1714,708,903,963,865,6031,499,1749,968,1031,689,697,5635,513,1437,739,427,648,542,4315,377,1001,470,359,617,370,3205,131,382,332,306,445,182,1774,79,139,136,100,297,106,860,23,46,17,16,146,54,300,3630,7104,3491,3226,4804,3348,25619,1418,388,42,25,1400,561,3837,917,679,139,86,1066,581,3483,2267,3038,935,1021,2397,1746,11408,1889,3477,1368,1213,1785,1564,11301,1603,2795,1018,569,1778,1285,9050,1258,1961,704,488,1582,937,6923,435,831,514,410,1024,389,3599,194,303,218,152,593,218,1677,63,77,29,19
SOSR514,367,73,7,0,332,97,876,180,99,10,0,259,62,616,437,387,95,47,434,183,1583,439,610,171,84,361,192,1850,427,593,169,64,369,216,1829,371,526,175,77,376,148,1670,291,460,199,135,448,122,1657,120,171,89,76,238,78,777,34,29,22,13,90,48,226,2662,2944,940,504,2893,1151,11094,317,80,11,8,259,67,744,141,130,38,35,126,56,533,257,447,208,325,271,129,1637,189,631,410,505,227,159,2123,188,727,387,254,234,141,1933,183,583,360,246,309,119,1797,133,372,348,326,359,101,1645,69,126,128,172,258,96,849,46,43,25,19,139,64,346,1521,3138,1917,1881,2195,942,11600,686,150,19,12,596,168,1625,325,227,45,36,386,120,1148,697,840,305,376,703,313,3227,631,1240,576,586,586,353,3973,610,1319,556,321,603,352,3760,560,1103,533,325,687,269,3470,419,839,546,458,807,230,3298,192,294,216,246,501,173,1624,74,73,45,32
SOSR515,1032,241,27,19,967,370,2657,714,370,67,29,808,293,2289,1447,1505,346,186,1468,802,5755,1354,1681,506,286,1161,780,5755,1389,1788,450,225,1366,775,5998,1291,1688,535,270,1491,667,5946,842,1240,595,427,1362,468,4934,323,560,320,248,805,292,2547,90,101,69,61,305,131,755,8480,9176,2913,1749,9732,4580,36634,988,355,31,17,723,327,2441,497,587,154,143,513,303,2191,814,1703,842,1109,979,720,6169,589,1774,1155,1231,658,696,6095,661,1993,1073,750,745,611,5835,596,1779,1137,877,983,492,5868,354,1063,951,1041,1075,414,4901,163,408,410,480,773,309,2538,116,114,90,76,466,210,1077,4774,9771,5844,5728,6908,4085,37107,2014,595,58,36,1692,697,5095,1206,958,227,171,1318,598,4481,2264,3212,1189,1292,2445,1522,11923,1936,3455,1657,1511,1817,1474,11851,2045,3784,1531,976,2117,1386,11838,1890,3463,1672,1153,2473,1156,11810,1195,2293,1547,1476,2438,882,9832,489,965,727,724,1574,598,5083,207,215,155,136
SOSR521,392,88,15,3,353,124,977,274,172,30,16,288,120,897,521,516,140,71,534,296,2075,540,615,181,107,405,298,2137,564,677,201,116,572,385,2513,650,738,245,138,749,347,2859,430,575,268,241,673,238,2418,159,221,146,110,375,167,1177,38,53,28,15,147,47,320,3561,3649,1246,815,4090,2019,15377,386,152,30,12,257,121,953,183,226,78,56,186,115,847,297,585,317,444,366,261,2271,225,627,465,483,262,274,2332,295,826,438,309,341,264,2473,307,782,463,420,447,273,2706,141,456,405,532,494,212,2245,82,187,165,216,352,169,1169,44,51,35,36,205,64,436,1955,3895,2393,2510,2913,1761,15431,776,237,40,20,611,241,1926,455,400,110,71,470,234,1740,820,1100,456,513,899,562,4346,764,1240,646,592,667,568,4477,856,1509,637,422,913,652,4984,961,1516,708,556,1201,619,5562,564,1030,672,771,1170,450,4668,240,412,308,323,727,335,2347,79,97,63,51
SOSR522,201,80,29,9,220,91,632,170,104,30,18,180,52,557,369,304,92,56,290,152,1263,332,322,110,61,219,156,1202,322,380,125,72,281,175,1348,323,410,146,83,392,195,1543,231,338,180,101,400,182,1432,94,134,76,70,225,94,688,17,21,10,18,72,37,176,2056,2097,799,485,2283,1137,8847,185,108,31,9,157,86,577,141,166,62,48,133,57,612,215,354,202,225,166,128,1292,165,337,232,257,108,124,1218,169,427,197,175,160,126,1262,172,464,272,216,234,163,1517,90,230,255,244,281,130,1225,50,92,101,139,170,95,648,20,25,13,20,71,51,201,1209,2218,1376,1335,1469,960,8560,389,190,62,22,374,170,1206,309,273,98,61,313,114,1168,587,657,291,283,456,282,2556,500,659,347,322,326,275,2419,491,809,321,245,437,303,2606,488,872,416,292,622,362,3061,318,569,434,339,681,315,2656,141,234,177,208,395,187,1336,35,48,17,38
SOSR531,1995,456,63,33,1648,547,4741,1354,630,115,45,1454,1045,4644,2207,1897,440,230,2369,2923,10059,2413,2926,838,440,2040,2839,11495,3028,3845,1086,596,2673,2510,13733,3188,4045,1280,819,3187,1938,14468,1923,2838,1398,1050,2708,1136,11045,678,934,546,502,1332,524,4509,128,169,79,61,311,97,841,16909,17719,5842,3773,17720,13569,75535,1900,541,85,30,1186,453,4187,911,720,203,124,737,383,3081,1027,1910,978,1460,1042,896,7309,722,2662,2048,2229,684,966,9310,1060,3981,2613,1934,1016,1073,11683,1060,3916,2855,2355,1417,1052,12660,552,1829,2003,2242,1509,780,8919,275,639,639,805,841,375,3563,115,151,86,75,304,72,805,7627,16349,11509,11259,8736,6047,61530,3894,994,142,68,2834,1001,8927,2262,1353,316,171,2189,1431,7726,3236,3799,1415,1692,3413,3817,17368,3135,5593,2885,2673,2718,3805,20805,4090,7827,3698,2529,3694,3586,25420,4253,7957,4139,3177,4608,2995,27127,2473,4666,3401,3299,4219,1915,19970,953,1566,1184,1305,2168,897,8074,242,314,164,137
SOSR579,0,0,0,0,3,7,7,0,0,0,0,15,13,25,4,3,0,0,46,44,99,14,7,3,9,57,68,157,5,4,0,0,47,46,103,0,3,5,4,23,20,55,0,0,0,0,6,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,4,8,196,195,455,0,0,0,0,0,0,3,0,0,0,0,3,5,11,3,0,0,0,8,4,14,0,0,0,0,3,3,11,0,0,0,0,5,8,9,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,19,21,61,0,0,0,0,5,3,6,0,0,0,0,16,15,31,6,3,0,0,51,47,116,12,7,5,9,62,76,170,5,4,0,0,51,51,109,0,3,4,4,25,21,62,0,0,0,0,9,3,18,0,0,0,0,0,0,0,0,0,0,0
