SOSR_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR501,805807,837814,1643619,22052,23764,45815,3289,3224,6515,3587,3571,7156,2561,2683,5239,863,840,1709,91173,97562,188737,414,464,875,659,652,1314,318,326,645,40,47,83,102898,109370,212269,8029,8383,16411,2488,2238,4726,135465,143754,279222,53384,43331,96718,994650,1024907,2019556
SOSR511,28577,30200,58779,1303,1410,2714,89,86,171,83,83,167,100,110,208,28,30,62,3285,3690,6974,26,30,57,43,39,82,8,13,22,0,0,0,3672,4075,7740,169,182,348,103,85,189,5243,5753,10994,2709,1854,4561,36522,37807,74330
SOSR512,44282,46368,90657,2546,2634,5179,187,160,348,171,171,349,213,198,411,76,74,149,5148,5597,10742,47,42,84,60,66,126,12,15,23,7,0,4,5917,6331,12242,372,306,679,199,154,355,9033,9417,18453,5364,4348,9712,58679,60140,118819
SOSR513,23091,22601,45695,2577,2784,5367,168,153,321,192,192,391,297,277,572,81,66,140,2470,2673,5144,25,29,52,77,91,162,18,8,29,3,0,3,3324,3491,6812,203,212,410,131,119,253,6239,6605,12841,4697,3954,8652,34024,33169,67190
SOSR514,10531,10960,21489,967,1020,1987,34,43,75,44,43,88,42,31,69,10,16,24,791,903,1695,9,5,8,8,9,21,0,0,0,3,5,5,945,1043,1991,142,101,244,38,39,78,2089,2204,4299,1266,1107,2373,13893,14267,28157
SOSR515,33183,33235,66418,2506,2733,5239,139,135,280,165,159,319,218,216,430,43,43,79,3519,3795,7316,30,32,61,76,91,167,10,7,17,7,4,10,4194,4484,8681,252,209,462,117,100,218,7076,7524,14599,5535,4845,10380,45791,45604,91393
SOSR521,13928,13871,27799,802,841,1653,53,42,99,48,55,99,74,65,139,29,28,54,1427,1465,2889,16,22,32,31,19,51,3,3,8,0,0,0,1679,1698,3380,84,103,188,42,41,78,2611,2681,5297,2314,2091,4399,18848,18637,37492
SOSR522,8308,8096,16404,462,457,916,26,31,55,15,26,37,34,39,70,15,22,33,681,730,1415,3,7,3,18,13,31,0,0,0,0,0,0,791,857,1644,40,28,66,19,21,40,1308,1358,2663,1223,1047,2269,10836,10497,21338
SOSR531,64829,58259,123084,1888,1844,3733,220,164,386,258,201,457,280,230,509,117,91,207,6164,5616,11775,46,37,81,92,73,168,5,8,17,0,0,4,7183,6418,13599,362,281,643,163,127,291,9603,8670,18275,14268,6759,21027,88701,73687,162387
SOSR579,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
SOSR599,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
