SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR501,22179,30176,52350,88773,110675,199448,20,17,33,15296,17401,32695,613,597,1213,187550,213104,400651,2262,2873,5135,11225,12218,23439,3398,4439,7836,2109,2426,4539,1871,2387,4252,1619,1587,3211,5757,6690,12446,10628,12621,23245,12831,14435,27262,874,1304,2178,2001,2490,4489,12451,17513,29960,32306,38105,70404,1106,1294,2402,392690,462168,854864,25488,24028,49512,32257,30369,62626,2592,2790,5381,63,54,119,9449,8469,17916,3679,5050,8727,13191,13575,26763,440683,409148,849837,3481,2544,6028,1392,2310,3705,445561,414004,859568,73073,59620,132692,1007026,1036733,2043762
SOSR511,204,385,589,3990,5195,9182,0,0,0,751,786,1531,0,0,0,5968,6970,12934,71,119,192,112,133,246,209,317,528,158,190,350,79,97,180,17,14,26,141,169,307,250,303,554,413,465,882,50,89,140,99,109,206,551,806,1365,1158,1337,2497,57,61,118,14080,17160,31240,229,208,438,312,312,617,11,23,36,3,4,8,80,67,148,104,169,270,187,236,425,18374,17386,35755,113,75,193,54,77,128,18539,17537,36076,3399,2373,5773,36962,38239,75196
SOSR512,377,740,1116,6073,7554,13624,0,0,0,1091,1159,2241,56,55,113,9392,10700,20091,248,302,553,116,115,229,293,419,714,165,199,364,168,236,400,12,4,20,309,389,695,503,612,1117,755,855,1615,90,130,219,270,283,552,1110,1601,2705,1957,2364,4328,61,64,123,22657,27047,49704,401,346,746,560,508,1064,23,19,39,9,9,25,111,100,205,140,235,379,262,340,601,28488,26330,54818,156,107,266,77,142,215,28719,26579,55293,6360,5206,11565,59351,60792,120142
SOSR513,300,555,855,2447,2738,5189,0,0,5,462,517,986,0,5,5,5338,5765,11105,50,74,127,106,110,212,164,211,370,98,96,198,100,120,212,13,5,13,148,184,332,225,288,512,259,295,555,17,40,57,101,126,219,382,514,894,891,1024,1919,45,37,81,10844,12148,22997,335,278,611,464,387,856,22,22,41,29,35,69,44,44,91,78,88,169,156,168,329,17007,15566,32571,82,58,143,33,51,82,17123,15673,32794,5319,4398,9721,34557,33632,68192
SOSR514,101,129,233,1392,1750,3148,0,0,0,127,157,288,67,78,140,2007,2297,4304,55,67,125,42,45,85,100,113,211,16,19,31,23,40,62,4,3,6,30,31,55,49,60,106,96,105,203,20,25,47,25,36,66,221,341,555,228,317,543,14,6,17,4522,5481,10000,46,38,84,49,53,102,7,3,13,0,6,6,18,6,26,41,57,96,60,64,128,7635,7194,14829,30,30,61,24,46,72,7688,7277,14963,1583,1370,2949,14058,14412,28471
SOSR515,280,509,794,4568,5464,10032,0,0,0,752,873,1626,0,0,5,6558,7361,13918,134,168,303,116,130,246,236,314,550,79,80,157,117,144,263,14,11,21,303,353,648,220,283,502,551,521,1071,58,69,128,172,200,364,810,1101,1917,1173,1347,2521,29,45,76,15898,18462,34361,157,139,290,448,378,826,17,17,37,58,45,106,38,28,71,121,221,339,214,300,515,22842,20683,43524,133,83,215,51,85,137,23033,20846,43877,6342,5480,11824,46388,46132,92523
SOSR521,99,196,295,2139,2468,4610,0,0,0,268,257,525,149,133,275,2603,2714,5319,53,71,120,31,28,60,85,106,188,33,48,81,44,56,100,3,4,9,173,229,398,184,237,417,248,246,492,28,40,66,66,96,167,417,543,962,570,631,1200,17,20,34,7110,7927,15036,35,35,68,36,23,59,9,15,26,75,84,156,11,8,20,49,82,134,138,173,313,8820,7935,16758,38,31,67,26,44,65,8883,8003,16884,2773,2474,5246,19079,18844,37925
SOSR522,42,58,101,1194,1244,2436,0,0,0,126,142,263,6,4,5,1777,1923,3694,66,61,122,14,4,16,20,45,68,17,12,24,98,109,203,8,4,10,151,163,314,60,49,112,108,113,224,17,14,27,136,157,288,202,250,453,442,499,937,3,8,21,4433,4794,9229,19,13,38,27,21,51,0,0,0,98,111,207,4,11,15,21,25,50,127,144,271,4444,3920,8367,23,12,36,17,22,41,4491,3959,8446,1817,1634,3447,10961,10626,21588
SOSR531,523,709,1234,10551,10937,21489,0,0,0,1191,1196,2385,39,38,77,12314,11817,24137,282,283,560,265,180,446,293,367,653,99,99,199,281,325,613,4,0,9,502,488,994,424,430,849,1113,1064,2177,67,88,159,332,337,671,1775,1841,3618,2675,2707,5384,72,80,150,32268,32290,64561,164,81,245,288,201,485,48,42,87,217,183,397,50,33,81,190,283,472,455,493,945,39125,31776,70900,205,144,348,116,166,275,39437,32081,71524,16184,8385,24568,89366,74281,163652
SOSR579,5,3,11,16,3,20,0,0,0,8,0,8,0,0,0,70,11,77,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,112,14,124,4,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,21,144,0,0,0,0,0,0,123,21,144,196,23,227,455,58,514
