SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR501,168518,97229,108126,107514,87340,63454,36583,13771,3307,685849,16156,16418,20089,22225,24016,27259,26805,14636,4647,172250,888,1717,2727,3689,5434,8243,11422,8365,2977,45451,40,125,320,714,1663,3722,6425,6229,2703,21933,17081,18254,23130,26627,31111,39219,44654,29222,10327,239638,13576,9974,13693,13094,11827,8957,5474,3198,1742,81543,199184,125463,144955,147237,130284,111637,86701,46197,15377,1007026,163170,86548,106635,106781,86180,65151,40888,15173,4635,675166,11874,22167,27260,26759,27687,29744,28986,17847,7708,200031,769,3620,5654,6143,7854,10579,12764,9583,5007,61978,47,290,697,1396,2835,5191,7267,6689,4359,28754,12688,26076,33605,34301,38369,45519,49015,34117,17078,290765,12841,8811,10698,9610,8854,7374,5711,4057,2854,70807,188701,121434,150941,150691,133403,118041,95610,53346,24562,1036733,331693,183779,214763,214296,173514,128607,77472,28948,7944,1361012,28033,38585,47347,48986,51698,57006,55787,32480,12353,372279,1659,5334,8381,9835,13288,18825,24188,17943,7980,107429,77,419,1009,2105,4495,8913,13690,12915,7065,50693,29766,44333,56738,60927,69482,84736,93669,63339,27404,530400,26422,18779,24389,22707,20687,16328,11181,7254,4593,152348
SOSR511,6161,3082,3065,3255,2890,2395,1423,544,128,22947,917,649,706,823,934,1106,1155,582,172,7036,57,75,147,134,257,406,504,370,118,2064,0,8,20,40,80,172,321,263,99,1021,975,731,873,998,1271,1688,1979,1212,387,10119,624,461,628,627,586,476,290,145,67,3896,7763,4269,4567,4882,4750,4551,3690,1901,584,36962,5964,2766,3019,3265,2952,2389,1529,629,161,22670,602,920,1078,1053,1200,1260,1211,716,266,8318,36,165,229,290,399,546,583,377,169,2802,5,12,38,87,146,279,374,299,209,1441,651,1101,1339,1435,1743,2085,2170,1388,645,12564,595,353,403,339,357,354,281,195,133,3003,7208,4218,4762,5039,5044,4828,3978,2221,942,38239,12129,5848,6081,6519,5845,4784,2951,1172,290,45611,1523,1570,1787,1873,2133,2368,2373,1296,440,15353,102,238,373,430,656,954,1086,749,282,4870,6,21,58,133,227,452,693,560,311,2457,1626,1831,2214,2435,3014,3773,4152,2600,1030,22680,1217,810,1025,970,940,821,566,342,204,6899
SOSR512,9335,5011,5052,4842,4656,3820,2407,933,220,36273,1165,970,1080,1273,1421,1843,1773,1018,344,10894,60,113,149,181,395,631,845,621,223,3227,4,11,29,32,150,329,524,482,240,1792,1232,1093,1258,1486,1963,2804,3149,2120,815,15914,1326,834,1109,1077,990,871,548,310,110,7165,11900,6935,7417,7407,7607,7498,6098,3357,1143,59351,9247,4325,4584,4890,4685,3856,2525,1043,302,35465,794,1238,1534,1514,1746,1939,1947,1246,514,12466,64,225,338,378,611,764,893,681,405,4366,3,15,46,135,242,466,592,511,359,2380,856,1477,1916,2030,2605,3166,3432,2442,1283,19212,1284,732,764,776,788,713,540,322,193,6118,11392,6534,7268,7697,8081,7735,6500,3805,1776,60792,18586,9337,9635,9728,9344,7674,4929,1974,523,71738,1962,2207,2612,2786,3165,3783,3724,2266,860,23362,124,341,486,561,1006,1394,1740,1306,628,7589,8,24,73,169,392,795,1118,992,608,4176,2092,2571,3179,3515,4566,5976,6582,4557,2095,35121,2610,1565,1867,1856,1776,1584,1084,630,302,13283
SOSR513,6551,2677,3736,3888,2928,1861,751,213,47,22649,587,385,598,696,763,857,495,252,53,4697,27,49,83,101,155,244,219,138,43,1055,0,4,11,21,42,124,148,100,42,481,611,441,693,817,959,1224,854,499,137,6231,1243,704,943,963,847,633,215,104,19,5684,8401,3815,5376,5664,4739,3721,1823,814,207,34557,6422,2358,3999,3661,2520,1646,682,243,45,21577,442,511,925,920,852,729,557,250,94,5280,19,69,169,201,219,273,212,159,67,1390,0,6,25,39,91,133,116,120,57,600,468,585,1122,1157,1167,1135,881,531,222,7263,1120,559,914,811,627,425,212,89,35,4786,8012,3503,6031,5635,4315,3205,1774,860,300,33632,12975,5030,7731,7550,5449,3504,1435,459,92,44224,1028,895,1527,1615,1622,1583,1044,506,148,9975,50,119,250,303,373,516,430,294,114,2445,3,11,38,54,130,254,262,227,100,1077,1080,1020,1812,1971,2127,2359,1737,1027,363,13497,2357,1260,1859,1778,1476,1054,425,193,56,10472
SOSR514,2357,1072,1121,1251,1158,892,673,239,54,8818,261,212,203,286,303,371,507,255,67,2473,10,20,35,57,84,133,218,109,48,707,3,0,4,15,28,73,125,111,26,388,276,235,244,361,417,581,848,474,141,3574,339,194,220,238,258,191,130,71,31,1674,2967,1491,1583,1850,1829,1670,1657,777,226,14058,2259,864,1068,1386,1156,927,643,239,63,8609,201,224,336,386,407,449,496,270,109,2874,17,31,63,113,140,167,220,151,77,981,0,7,8,28,60,98,148,94,47,491,213,260,405,525,609,713,861,521,233,4355,339,152,162,209,164,152,135,83,45,1444,2817,1276,1637,2123,1933,1797,1645,849,346,14412,4615,1935,2190,2638,2317,1824,1316,478,118,17428,462,434,542,677,716,820,996,526,181,5351,25,52,98,170,225,302,436,262,119,1689,3,7,12,46,83,173,275,202,78,882,489,489,652,884,1023,1298,1719,993,377,7924,679,339,386,443,419,346,267,153,79,3116
SOSR515,7543,3480,4011,3800,3670,2935,1927,678,161,28214,769,626,713,841,1054,1467,1401,736,217,7826,40,74,102,164,285,472,659,467,148,2414,0,6,22,40,85,277,389,352,122,1301,811,709,838,1050,1425,2213,2450,1559,482,11539,1399,751,901,913,904,784,560,305,109,6626,9751,4949,5755,5755,5998,5946,4934,2547,755,46388,7185,3033,3991,3775,3248,2860,1852,655,193,26793,567,737,1084,1116,1247,1426,1422,845,341,8782,46,164,253,326,424,583,723,453,213,3172,3,15,28,73,214,368,407,293,171,1572,611,915,1364,1512,1875,2376,2553,1592,724,13533,1235,686,814,804,705,628,495,294,155,5812,9029,4637,6169,6095,5835,5868,4901,2538,1077,46132,14728,6513,8006,7571,6924,5799,3778,1337,359,55008,1336,1365,1798,1955,2295,2895,2822,1583,556,16613,81,238,358,487,710,1055,1375,914,361,5588,4,24,49,114,300,642,799,649,289,2876,1422,1627,2200,2569,3303,4591,5007,3150,1215,25074,2634,1445,1711,1713,1609,1416,1053,593,264,12442
SOSR521,2827,1376,1385,1368,1472,1379,865,322,83,11082,335,222,301,334,463,687,693,355,104,3490,12,27,36,75,122,244,336,200,57,1115,0,3,5,22,39,132,255,152,41,650,353,252,341,433,619,1063,1281,706,203,5252,521,240,341,337,421,416,276,153,38,2743,3704,1870,2075,2137,2513,2859,2418,1177,320,19079,2678,1193,1478,1442,1337,1237,796,323,86,10577,220,304,390,434,545,684,666,358,131,3738,15,52,84,130,194,282,325,177,85,1333,0,3,15,33,83,176,219,144,68,753,237,359,487,600,824,1146,1215,681,287,5825,510,245,306,290,311,318,234,165,59,2444,3415,1795,2271,2332,2473,2706,2245,1169,436,18844,5506,2565,2867,2815,2812,2613,1661,641,167,21656,557,523,692,768,1013,1372,1359,710,230,7229,26,83,117,208,315,530,658,378,141,2446,0,9,21,51,122,311,476,299,113,1405,588,613,831,1030,1445,2213,2495,1386,490,11081,1024,488,652,632,734,737,513,322,98,5192
SOSR522,1624,889,919,776,780,731,518,175,40,6454,139,126,138,205,250,374,423,212,47,1916,13,14,22,32,75,143,189,115,37,641,0,0,4,10,34,78,139,104,23,397,153,142,171,249,362,590,746,429,111,2955,337,156,174,178,205,219,166,86,28,1548,2114,1187,1263,1202,1348,1543,1432,688,176,10961,1613,876,888,754,690,696,420,181,49,6163,96,151,204,227,262,372,346,210,55,1919,4,12,49,70,111,155,191,105,24,726,0,4,8,28,56,107,121,71,26,410,94,170,257,321,430,638,654,377,113,3054,359,147,151,145,137,189,146,84,39,1406,2070,1197,1292,1218,1262,1517,1225,648,201,10626,3230,1764,1807,1529,1472,1425,942,355,92,12617,231,278,340,431,508,750,765,422,107,3837,17,31,72,103,183,300,381,221,60,1363,0,5,12,32,94,185,258,172,56,805,251,310,421,569,787,1231,1403,815,223,6012,703,307,325,319,348,409,317,169,63,2958
SOSR531,11108,6582,5895,6870,8149,7731,4640,1451,224,52664,1129,969,987,1396,2168,3141,3169,1351,255,14557,50,89,127,210,476,967,1294,719,154,4087,4,18,11,34,140,386,617,455,103,1774,1187,1077,1125,1641,2781,4486,5081,2525,514,20409,1539,1718,3039,2985,2806,2246,1326,530,104,16293,13828,9381,10059,11495,13733,14468,11045,4509,841,89366,10531,5059,4827,6079,7167,6792,3801,1131,180,45567,761,1094,1219,1658,2291,3083,2560,1121,286,14071,42,169,230,372,644,1023,1049,552,150,4245,0,14,28,68,230,424,552,357,115,1794,804,1274,1480,2095,3168,4532,4168,2031,548,20103,1422,937,1002,1135,1351,1340,952,404,74,8615,12755,7272,7309,9310,11683,12660,8919,3563,805,74281,21641,11648,10719,12958,15314,14526,8439,2580,412,98228,1884,2061,2208,3052,4463,6221,5730,2475,543,28629,99,262,356,580,1120,1982,2344,1272,309,8331,7,32,43,101,368,812,1169,815,217,3564,1988,2352,2608,3737,5949,9017,9252,4558,1064,40517,2959,2652,4040,4116,4157,3589,2279,937,177,24904
SOSR579,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
