SOSR_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SOSR501,28598,92165,75583,366787,4297,567431,583,2733,1726,31743,656,37439,101642,2254,4270,2957,524,111638,9249,2647,1427,7523,143,20993,20556,5649,3782,10220,188,40395,292285,82605,65798,305844,5516,752060,34303,538,2700,597,138,38285,9526,1098,946,2455,73,14093,23484,5168,4295,24332,373,57651,5945,2036,1073,5212,70,14337,3056,544,362,843,31,4835,67122,2266,1632,1704,194,72922,69016,15117,11119,84161,1032,180448,45170,14829,7227,45007,624,112854,7512,121,404,115,16,8166,1899,435,243,514,11,3104,6388,1092,697,2250,60,10498,1955,682,373,1339,25,4372,18272,2495,1629,775,193,23358,12856,4980,2990,1456,107,22393,11742,1862,1537,4084,98,19325,4464,365,606,750,43,6234,2261,316,100,56,20,2762,69282,17280,13355,75988,941,176843,6390,560,357,643,40,7985,23255,2188,1904,571,95,28018,7684,629,566,1725,56,10663,5490,475,310,359,24,6661,20502,515,931,414,68,22431,11524,2012,1417,4141,63,19161,249216,19129,19063,20557,1951,309920,12164,994,835,5188,90047,109230,962035,163503,129665,684409,104151,2043762
SOSR511,634,3402,2629,21722,201,28584,14,161,64,2249,43,2536,692,24,56,55,5,833,69,39,28,133,0,274,779,243,147,433,10,1607,8063,3410,2657,19296,251,33685,1057,8,104,22,6,1193,168,26,16,137,0,354,717,196,148,1386,19,2460,97,42,16,190,6,342,47,13,6,32,0,96,694,28,19,52,0,790,1692,498,433,4395,35,7054,1094,527,200,2632,20,4475,130,0,16,0,0,151,68,13,6,4,0,95,15,11,9,43,0,72,27,20,16,35,0,98,922,152,96,43,16,1227,431,220,111,84,5,854,332,82,80,222,5,727,130,11,17,31,0,181,48,3,6,0,0,62,1919,649,552,4205,39,7375,47,3,8,12,0,71,831,56,62,28,0,976,133,17,22,103,0,277,38,3,8,5,0,58,110,5,17,3,3,134,264,81,44,207,4,603,3198,430,426,779,48,4880,194,45,37,335,4137,4742,19332,6049,4622,40515,4676,75196
SOSR512,980,5092,4377,34395,479,45320,24,312,165,6151,135,6789,811,33,87,156,5,1088,167,72,39,295,9,576,1195,367,213,841,21,2632,11824,4819,3950,29098,507,50193,2022,37,209,59,16,2345,314,52,48,154,4,571,1150,309,283,2316,33,4095,98,59,25,158,0,339,91,28,9,51,0,182,969,48,54,96,5,1161,2195,850,600,7265,87,11000,1044,494,249,2613,44,4444,95,0,15,7,0,117,22,3,3,21,0,44,50,15,13,70,0,142,67,35,16,54,4,177,1331,185,163,78,27,1786,755,334,192,122,9,1412,382,93,71,308,8,859,118,18,24,47,0,209,159,16,4,7,3,192,2770,1024,769,6540,60,11166,61,9,7,17,0,98,906,116,75,46,6,1148,243,29,14,135,3,415,85,6,10,3,0,110,265,9,14,3,0,296,435,117,85,308,0,954,5509,736,784,1447,72,8554,343,74,56,683,8825,9992,28772,8923,7182,65216,10054,120142
SOSR513,586,2505,2389,16545,198,22232,22,371,178,7089,180,7844,611,39,50,181,12,897,92,43,26,139,7,301,458,170,112,341,16,1100,7121,2188,1914,12126,249,23592,1288,25,137,42,3,1505,259,16,27,87,0,385,666,187,149,1210,16,2224,75,21,20,84,0,197,42,12,9,18,0,93,714,46,16,38,5,820,1557,406,314,3310,43,5627,452,228,104,1102,16,1906,61,0,7,0,0,77,15,3,5,3,0,30,46,10,12,34,0,99,25,31,12,38,0,99,1054,152,93,66,15,1384,582,227,118,60,5,994,159,35,40,115,0,353,59,3,17,25,0,107,103,7,10,10,0,126,1771,460,402,2916,38,5587,36,12,4,11,0,56,586,53,80,23,3,745,188,9,18,41,3,257,68,6,8,8,0,88,111,0,10,0,3,132,242,48,33,115,0,444,3815,523,583,1560,59,6549,255,41,34,358,8177,8852,17918,4515,3914,32975,8874,68192
SOSR514,250,1338,1162,8216,115,11078,0,50,26,964,14,1056,149,18,8,27,3,201,25,23,11,61,4,120,244,76,33,192,7,550,3108,1288,1104,6993,148,12641,266,4,36,6,3,325,153,13,29,47,0,249,397,101,88,539,15,1138,30,11,8,42,0,91,21,7,4,6,0,43,138,14,5,21,0,181,633,243,174,1633,31,2716,369,158,48,608,7,1193,48,0,0,0,0,50,4,0,0,0,0,7,6,6,3,9,0,17,9,3,4,14,0,34,158,43,26,5,0,240,173,91,59,31,0,358,196,33,28,110,3,374,28,7,6,17,4,65,8,0,0,0,0,9,698,284,185,1601,26,2792,25,0,3,3,0,39,150,26,23,12,0,201,76,3,10,13,0,100,20,4,4,3,0,31,37,0,5,0,3,47,134,38,21,97,0,291,1052,212,225,279,13,1777,63,22,19,137,2218,2454,6605,2335,1910,15096,2521,28471
SOSR515,725,3757,3298,25660,462,33900,17,332,170,7016,185,7725,565,30,50,108,3,757,158,64,28,179,6,437,805,269,175,575,12,1838,9287,3542,3035,20154,554,36571,1307,14,109,39,4,1470,275,45,27,124,3,474,796,213,229,1716,26,2980,62,33,22,129,5,249,71,12,13,30,7,132,424,36,16,48,5,527,1780,621,432,4671,77,7583,971,389,205,1857,28,3449,51,4,10,0,0,71,25,5,3,16,0,54,93,27,7,67,0,191,43,24,15,45,0,121,940,142,127,55,28,1297,587,268,175,88,9,1131,256,63,42,183,6,549,52,9,14,39,0,110,66,7,3,8,0,84,2212,726,635,4559,79,8211,73,4,0,17,0,98,427,81,59,19,0,587,136,20,13,77,0,246,29,0,5,3,0,40,137,0,16,3,0,158,339,65,44,196,8,655,3937,533,516,1208,114,6315,228,55,46,455,9342,10122,21228,6641,5446,48622,10590,92523
SOSR521,290,1450,1249,10083,268,13340,13,141,42,4740,144,5067,121,9,10,34,3,182,35,24,11,56,4,128,298,96,64,168,0,612,3708,1374,1084,7993,265,14427,526,0,36,3,6,578,92,16,8,39,0,161,363,92,91,547,25,1121,21,13,4,35,0,72,44,9,0,3,0,63,137,23,7,30,0,195,709,221,162,1893,43,3031,281,118,55,598,9,1071,13,0,3,0,0,12,8,3,5,0,0,9,14,4,3,3,0,22,12,8,0,13,0,39,286,55,48,31,11,430,185,93,58,15,4,357,99,27,18,71,3,222,34,7,9,7,0,50,21,3,0,0,0,21,887,296,245,1760,35,3224,17,5,4,5,0,27,180,19,15,8,0,228,66,12,5,33,0,115,14,3,0,4,0,19,45,0,0,0,5,48,139,27,20,103,3,292,1114,193,174,330,45,1855,100,15,25,227,3813,4179,7682,2542,2003,21198,4510,37925
SOSR522,111,709,575,4924,97,6410,5,63,20,5155,91,5334,51,0,0,15,0,76,43,10,0,45,0,103,146,46,32,66,4,290,1838,699,602,4113,115,7374,125,0,12,5,4,141,37,0,0,11,0,53,153,35,38,326,5,558,9,8,0,8,0,36,8,4,0,7,0,20,81,9,5,13,0,109,331,125,96,1000,22,1567,120,61,36,251,4,474,8,0,0,0,0,9,5,0,0,0,0,6,3,0,0,4,0,9,6,0,0,4,0,16,117,11,18,3,3,154,103,35,21,12,7,186,53,11,6,30,0,102,10,0,3,5,0,21,20,0,0,0,0,14,408,126,118,898,23,1571,7,0,0,0,0,10,65,7,8,4,3,81,16,0,0,15,0,34,0,3,0,5,0,8,17,0,7,0,0,17,62,23,16,36,0,128,437,101,64,217,12,838,42,11,10,138,2049,2255,3509,1252,980,13486,2362,21588
SOSR531,1216,6275,5883,45138,645,59161,34,218,131,6402,127,6910,843,35,73,136,11,1104,432,139,73,489,14,1152,1843,533,407,908,23,3710,19132,6021,5476,36889,762,68293,768,5,94,25,5,902,581,54,68,215,0,919,1879,443,457,3027,44,5855,168,64,28,177,3,437,114,36,25,52,5,230,445,70,39,79,3,634,3288,1016,817,8530,134,13783,2336,827,426,3550,76,7215,60,0,14,3,0,76,30,4,7,23,0,68,126,28,16,95,0,272,112,49,24,92,4,276,863,102,90,44,7,1106,910,358,260,131,16,1671,506,111,84,313,5,1021,123,9,23,66,0,225,64,4,6,3,0,71,4171,1291,1106,8583,134,15282,109,26,10,23,0,175,1037,100,88,39,4,1274,242,30,18,149,3,446,40,16,9,20,0,89,367,9,23,16,0,414,628,118,100,397,10,1245,5040,935,895,1496,91,8454,303,81,59,706,19675,20824,37467,11084,9650,84122,21324,163652
SOSR579,9,8,4,59,3,76,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,49,11,4,50,0,116,16,0,0,0,0,13,4,0,0,0,0,4,8,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,36,7,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,7,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,44,12,0,0,0,218,228,169,17,10,115,221,514
