SOSR_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOSR501,0,0,0,17,157,641,1848,1539,190,205,160,283,142,101,107,5375,0,6,17,95,72,148,1032,729,96,102,127,128,90,6,25,2665,3,41,285,562,607,723,1280,786,140,147,152,186,108,49,61,5138,32,35,71,225,1377,2206,10174,6257,1296,1298,1144,1795,626,75,495,27105,83,506,1259,436,283,883,418,117,12,17,4,10,7,0,137,4177,83,148,247,132,176,214,490,494,77,74,62,53,32,8,59,2366,7,22,42,91,215,130,212,171,17,19,28,34,5,8,33,1046,942,918,745,665,1329,777,1655,840,105,114,145,186,87,32,158,8689,108,525,653,237,101,43,74,138,9,18,0,18,4,6,59,1999,15,28,156,471,1030,1002,1292,949,218,194,233,267,195,59,118,6221,359,269,2228,1946,1884,2681,18894,14034,2935,2390,3505,4203,1452,285,919,57989,44,131,100,282,1123,2829,3839,1855,407,431,456,560,558,62,258,12937,8,4,12,60,678,691,1505,2134
SOSR511,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,4,21,0,6,9,0,0,0,0,44,0,0,7,13,10,25,23,18,3,0,8,0,0,0,3,116,0,0,0,0,0,7,73,58,10,20,15,20,0,0,5,206,0,9,11,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,23,0,0,0,5,5,0,7,4,0,0,0,0,0,0,0,21,59,36,33,18,38,6,44,7,0,4,4,4,0,0,12,260,0,6,5,0,0,0,0,6,0,5,0,0,0,0,0,25,0,0,3,0,6,3,5,12,3,3,3,3,10,0,5,48,13,0,21,11,9,15,167,189,27,31,33,40,13,4,12,586,6,0,0,0,5,16,40,31,11,5,8,3,0,0,3,132,0,0,0,0,3,0,4,22
SOSR512,0,0,0,0,0,0,8,44,4,0,5,9,0,0,3,84,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,20,0,0,16,24,19,29,62,28,18,7,4,7,7,0,8,238,3,0,3,0,10,22,85,78,12,19,17,29,11,8,16,306,0,6,19,5,10,4,5,0,0,0,0,0,0,0,5,51,0,4,0,4,4,6,0,0,0,0,3,0,0,9,0,41,0,0,0,6,18,9,40,29,3,7,16,7,0,11,0,142,83,72,40,25,42,33,84,42,13,7,7,6,0,0,16,459,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,5,0,4,5,16,0,0,0,0,0,0,7,58,10,9,50,21,16,25,252,242,29,33,48,55,23,9,13,839,4,3,4,3,19,29,72,53,16,15,17,11,13,0,4,260,0,0,0,0,7,0,0,25
SOSR513,0,0,0,0,0,0,6,5,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,10,5,9,0,0,5,0,0,25,0,0,5,10,3,14,47,16,6,7,0,6,3,0,3,123,0,0,0,3,4,0,47,26,10,10,25,76,20,5,10,233,0,5,11,4,0,6,9,0,0,0,0,0,0,0,0,37,0,0,0,0,0,4,0,3,6,0,0,0,3,0,3,30,0,0,0,0,3,11,24,5,0,6,0,5,0,7,0,60,18,29,14,22,31,22,61,34,3,4,5,7,5,0,4,271,0,0,6,5,0,0,5,6,0,0,0,0,0,0,0,22,0,0,8,6,3,6,18,4,0,0,5,3,0,0,0,59,3,3,16,13,8,13,209,125,46,45,29,47,17,8,6,593,0,0,0,0,11,14,59,56,13,5,9,23,14,5,5,211,0,0,0,0,5,0,5,6
SOSR514,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,17,5,10,21,14,4,0,0,0,0,0,4,90,0,0,0,0,6,0,12,14,0,0,0,0,0,0,4,41,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,52,25,13,11,31,12,35,17,3,0,4,8,0,0,7,228,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,9,5,0,14,4,3,0,25,35,6,4,6,4,0,0,3,116,0,6,0,0,0,4,9,11,8,8,0,0,9,0,4,56,0,0,0,0,0,0,0,4
SOSR515,0,0,0,0,0,6,35,44,9,8,3,26,4,5,8,149,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,15,0,0,8,15,24,15,37,29,8,5,5,12,0,0,6,154,0,0,0,0,5,3,36,19,4,5,20,70,10,3,6,185,0,3,17,7,4,3,0,4,0,0,0,0,0,0,0,48,0,4,0,0,0,0,0,3,0,0,3,3,0,0,0,18,0,0,0,4,10,6,5,6,0,0,0,3,12,13,0,66,50,47,31,33,59,17,62,30,5,6,4,8,7,0,17,366,0,7,3,7,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,3,0,5,9,9,0,0,0,3,0,0,0,36,10,3,24,17,7,15,98,63,12,9,26,24,18,0,13,341,4,3,0,0,9,21,42,36,9,15,6,9,11,5,6,181,0,0,0,0,7,0,3,10
SOSR521,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,6,9,15,6,0,3,3,0,0,0,0,56,0,0,0,0,0,0,12,5,0,0,3,4,0,0,0,39,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,0,0,0,3,0,29,27,35,14,10,18,14,27,9,0,0,0,3,0,0,4,165,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,15,4,0,9,8,5,0,16,36,9,3,8,7,8,0,4,128,0,0,5,0,4,5,10,8,9,0,3,3,0,0,0,45,0,0,0,0,0,0,0,4
SOSR522,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,3,4,0,0,3,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,17,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,16,6,11,12,5,0,6,9,7,0,0,0,3,0,0,4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,7,4,4,10,18,4,0,3,7,6,0,3,70,0,3,0,0,0,3,0,3,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
SOSR531,0,0,0,0,0,4,10,14,0,0,0,0,0,3,19,56,0,0,0,0,6,3,7,3,0,0,0,0,0,0,6,33,0,0,39,47,53,44,59,37,8,0,9,20,7,0,11,339,0,0,0,5,9,15,84,67,9,17,9,29,3,0,24,261,0,25,55,18,6,15,8,0,0,0,0,0,0,0,7,137,5,4,10,3,0,3,4,0,0,0,0,0,0,0,3,31,0,0,4,4,6,9,4,6,0,0,3,12,9,6,14,90,74,68,70,67,144,80,131,67,15,4,26,24,16,0,24,823,0,12,8,9,5,0,4,0,0,0,0,0,0,0,4,40,0,0,6,3,5,14,19,10,0,0,0,0,0,0,14,76,21,9,61,44,26,23,81,44,9,12,13,9,4,0,45,390,5,12,6,5,12,22,38,30,11,12,17,11,12,0,10,193,0,0,0,0,9,4,7,6
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
