SOSR_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR501,34082,50930,117044,116960,105934,75562,18318,1580,108,520512,21810,9743,26492,27761,22715,38488,73514,47993,21164,289677,1999,2864,7409,5970,4754,3991,3777,3778,3295,37841,57892,63540,150941,150691,133403,118041,95610,53346,24562,848032,9233,43281,150955,155707,142708,94321,17421,1033,51,614708,43343,46587,62599,67913,56742,49268,21970,3213,199,351838,1799,3006,11862,9237,6620,7444,2272,254,24,42518,832,2076,4643,3249,2483,1591,510,177,63,15614,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680,2221,4220,6873,5600,5495,4330,659,40,3,29440,9167,3988,4289,3707,2899,2758,949,83,8,27842,11383,8208,11161,9306,8393,7086,1608,130,13,57284,66590,103155,241217,245414,216952,159706,43783,4805,342,1081965,47822,18915,37585,37559,34439,60276,131037,88110,34480,490236,4131,6275,17088,14951,12296,9698,7494,6627,5115,83679,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
SOSR511,1497,1457,3385,3917,4032,2890,624,51,3,17861,751,329,1095,922,824,1728,3157,2008,796,11616,84,102,275,195,194,210,195,165,145,1550,2329,1888,4762,5039,5044,4828,3978,2221,942,31028,598,1725,4362,4782,5090,3604,565,24,0,20751,1706,909,1897,2468,2162,1856,801,93,4,11905,104,129,413,314,345,418,102,15,3,1848,45,56,120,109,90,54,21,3,3,496,2450,2821,6793,7675,7685,5932,1487,136,12,34998,122,143,213,171,167,150,21,0,0,986,259,95,140,114,115,87,26,5,0,846,382,239,352,286,275,237,40,5,0,1829,2838,3055,7148,7968,7964,6164,1532,141,12,36824,1641,555,1568,1429,1311,2718,5750,3700,1293,19983,165,227,607,524,517,490,386,278,221,3420,4649,3838,9322,9920,9801,9377,7670,4119,1523,60227
SOSR512,2256,2284,5157,5831,6424,4937,1228,107,7,28226,1011,522,1530,1326,1179,2339,4853,3385,1551,17698,223,241,577,540,477,463,415,316,217,3475,3487,3044,7268,7697,8081,7735,6500,3805,1776,49404,1154,2891,6995,7365,8102,5938,1171,68,5,33688,2660,1356,2834,3476,3318,3282,1418,190,13,18558,136,175,628,469,567,638,185,29,6,2821,58,115,216,155,171,119,35,20,9,911,4008,4541,10678,11465,12161,9976,2813,306,31,55980,149,209,260,228,260,171,24,0,0,1310,319,99,177,153,131,175,49,0,0,1123,478,310,442,380,394,349,78,4,0,2434,4479,4850,11118,11846,12554,10326,2884,312,35,58415,2227,936,2286,2026,1996,3842,8880,6250,2542,30982,472,497,1277,1229,1139,1063,832,604,346,7464,7185,6283,14681,15102,15690,15229,12592,7165,2918,96858
SOSR513,1010,1173,4172,4142,3184,2050,443,37,3,16211,598,267,1049,826,613,817,1145,716,242,6268,206,243,813,665,514,339,185,109,61,3144,1813,1686,6031,5635,4315,3205,1774,860,300,25619,556,1596,5637,5876,4953,3118,560,29,0,22322,1133,530,1681,2009,1328,1023,375,57,0,8131,71,109,586,440,316,321,75,8,0,1921,61,66,240,169,87,87,17,0,4,721,1814,2306,8142,8488,6688,4537,1024,89,8,33096,107,127,165,139,124,89,10,0,0,767,156,57,104,93,62,56,22,0,0,549,258,182,270,229,188,146,33,5,0,1322,2073,2490,8410,8723,6876,4690,1058,92,8,34412,1296,451,1362,1111,964,1367,2162,1368,400,10483,463,541,1637,1465,1209,869,382,214,95,6888,3837,3483,11408,11301,9050,6923,3599,1677,503,51774
SOSR514,445,386,1155,1627,1505,1055,280,26,0,6478,244,90,366,349,298,633,1268,713,284,4237,58,54,119,149,134,113,98,106,65,885,744,533,1637,2123,1933,1797,1645,849,346,11600,190,487,1358,1721,1694,1093,228,16,0,6782,548,269,751,1072,972,807,351,52,0,4817,45,29,152,186,150,163,56,5,0,792,26,22,50,53,41,19,8,3,0,221,805,807,2308,3036,2856,2080,641,74,5,12611,44,36,103,73,66,56,8,0,0,385,59,22,29,43,43,41,14,0,0,254,105,60,132,113,106,101,21,0,0,637,905,867,2443,3146,2963,2181,657,77,5,13248,581,163,492,492,471,1040,2434,1360,459,7496,139,117,288,327,332,250,209,189,99,1946,1625,1148,3227,3973,3760,3470,3298,1624,567,22690
SOSR515,1248,1498,4210,4401,4301,3511,897,98,6,20171,932,407,1273,1033,955,1881,3601,2145,866,13098,259,286,686,661,581,468,400,292,197,3842,2441,2191,6169,6095,5835,5868,4901,2538,1077,37107,707,1989,5537,5518,5712,4315,952,90,0,24825,1386,769,2102,2414,2250,2294,971,165,12,12366,96,145,581,476,452,522,169,16,0,2466,81,100,193,186,148,120,40,29,7,906,2276,3003,8421,8599,8561,7250,2135,302,16,40565,99,167,249,189,239,195,27,3,0,1157,188,65,109,139,99,134,39,5,5,776,289,229,359,324,338,327,59,7,5,1938,2570,3234,8775,8921,8904,7582,2199,309,18,42501,1955,676,1698,1532,1602,3135,6778,4219,1488,23072,576,578,1449,1397,1334,1091,857,551,326,8168,5095,4481,11923,11851,11838,11810,9832,5083,1831,73743
SOSR521,410,469,1356,1504,1679,1519,408,59,3,7400,446,266,648,566,540,929,1632,966,360,6356,93,110,265,266,257,260,205,149,69,1674,953,847,2271,2332,2473,2706,2245,1169,436,15431,261,629,1740,1820,2103,1892,475,39,3,8965,386,265,682,851,880,990,416,79,3,4555,44,46,187,143,190,248,88,6,4,961,44,42,90,76,81,76,22,13,5,442,727,991,2698,2886,3253,3205,998,146,17,14926,50,72,121,106,109,101,20,0,0,569,51,30,48,46,56,49,24,4,0,307,106,94,168,154,158,148,41,4,0,875,834,1086,2865,3042,3416,3355,1038,148,17,15802,909,435,932,884,944,1594,3200,1896,625,11415,182,223,544,552,629,613,427,306,112,3587,1926,1740,4346,4477,4984,5562,4668,2347,754,30808
SOSR522,198,309,740,763,801,814,238,32,4,3885,328,246,443,344,345,552,866,522,151,3790,48,59,121,118,116,155,121,88,45,880,577,612,1292,1218,1262,1517,1225,648,201,8560,125,337,935,866,1060,997,269,37,0,4635,168,182,372,441,416,511,250,45,0,2399,6,21,83,79,101,120,48,15,0,477,10,26,52,32,31,43,13,0,9,216,320,561,1446,1426,1605,1669,583,95,5,7723,32,61,83,83,71,60,9,0,0,400,34,20,53,54,31,38,11,0,0,241,66,81,139,136,108,92,20,0,0,644,386,649,1585,1557,1713,1768,606,97,7,8369,712,411,714,597,611,954,1760,1069,290,7112,115,110,262,271,288,336,289,171,80,1924,1206,1168,2556,2419,2606,3061,2656,1336,375,17404
SOSR531,2245,2240,4933,6880,8890,8114,2583,433,27,36343,1601,477,1528,1526,1775,3556,5614,2773,705,19560,342,366,845,908,1016,993,723,362,76,5627,4187,3081,7309,9310,11683,12660,8919,3563,805,61530,1387,3313,7520,9249,12429,10784,3212,568,55,48517,2491,1446,2597,4255,4983,5523,2879,671,74,24913,192,233,740,747,976,1197,450,68,5,4595,148,151,264,294,336,290,165,97,21,1763,4212,5141,11122,14540,18726,17795,6706,1400,147,79789,145,175,268,275,312,308,54,0,0,1533,320,101,119,141,162,193,74,4,0,1119,469,280,388,412,471,502,129,8,0,2649,4679,5420,11505,14951,19195,18296,6830,1407,153,82437,3488,1192,3180,3119,3289,6201,11429,5862,1330,39083,760,1113,2685,2736,2932,2634,1706,800,164,15541,8927,7726,17368,20805,25420,27127,19970,8074,1649,137066
SOSR579,0,5,8,9,5,0,0,0,0,29,0,0,0,0,0,0,5,0,0,9,0,5,3,3,8,0,0,0,0,19,3,11,14,11,9,3,4,0,0,61,0,20,62,85,56,25,3,0,0,243,0,0,0,3,5,0,0,0,0,18,0,0,4,0,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,5,5,17,62,95,59,33,5,0,0,277,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,17,62,96,59,34,5,0,0,277,0,0,0,0,4,3,7,0,0,18,3,15,46,73,50,21,3,0,0,220,6,31,116,170,109,62,18,0,0,516
