SOSR_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR501,126,691,81,233,31,14,1178,29,1134,144,168,34,12,1522,421,7195,604,1423,234,73,9959,1390,3336,1377,2154,344,71,8666,2614,1289,373,2553,310,51,7185,9334,1770,546,5224,1075,59,18008,28709,1284,379,12614,1468,144,44597,45353,553,289,14873,1513,163,62737,19956,97,63,5235,423,43,25811,7155,18,11,1717,106,16,9018,3117,21,15,737,50,7,3949,1656,19,4,390,40,0,2112,922,12,5,194,23,0,1162,1501,8,4,347,45,8,1911,1750,1096,285,2272,497,470,6368,124036,18516,4185,50123,6184,1142,204186
SOSR511,4,21,3,8,8,0,40,3,48,11,4,9,0,80,29,319,39,54,9,5,453,52,202,118,83,31,6,493,121,85,42,155,10,4,414,433,105,24,313,37,4,913,1316,50,19,728,54,6,2167,1648,15,24,492,54,6,2235,335,0,0,64,5,0,413,66,0,0,16,4,0,82,16,0,0,11,0,0,24,5,3,0,0,0,0,8,0,0,0,6,0,0,6,4,0,0,0,0,0,8,62,46,22,72,33,20,252,4104,904,298,1999,244,50,7594
SOSR512,5,51,6,24,7,0,100,6,80,7,27,17,0,141,74,637,113,135,83,14,1055,251,393,168,261,116,19,1209,295,175,40,349,116,3,973,688,302,78,517,153,10,1748,1829,234,53,928,194,10,3246,2261,63,16,777,107,5,3219,755,14,4,166,18,5,958,203,4,0,40,4,0,254,45,3,0,9,0,0,60,9,3,0,3,3,0,21,0,0,0,0,0,0,4,7,0,0,6,0,0,17,101,112,35,136,80,24,485,6529,2068,523,3381,899,92,13496
SOSR513,47,54,6,10,844,0,960,11,70,5,6,63,0,152,25,348,35,42,546,7,997,60,285,37,82,194,5,664,89,209,20,75,193,0,591,201,339,42,139,273,5,997,539,304,41,272,245,4,1402,801,97,24,304,147,4,1388,660,21,0,130,91,0,910,447,3,0,66,47,3,570,310,4,0,52,37,0,404,198,5,0,38,27,0,271,144,3,0,23,26,0,198,198,0,0,27,47,0,275,169,154,24,66,394,28,833,3913,1900,232,1343,3176,57,10612
SOSR514,0,6,0,0,0,0,14,0,14,5,3,0,0,17,5,124,11,30,9,0,171,34,83,7,46,19,0,194,71,45,3,83,9,0,212,208,60,4,128,14,0,415,231,40,6,145,38,0,458,321,7,0,229,11,0,569,212,0,0,96,8,0,323,65,0,0,27,0,0,96,15,0,0,6,13,0,32,4,0,0,0,0,0,7,0,0,0,3,0,0,4,3,0,0,0,0,0,8,16,38,6,42,14,3,116,1189,422,40,839,130,11,2632
SOSR515,27,97,83,20,1020,4,1247,11,95,82,10,145,6,349,63,525,102,128,598,9,1435,216,430,180,191,319,11,1336,237,217,35,289,167,8,951,489,301,54,425,218,5,1492,1028,173,49,595,132,5,1988,869,49,20,442,79,10,1475,275,18,6,110,33,0,438,120,6,0,44,11,0,180,43,4,0,18,8,0,71,24,0,0,7,6,0,39,10,0,0,10,0,0,14,17,0,0,17,9,0,46,80,132,42,94,209,21,573,3500,2043,660,2393,2954,81,11635
SOSR521,9,152,67,15,78,6,325,0,107,40,18,34,0,198,18,254,129,102,113,9,628,89,163,55,168,70,3,550,59,82,23,170,53,0,382,144,82,28,235,64,8,557,219,73,12,211,50,5,561,152,19,3,119,20,0,315,54,5,0,23,8,0,88,15,0,0,12,5,0,28,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,5,0,8,27,68,24,68,113,6,309,779,999,392,1152,610,36,3972
SOSR522,0,241,120,12,92,6,467,9,131,130,10,61,4,343,6,194,96,56,48,7,410,32,98,89,101,52,5,376,43,31,9,94,22,4,206,67,57,20,85,29,4,265,64,19,9,68,22,0,182,32,4,5,28,12,5,81,10,0,0,6,0,0,16,6,0,0,4,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,6,8,62,22,35,86,4,224,274,845,503,495,424,38,2588
SOSR531,0,175,222,109,112,4,631,5,117,86,50,61,4,315,22,93,102,361,165,5,745,63,34,54,369,145,6,667,79,12,6,340,115,0,560,124,20,19,420,125,5,713,238,18,9,447,92,8,803,381,4,0,397,54,6,843,205,0,0,214,13,4,437,114,0,0,81,10,0,209,59,0,0,33,4,0,102,24,0,0,24,8,0,55,10,0,0,9,3,0,22,9,0,0,13,18,0,46,47,27,37,357,477,22,969,1389,505,535,3237,1394,59,7116
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
