SOSR_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOSR501,64,14,14,17,60538,60648,1271,75,43,34,63395,64814,41731,1940,2076,122,99090,144955,89219,5396,7760,210,44654,147237,83098,6453,13671,726,26329,130284,73533,5000,16257,1662,15180,111637,61154,3264,12711,3373,6205,86701,33266,1293,5037,4652,1950,46197,9016,265,939,4683,474,15377,392350,23695,58511,15481,317815,807849,67,21,14,17,57784,57892,2865,206,79,34,60354,63540,58155,3642,3515,194,85428,150941,94402,7238,11077,817,37152,150691,82272,7750,19460,2182,21745,133403,71518,5801,23390,5668,11667,118041,55769,3313,18693,12949,4894,95610,24535,1018,7742,18357,1691,53346,4718,170,1757,17294,624,24562,394307,29148,85730,57510,281336,848032,127,27,28,35,118323,118535,4136,280,123,62,123750,128352,99889,5578,5591,315,184521,295897,183626,12632,18836,1030,81804,297929,165369,14204,33131,2909,48075,263686,145055,10797,39651,7332,26847,229678,116925,6574,31400,16319,11103,182320,57797,2306,12780,23014,3638,99540,13732,437,2695,21975,1098,39936,786658,52845,144237,72993,599151,1655875
SOSR511,0,0,0,0,2315,2312,57,3,0,0,1894,1951,1337,88,60,3,3075,4567,2736,228,305,12,1598,4882,2839,277,572,22,1037,4750,2942,218,778,73,541,4551,2642,162,541,170,176,3690,1412,54,193,207,43,1901,353,8,28,172,19,584,14322,1035,2483,663,10691,29199,9,3,0,0,2321,2329,93,5,0,5,1791,1888,1797,163,124,13,2661,4762,2925,318,425,35,1343,5039,2902,338,793,97,916,5044,2900,244,1058,214,410,4828,2383,147,766,550,137,3978,1059,39,260,814,45,2221,172,5,50,693,19,942,14230,1260,3472,2431,9632,31028,8,3,4,0,4634,4649,150,8,0,0,3684,3838,3138,252,185,23,5728,9322,5667,545,730,48,2939,9920,5742,616,1364,124,1950,9801,5840,465,1839,285,950,9377,5024,306,1303,720,319,7670,2468,91,451,1022,87,4119,523,18,79,868,37,1523,28560,2296,5951,3089,20330,60227
SOSR512,5,0,0,4,3680,3694,98,12,0,3,3127,3238,2084,122,111,3,5105,7417,3935,326,399,18,2723,7407,4248,458,880,57,1974,7607,4460,408,1146,162,1322,7498,4080,261,985,299,481,6098,2335,105,363,407,144,3357,662,22,77,355,30,1143,21899,1702,3955,1312,18589,47455,7,0,0,0,3482,3487,167,23,4,4,2852,3044,2590,189,168,18,4301,7268,4193,462,634,58,2344,7697,4443,517,1255,170,1693,8081,4384,397,1584,406,960,7735,3789,230,1196,944,343,6500,1775,63,495,1371,107,3805,371,21,99,1267,28,1776,21718,1904,5437,4231,16114,49404,14,0,0,3,7161,7185,262,34,3,8,5978,6283,4675,306,274,19,9411,14681,8127,791,1036,77,5070,15102,8691,971,2135,221,3668,15690,8847,803,2731,571,2282,15229,7866,485,2182,1234,819,12592,4109,173,855,1775,254,7165,1027,37,179,1626,52,2918,43613,3604,9394,5541,34701,96858
SOSR513,5,0,0,0,2019,2021,48,5,0,0,1745,1796,1468,84,79,6,3744,5376,3079,209,325,15,2035,5664,2625,273,502,32,1312,4739,2136,202,614,68,696,3721,1128,139,285,84,190,1823,507,26,107,117,55,814,106,7,16,64,12,207,11101,944,1923,382,11800,26160,3,0,0,0,1804,1813,65,5,4,0,1612,1686,2058,144,135,7,3678,6031,3123,252,380,44,1829,5635,2347,267,566,63,1063,4315,1759,190,619,177,461,3205,934,95,336,286,126,1774,359,33,112,332,29,860,57,5,28,195,13,300,10713,989,2184,1103,10620,25619,8,0,0,0,3821,3837,112,11,4,0,3362,3483,3528,229,214,17,7425,11408,6208,460,701,56,3868,11301,4971,538,1073,97,2373,9050,3895,394,1237,245,1161,6923,2062,230,620,365,316,3599,870,58,222,448,79,1677,161,10,40,262,24,503,21822,1936,4109,1485,22424,51774
SOSR514,0,0,0,0,876,876,12,4,0,0,596,616,363,28,23,3,1172,1583,957,68,100,10,717,1850,1005,114,208,12,493,1829,977,84,307,32,275,1670,1094,66,281,80,137,1657,568,22,95,69,26,777,124,5,14,75,9,226,5094,389,1026,278,4304,11094,0,0,0,0,743,744,25,0,0,0,503,533,522,50,36,5,1022,1637,1115,132,173,11,689,2123,956,162,316,30,466,1933,1007,105,373,98,219,1797,997,65,306,197,75,1645,419,13,102,291,23,849,66,0,30,245,7,346,5112,531,1333,877,3751,11600,0,0,0,0,1622,1625,40,6,0,3,1103,1148,888,80,54,4,2191,3227,2073,206,274,16,1408,3973,1963,281,518,40,963,3760,1980,189,679,129,492,3470,2090,134,590,273,216,3298,980,36,197,362,47,1624,189,5,43,323,14,567,10203,924,2352,1157,8055,22690
SOSR515,5,0,0,0,2653,2657,81,6,0,0,2202,2289,1665,87,78,7,3916,5755,2972,269,275,19,2221,5755,3198,371,686,39,1705,5998,3374,307,1018,110,1123,5946,3062,234,922,246,476,4934,1670,83,348,295,150,2547,413,8,57,250,34,755,16434,1370,3391,967,14475,36634,10,0,0,3,2428,2441,132,13,0,0,2046,2191,2119,156,138,22,3733,6169,3255,350,410,56,2024,6095,3122,390,800,131,1388,5835,3334,352,1111,305,758,5868,2836,201,879,708,266,4901,1167,49,307,953,65,2538,208,4,84,749,23,1077,16191,1526,3730,2938,12719,37107,10,0,0,3,5083,5095,212,16,0,4,4249,4481,3785,246,215,32,7645,11923,6226,618,684,77,4241,11851,6319,767,1489,170,3091,11838,6710,665,2134,416,1886,11810,5896,435,1803,957,742,9832,2836,132,653,1249,214,5083,625,13,138,1001,51,1831,32627,2895,7126,3902,27197,73743
SOSR521,5,0,0,4,965,977,51,4,0,0,839,897,569,35,22,3,1444,2075,1065,102,125,12,844,2137,1201,155,279,26,855,2513,1480,176,493,59,653,2859,1430,108,479,129,279,2418,718,62,164,148,84,1177,178,3,24,102,17,320,6698,640,1598,474,5979,15377,11,0,0,0,940,953,66,6,3,4,766,847,758,57,35,9,1408,2271,1166,122,159,33,847,2332,1213,180,332,52,687,2473,1449,166,498,175,418,2706,1298,95,367,341,144,2245,533,28,157,412,41,1169,90,0,28,311,11,436,6581,667,1579,1333,5271,15431,14,0,0,4,1905,1926,117,13,3,5,1613,1740,1326,95,63,5,2852,4346,2229,225,281,44,1693,4477,2415,338,609,80,1540,4984,2929,343,987,234,1068,5562,2727,204,849,462,418,4668,1246,86,324,565,132,2347,271,5,50,411,24,754,13274,1308,3178,1804,11245,30808
SOSR522,19,0,0,0,611,632,66,0,3,0,487,557,335,29,14,3,895,1263,559,51,38,3,553,1202,633,81,131,4,494,1348,792,118,286,45,309,1543,838,76,280,79,158,1432,439,22,130,61,42,688,114,8,10,43,5,176,3779,385,887,240,3554,8847,22,0,0,0,556,577,71,5,3,0,529,612,418,33,24,9,820,1292,567,77,59,15,506,1218,630,84,163,29,349,1262,820,90,278,95,232,1517,715,42,198,183,84,1225,323,12,63,230,20,648,42,8,9,137,3,201,3611,339,802,695,3107,8560,37,0,0,0,1166,1206,129,10,8,0,1020,1168,749,56,35,6,1707,2556,1125,121,96,16,1061,2419,1264,171,293,38,845,2606,1610,208,562,138,544,3061,1556,118,481,265,248,2656,762,34,188,289,65,1336,151,11,22,181,9,375,7392,726,1689,936,6662,17404
SOSR531,17,4,8,3,4710,4741,166,10,3,9,4456,4644,2758,166,144,12,6981,10059,6256,468,642,19,4109,11495,8383,710,1383,70,3185,13733,9350,732,2077,242,2064,14468,7679,481,1692,438,764,11045,3232,156,499,449,173,4509,508,16,54,220,40,841,38339,2742,6506,1463,26487,75535,21,0,0,0,4166,4187,148,11,0,4,2916,3081,2712,136,138,16,4311,7309,6052,337,524,51,2349,9310,7875,471,1205,174,1958,11683,9003,433,1656,447,1118,12660,6452,208,1087,872,302,8919,2144,51,332,967,67,3563,213,7,51,521,22,805,34622,1662,4992,3050,17204,61530,35,7,8,6,8875,8927,312,28,7,7,7370,7726,5466,301,283,23,11291,17368,12303,803,1159,72,6464,20805,16252,1188,2589,247,5137,25420,18351,1171,3735,692,3179,27127,14129,687,2779,1312,1062,19970,5380,204,838,1414,246,8074,718,24,104,743,57,1649,72960,4405,11498,4516,43690,137066
SOSR579,0,0,0,0,7,7,0,0,0,0,25,25,25,0,0,0,69,99,75,13,9,0,64,157,61,3,11,0,24,103,35,5,9,0,3,55,9,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,205,30,37,3,189,455,0,0,0,0,3,3,0,0,0,0,11,11,4,0,0,0,7,14,0,0,5,0,7,11,3,0,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,33,61,0,0,0,0,6,6,0,0,0,0,31,31,32,0,0,0,83,116,75,13,11,0,72,170,66,8,17,0,27,109,33,5,16,0,7,62,14,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,217,25,44,3,227,516
