SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR501,220,1410,25,24341,142,40,66,113,116,174,57,110,72,520,12951,14372,126,32,94,86,34,61,10,60,42,931,987,2452,44852,9518,1396,29806,3528,19817,1782,14594,2296,63668,14733,205986
SOSR511,10,24,4,613,7,7,0,6,3,6,5,0,0,23,539,589,4,0,0,3,0,0,0,4,0,30,33,85,1469,306,55,1224,137,772,79,570,106,2862,617,8198
SOSR512,9,66,0,1138,3,5,0,8,6,11,0,6,3,34,887,971,11,5,5,8,0,0,3,10,0,92,93,220,2642,599,111,1893,236,1119,148,926,166,4279,1065,13183
SOSR513,13,17,4,1098,8,0,6,9,6,9,0,0,0,13,593,656,6,4,3,3,0,0,0,0,0,22,49,89,2022,189,76,817,167,513,50,226,66,945,672,5732
SOSR514,4,15,0,177,0,0,0,3,0,0,0,0,0,8,225,248,3,0,0,3,0,5,0,0,0,17,20,44,432,183,27,407,43,234,33,236,48,1105,278,3033
SOSR515,9,34,0,849,7,5,7,7,10,13,0,9,4,28,807,893,0,0,10,9,4,4,0,0,0,70,77,185,1968,447,126,1310,210,848,115,573,133,3285,969,9989
SOSR521,5,11,3,260,8,0,4,0,3,8,3,6,0,19,298,348,4,0,6,3,0,0,0,0,0,36,48,99,683,180,64,507,76,415,50,288,72,1470,379,4170
SOSR522,0,6,0,128,0,0,0,3,0,0,0,3,0,14,167,188,5,0,4,0,4,0,0,0,0,30,33,75,394,103,27,234,33,200,18,171,44,867,221,2316
SOSR531,31,129,0,1905,23,10,6,25,7,24,3,18,12,50,1394,1567,55,19,29,29,4,15,3,9,6,114,129,406,3883,1296,285,3007,377,1870,239,1459,324,5496,1625,19878
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
